region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,EmissionsCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,RegSubsidyRevenue,Revenue,Cost,Profit
CA_S,CA_S_onshore_wind_turbine_1,2,1,20,0.0,0.0,2.0460159800012524e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.611509e8,0.0,0.0,0.0,0.0,4.61150912e8,2.0460159800012524e11,-2.0414044708812524e11
CA_S,CA_S_small_hydroelectric_1,2,1,21,0.0,0.0,5.952235680000001e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0309326e9,0.0,0.0,0.0,0.0,2.030932608e9,5.952235680000001e9,-3.921303072000001e9
CA_S,CA_S_solar_photovoltaic_1,2,1,22,0.0,0.0,1.7859520000003815e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1035082e8,0.0,0.0,0.0,0.0,4.10350816e8,1.7859520000003815e11,-1.7818484918403815e11
WECC_N,WECC_N_biomass_1,3,1,23,0.0,0.0,2.4654228479999995e9,0.0,6.0884794171875e8,0.0,0.0,0.0,0.0,0.0,4.9338595e6,0.0,0.0,1.1042609950100063e-5,0.0,4.933859500011043e6,3.0742707897187495e9,-3.0693369302187386e9
WECC_N,WECC_N_conventional_hydroelectric_1,3,1,24,0.0,0.0,2.0696123712e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2348006e8,0.0,0.0,0.0,0.0,5.23480064e8,2.0696123712e11,-2.06437757056e11
WECC_N,WECC_N_conventional_steam_coal_1,3,1,25,0.0,0.0,1.7467188020104486e11,0.0,4.081312160000001e10,3.3641018877875805e8,0.0,0.004940110700144728,0.0,0.0,7.037935e8,0.0,0.0,0.0,0.0,7.03793472e8,2.1582141198982855e11,-2.1511761851782855e11
WECC_N,WECC_N_conventional_steam_coal_2,3,2,26,0.0,0.0,1.3386113435764482e10,0.0,2.83019644e9,2.9227342663342055e7,0.0,0.008047984841875095,0.0,0.0,4.739978e7,0.0,0.0,0.0,0.0,4.739978e7,1.6245537218435871e10,-1.6198137438435871e10
WECC_N,WECC_N_geothermal_1,3,1,27,0.0,0.0,7.53027296e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.361862e7,0.0,0.0,0.00022158063743869122,0.0,9.361862400022158e7,7.53027296e10,-7.520911097599977e10
WECC_N,WECC_N_natural_gas_fired_combined_cycle_1,3,1,28,0.0,0.0,2.9637202399800907e10,0.0,2.438359175e10,1.9487366884198296e8,0.0,1.284392401899988e7,0.0,0.0,2.6829816e8,0.0,0.0,0.0,0.0,2.6829816e8,5.422851174266188e10,-5.396021358266188e10
WECC_N,WECC_N_natural_gas_fired_combined_cycle_2,3,2,29,0.0,0.0,2010.9578435587582,0.0,138.25734078884125,1.1532143668662507,0.0,0.03142013338808513,0.0,0.0,3.180729,0.0,0.0,0.0,0.0,3.1807289123535156,2150.399818847854,-2147.2190899355005
WECC_N,WECC_N_natural_gas_fired_combustion_turbine_1,3,1,30,0.0,0.0,520.4216319217026,0.0,30.227487296797335,0.26686552212868736,0.0,0.0312153477522437,0.0,0.0,0.6958881,0.0,0.0,0.0,0.0,0.695888102054596,550.9472000883808,-550.2513119863262
WECC_N,WECC_N_natural_gas_fired_combustion_turbine_2,3,2,31,0.0,0.0,4.686619023161017e9,0.0,1.0377909158203124e8,1.07188980245763e6,0.0,213860.61939796215,0.0,0.0,6.076148e6,0.0,0.0,0.0,0.0,6.076148e6,4.791683865164905e9,-4.785607717164905e9
WECC_N,WECC_N_onshore_wind_turbine_1,3,1,32,0.0,0.0,1.682359495000557e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4383019e8,0.0,0.0,0.0005705249900120091,0.0,2.4383019200057054e8,1.682359495000557e11,-1.679921193080551e11
WECC_N,WECC_N_solar_photovoltaic_1,3,1,33,0.0,0.0,2.224373200003637e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.818927e7,0.0,0.0,0.0001939762045052652,0.0,4.8189272000193976e7,2.224373200003637e10,-2.2195542728036175e10
WECC_NMAZ,WECC_NMAZ_biomass_1,4,1,34,0.0,0.0,1.840581792e9,0.0,6.752490546875e8,0.0,0.0,0.0,0.0,0.0,3.6916975e6,0.0,0.0,8.080997364306024e-6,0.0,3.691697500008081e6,2.5158308466875e9,-2.512139149187492e9
WECC_NMAZ,WECC_NMAZ_conventional_hydroelectric_1,4,1,35,0.0,0.0,1.764576e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5461808e8,0.0,0.0,0.0,0.0,3.5461808e8,1.764576e11,-1.7610298192e11
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_1,4,1,36,0.0,0.0,5.7781917333019226e10,0.0,1.2842462370000002e10,1.1100793573161258e8,0.0,0.005501722262874052,0.0,0.0,2.2408638e8,0.0,0.0,0.0,0.0,2.24086384e8,7.073538763875635e10,-7.051130125475635e10
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_2,4,2,37,0.0,0.0,1.063878560000637e11,0.0,2.9305711740000004e10,2.288809042078297e8,0.0,0.004538434226887583,0.0,0.0,4.8985258e8,0.0,0.0,0.0,0.0,4.89852576e8,1.3592244864427606e11,-1.3543259606827606e11
WECC_NMAZ,WECC_NMAZ_geothermal_1,4,1,38,0.0,0.0,6.594732e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821723.94,0.0,0.0,1.9019032242407884e-6,0.0,821723.9375019019,6.594732e8,-6.586514760624981e8
WECC_NMAZ,WECC_NMAZ_hydroelectric_pumped_storage_1,4,1,39,0.0,0.0,8.318898000000001e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.318898000000001e9,-8.318898000000001e9
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_1,4,1,40,0.0,0.0,449.61733705495277,0.0,35.37215888500213,0.29640605561841865,0.0,0.029668348210673785,0.0,0.0,0.65675986,0.0,0.0,0.0,0.0,0.6567598581314087,485.31557034378403,-484.6588104856526
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_2,4,2,41,0.0,0.0,1.2201898319977946e11,0.0,5.1484862e10,4.3374109677690905e8,0.0,4.406762993315397e7,0.0,0.0,6.76556e8,0.0,0.0,0.0,0.0,6.76556032e8,1.7398165392648956e11,-1.7330509789448956e11
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,4,1,42,0.0,0.0,2.1489384926486565e10,0.0,2.750244303515625e8,2.4728624703887384e6,0.0,1.989546824903661e6,0.0,0.0,2.9264954e7,0.0,0.0,0.0,0.0,2.9264954e7,2.1768871766133423e10,-2.1739606812133423e10
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,4,2,43,0.0,0.0,672.8762053631599,0.0,25.351895866915584,0.2670641095488145,0.0,0.04554208915578819,0.0,0.0,0.85747737,0.0,0.0,0.0,0.0,0.8574773669242859,698.5407074287801,-697.6832300618559
WECC_NMAZ,WECC_NMAZ_nuclear_1,4,1,44,0.0,0.0,1365.5176513527322,0.0,142.0462280511856,0.42268548621208346,0.0,-0.001306399606250826,0.0,0.0,1.7932792,0.0,0.0,0.0,0.0,1.7932791709899902,1507.9852584905236,-1506.1919793195336
WECC_NMAZ,WECC_NMAZ_onshore_wind_turbine_1,4,1,45,0.0,0.0,5.336249549994382e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2466576e7,0.0,0.0,0.0001242582192024005,0.0,6.246657600012426e7,5.336249549994382e10,-5.3300028923943695e10
WECC_NMAZ,WECC_NMAZ_solar_photovoltaic_1,4,1,46,0.0,0.0,1.1755766400002325e11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3625627e8,0.0,0.0,0.0009169717946500291,0.0,2.3625627200091696e8,1.1755766400002325e11,-1.1732140772802234e11
