region,Resource,zone,Cluster,R_ID,ESR_1,ESR_2,ESR_3,ESR_4,ESR_5,ESR_6,AnnualSum
WECC_N,WECC_N_natural_gas_fired_combined_cycle_2,3,2,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_natural_gas_fired_combustion_turbine_1,3,1,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_natural_gas_fired_combustion_turbine_2,3,2,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_N,WECC_N_onshore_wind_turbine_1,3,1,32,0.0,0.0,0.0005705249900120091,0.0,0.0,0.0,0.0005705249900120091
WECC_N,WECC_N_solar_photovoltaic_1,3,1,33,0.0,0.0,0.0001939762045052652,0.0,0.0,0.0,0.0001939762045052652
WECC_NMAZ,WECC_NMAZ_biomass_1,4,1,34,0.0,0.0,0.0,8.080997364306024e-6,0.0,0.0,8.080997364306024e-6
WECC_NMAZ,WECC_NMAZ_conventional_hydroelectric_1,4,1,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_1,4,1,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_conventional_steam_coal_2,4,2,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_geothermal_1,4,1,38,0.0,0.0,0.0,1.9019032242407884e-6,0.0,0.0,1.9019032242407884e-6
WECC_NMAZ,WECC_NMAZ_hydroelectric_pumped_storage_1,4,1,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_1,4,1,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combined_cycle_2,4,2,41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,4,1,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,4,2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_nuclear_1,4,1,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_NMAZ,WECC_NMAZ_onshore_wind_turbine_1,4,1,45,0.0,0.0,0.0,0.0001242582192024005,0.0,0.0,0.0001242582192024005
WECC_NMAZ,WECC_NMAZ_solar_photovoltaic_1,4,1,46,0.0,0.0,0.0,0.0009169717946500291,0.0,0.0,0.0009169717946500291
WECC_PNW,WECC_PNW_biomass_1,5,1,47,0.0,0.0,0.0,0.0,9.165447409511619e-5,0.0,9.165447409511619e-5
WECC_PNW,WECC_PNW_conventional_hydroelectric_1,5,1,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_geothermal_1,5,1,49,0.0,0.0,0.0,0.0,1.4693521088949969e-5,0.0,1.4693521088949969e-5
WECC_PNW,WECC_PNW_hydroelectric_pumped_storage_1,5,1,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combined_cycle_1,5,1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combined_cycle_2,5,2,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combustion_turbine_1,5,1,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_natural_gas_fired_combustion_turbine_2,5,2,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_nuclear_1,5,1,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WECC_PNW,WECC_PNW_onshore_wind_turbine_1,5,1,56,0.0,0.0,0.0,0.0,0.0014303268848623628,0.0,0.0014303268848623628
WECC_PNW,WECC_PNW_solar_photovoltaic_1,5,1,57,0.0,0.0,0.0,0.0,5.729227538484817e-5,0.0,5.729227538484817e-5
