Line,1,2,3,4,5,6,7,8,9,10,Total
Sum,-425868.22,-14358.418,-318343.66,-57853.105,-2.280781e6,85701.8,-93832.68,382689.8,-173172.36,52554.215,-2.8432638e6
t1,-1487.5750027944946,-99.99999843928025,-1090.180446329773,-5.847480478089457e-6,-4315.210065167097,-1.2473957672384205e-7,9.990683165200869e-8,2676.4662900473395,-3970.754453184905,-7.703918230866328e-6,-8287.253689444442
t2,-982.3548516329084,7.509503672894664e-9,2.927405314346813e-6,8.450562343689676e-7,-3843.7908856633835,631.1953995020594,-739.9999971840241,3265.8361827154504,-4149.999999086048,-101.13704562314653,-5920.25119319203
t3,-392.6748587552144,9.211206071487273e-9,2.9934941781162083e-6,8.490957058463043e-7,-3990.4961726235356,1585.025536162922,-739.9999971974868,3057.1474291005793,-4149.999998905056,-48.57956144692353,-4679.577619812913
t4,-372.7068124963613,8.374402669242404e-9,2.7829990747537015e-6,7.980787411443402e-7,-3927.9811865931533,2662.451969613707,-739.9999973795624,2115.4218332094997,-3610.7478333813483,2.600507196949962e-6,-3873.562020837259
t5,-790.9687014052339,1.4247752145260575e-7,424.9591231682392,1.3385689216143456e-6,-4116.57078564285,2857.999993373873,-739.9999980430796,1416.5059951434928,-3371.125770838557,2.3312848257853142e-5,-4319.20011945022
t6,-3674.999999127035,-99.99999366003975,-4.174182138698197e-7,1097.777731433911,-7644.8148222258405,2857.9999974718603,-739.9999985156977,2902.353440320211,-4149.999995778179,377.16921170804954,-9074.51442879018
t7,-972.6336593834989,-5.213241871872384e-7,6.09416585060956e-7,2.8086479450035286e-7,-3479.19455056938,1.2665223687856583e-6,-378.6719642341946,2279.5297789127367,-5.056851604511277e-7,71.560431922993,-2479.4099622215504
t8,-790.99761632205,2.1270093581159872,1034.3152208589165,449.9651559153302,-6493.743991975508,966.6960426183889,-211.4656805079168,-1176.4923341505837,4110.037018903462,627.3961560050581,-1482.1630192967873
t9,466.26773699694337,1.998509325348459,1280.1086435670125,255.4024242199444,-4203.605817315847,488.1269193020693,-115.73358571544931,-1162.4215015327147,4128.886921479254,643.6019437960207,1782.632194122581
t10,641.1603966658164,2.0061623543716838,1316.5858292570367,227.69717396954465,-4119.119121288031,414.04393592799295,-107.13303319490883,-1093.2235347876863,4074.7603672808987,596.1611367045934,1952.9393128896281
t11,331.0458093610432,1.820776189314019,1107.9677749172797,240.36124900100515,-5406.801015601141,448.5594626964938,-123.29757579034003,-1084.5937010741407,4149.999999869144,663.9999998712109,329.0627794398687
t12,-4.385057560555294,1.3226700304084655,693.4253588569135,203.36681242343897,-6438.608951624994,386.0341819712122,-131.332515110492,-704.4559801727377,4149.999999872344,663.9999998737659,-1180.6334814406955
t13,410.1451602936319,5.240982058730558e-6,1.6028503414737573e-6,-2.7791205872227976e-6,-6236.328437602121,-1.7922654364764937e-6,-5.612709906701797e-6,-6.288337747373716e-7,4107.088687862469,663.999997355889,-1055.0945960592296
t14,-1.3116500047977312e-6,-99.99999747412858,-792.3919406316382,-1399.9999938936364,-6925.104438413105,-5.812935151985906e-7,7.076335103719743e-7,644.8114309313888,2934.5692107865284,5.004270433988232e-7,-5638.115729379472
t15,3.619092499002727e-6,-99.99999802728117,-1628.1478331718474,-1399.9999986949306,-6805.555989087281,-1436.6989094339808,739.9999907277052,535.9851513965216,2968.862697088443,-1.137929968273052e-6,-7125.554886721488
t16,4.056232211525431e-6,-99.99999802332121,-2847.9698839887596,-1399.999998749593,-4654.6510089241565,-2857.9999774619264,739.9999932661669,633.0758387525427,2775.6186270063195,-1.3884637392371173e-6,-7711.92640545496
t17,1036.8234252999914,-99.9998763997177,-3505.6957090654673,-1399.9999978086632,-276.98109180651954,-2857.999992095449,1.2684136817803236e-6,1.9211234311519264e-7,3771.5371894414975,-1.6711336912159184e-8,-3332.3160509905133
t18,6.385695445359068e-7,-99.99999732178668,-3674.99999888985,-1399.9999977780667,-3008.456767211118,-2857.999998517066,1.0352969903540906e-6,-271.57988232828814,2185.972447753006,-1.889421337951077e-9,-9127.064192621192
t19,2775.6052153604537,-1.5110860307624363e-7,-3649.3715091045988,-1.4295655133086133e-6,763.8786129840971,-2857.999993810355,739.999998221492,-114.45783153545868,9.640236685068428e-7,-663.9999973522016,-3006.345505853222
t20,166.83152916221943,-5.8992367639176546e-8,-1969.0215647998855,-5.321229274713981e-7,-8.857509307969626e-7,-2857.999997423605,5.201320710434533e-8,-806.8238659522438,-1141.1398705591102,-593.550092959389,-7201.703863956867
t21,1.7157733135502485e-6,-5.342158016879727e-7,-2142.329028496117,-381.9584883615836,-829.6528720596822,-1610.4944116733086,9.171353708746249e-8,-4.396816529386179e-7,-1773.303628567722,-663.9999646265762,-7401.7383929514
t22,-2.1448840559804066e-6,-99.99999840391132,-1878.308286319461,-35.63321659316811,-2379.0270218767923,-2.593448814779564e-7,1.3972453493741856e-7,4.955153841223844e-5,-1613.8790698337805,-663.9999453003887,-6670.8474910404675
t23,-1061.3756675606837,-99.99999822381614,-3.167306912882211e-6,-1.9232441574040365e-6,-3080.5473889022896,-5.927732642927923e-8,-1.2423877967374727e-9,516.8803662177514,-2849.129671250895,-2.1498032520814444e-6,-6574.172367020807
t24,-1946.047174376346,-90.63237895772863,-2.3569499571314385e-7,-2.6601343562091825e-7,-3908.1639441681396,2.4120853693968264e-7,-5.580124780208503e-7,1463.343714484164,-3618.743885695842,-2.026266661244981e-7,-8100.243669735031
t25,-3253.77565027074,-99.99999839535141,-782.6940131049769,-5.9590823556520086e-6,-4400.099830179392,-1.2721947528328945e-7,1.0148984933874037e-7,2073.719333433491,-4149.9999830115385,-72.2361666176658,-10685.086314130986
t26,-3674.999973161542,-4.878127472495152e-7,4.72340480149226e-7,2.5627169545160203e-7,-4458.530685907393,1.0748538039196786e-6,-155.68993656578408,2313.431219321318,-4149.999998882562,-100.1294082421264,-10225.918782122437
t27,-3353.570934839157,-4.220043416521984e-7,5.592575997378702e-7,2.622512289789399e-7,-3985.096206714654,1.1070406766796032e-6,-392.9295407467622,2248.804344099688,-3792.589605896826,5.805249982667302e-7,-9275.381942010641
t28,-1999.1207235563272,7.848748798157487e-9,2.9302047654477845e-6,8.486944135776665e-7,-3389.8762976945727,232.1437580739982,-739.9999971963086,2104.611889709421,-3254.3497168221115,2.763355330510946e-6,-7046.591080935798
t29,-1164.2679174978298,8.312387788832942e-9,2.7855358412102223e-6,8.049234056737118e-7,-2718.4444515809437,2398.5381360529473,-739.9999973608445,1013.9065246960648,-2711.756536277741,2.62725959285791e-6,-3922.0242357423153
t30,-3512.5641173004983,1.5064451449307174e-7,1791.095468239167,1.4116882558997466e-6,-7531.952939825295,2857.99999344213,-739.9999979796766,331.2177918001873,-2552.0445486843937,2.5881313408220795e-5,-9356.248322864732
t31,-3213.0040598226165,8.862559338254412e-9,3.1874234430255022e-6,9.266475426006215e-7,-4026.023130816656,2371.0776940201613,-739.9999969792301,2277.0925185821416,-1285.3578946719947,3.029068760721641e-6,-4616.214862536192
t32,-2.5096224788414915e-7,1.8621932607611398e-7,264.1054040667501,2.4634704860337086e-7,-6452.744154050339,1.093608188353285e-6,-1.0878038437310294e-5,2410.6851272096224,611.2877417709177,663.9999985425246,-2502.6658920633504
t33,-5.731888091162737e-7,2.7191871363146296e-7,237.13497196679882,4.4653910611988546e-7,-6393.922277646354,1.8666528370990092e-6,-76.76692337320787,1586.1973204331844,2723.0276305061184,663.9999979733564,-1260.3292781281823
t34,-6.000230384502885,0.8446842409516762,66.96749141411821,3.012382136977681,-7298.99501912943,12.50081778965927,-362.93566422735756,642.7919086893088,4149.999999855124,663.9999998635581,-2127.8136297515935
t35,-712.4287309775814,-99.99999738883848,-106.24666631817932,-9.317765148378771e-6,-8457.64409903523,-1.8859113278900325e-7,1.4035770128934536e-7,903.5091996426343,4149.999994864202,663.9999133913183,-3658.8103951876733
t36,-34.15911871920147,-99.999998076604,-1313.7143308369327,-7.338793373802579e-6,-8760.537611495107,-1.5549608545664006e-7,1.244195514484145e-7,2004.7080358320266,3683.782867539744,1.4526843122458756e-6,-4519.920161673261
t37,-6.496974765950688e-6,-99.99999813420268,-665.3211812318033,-265.76300510650856,-7793.766259560472,-2.0107729414774076e-7,1.9751701862588598e-7,1519.9420516360408,3763.300287888901,1.0388105265807349e-6,-3541.608109969768
t38,-6.5551251438715245e-6,-99.99999813448099,-1322.8348278165288,-176.51592653742264,-6329.223177181947,-2.0575995543913373e-7,1.9580618917754824e-7,1378.5830831464607,4149.999996804716,127.5893346110371,-2272.401521673244
t39,1.5354725042010985e-6,-99.99999804218923,-3277.571268345991,-1399.9999985356665,-4789.554984930248,-4.196524681296314e-6,311.468146614524,150.6311143678341,4149.999998897851,597.9515573189607,-4357.075435315976
t40,165.86755081639492,-99.99999742578738,-2254.25198622008,-1399.999998735531,-3209.2707073399038,-2857.9999921800077,699.5982694183065,2.3491849847929723e-5,4149.999997306724,5.439630748700549e-10,-4806.056840867492
t41,1050.725795458859,-99.99999967364519,-3674.9999997020514,-1399.999999708891,-4365.763006435731,-2857.9999997266204,739.9999996483708,-540.0162126441112,4149.999999664097,-1.2065145824278784e-9,-6998.053423120929
t42,69.57561737978884,-99.99999950112965,-3674.999999593931,-1399.9999995880726,-5884.64010412571,-2857.999999633748,739.9999994229977,-981.0396706250025,2455.0802342649217,-663.9999992623975,-12298.023921262284
t43,2354.4525545337365,-99.99999937623743,-3674.999999553228,-1399.9999995296143,-705.1577293309502,-2857.999999602754,739.9999991922972,-2183.9767718631374,67.48070951007193,-663.9999986338519,-8424.201234653669
t44,674.634503693293,-5.720416148064419e-8,-3537.9303342893354,-7.403036170683643e-7,-2860.256249361778,-2857.9999978010082,-1.1427124518884582e-8,-810.1852617625068,-987.5796766295674,-9.95647037199294e-7,-10379.317017955484
t45,1.6574734181741071e-6,-7.895159027047531e-7,-3595.794375219282,-333.8530363815475,-4684.098242475003,-1177.522397024133,9.13390969237886e-8,-4.356261216364716e-7,-1359.8251159988006,-663.9999651429924,-11815.093131718088
t46,5.705230068630786e-8,-99.99999503959025,-2931.3230363598277,-642.2766972936854,-3505.013160599528,-1.4153638357549808e-6,1.4049987169131507e-7,2.600994034532416e-7,-1404.9985418055664,-663.9999467756729,-9247.611378831583
t47,-223.37239757834197,-99.99999852652869,-1559.7817670533373,-5.6143683252626e-6,-4384.5702253705285,-1.2765859029310414e-7,9.545324426396269e-8,1585.0340702339308,-3173.281435454344,-7.302816987697715e-6,-7855.97176669854
t48,-1953.1693393676187,-99.99999843936631,-1407.28829911909,-5.898084466084095e-6,-5171.618758996511,-1.2851135397038822e-7,1.0110893081800674e-7,2399.8725617897753,-3633.1660509350754,-7.678337855028962e-6,-9865.369898671712
t49,-3674.9999974863,-99.99999743381613,-1.2709674412117001e-6,2.0728822073522836e-7,-5601.122589077876,1.0874038806139353e-6,-264.33786796700906,2816.3555364281606,-4024.2087062662818,5.237737112209024e-7,-10848.313621255624
t50,-3674.9999967953404,-4.874347401941183e-7,4.7391031971678726e-7,8.561675157398965e-7,-5388.492404747435,460.325094266382,-739.9999969956253,3233.515187173564,-4126.892133683038,2.747352332628108e-6,-10236.5442471915
t51,-3674.9999970404774,-4.875222494806691e-7,4.767169542144098e-7,8.6200350573625e-7,-5367.5764229257375,736.0809219570281,-739.9999971165241,3148.4056107186498,-3808.9288774647093,2.7995908903190867e-6,-9707.018758220982
t52,-3674.9999939004765,-4.6696040351501194e-7,5.252123958634328e-7,8.671293692523171e-7,-4801.26660444309,569.9988215429158,-739.9999971415604,2784.5294881954796,-3732.988485826418,2.8191800809929143e-6,-9594.726767828588
t53,-1119.6170214546612,8.379101405769306e-9,2.7934395220136087e-6,8.050685151344542e-7,-3876.0313111889764,2548.052984599235,-739.9999973617242,1669.680397940595,-3261.9233398298693,2.6264633422135255e-6,-4779.838281062051
