,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6
AnnualSum,1.213071651231611e8,303920.84751449706,-359074.72532775917,0.0,0.0,28716.44076586105,-2.9954002019586038e-5,1.6818829965089753e7,-477692.6511673045,-1.37621865e8,1.4801446885736892e8,181222.38348829016,-214109.6213271276,0.0,0.0,23769.161460773397,-2.9955878731043835e-5,4.954544124015245e7,-1.772483021107504e6,-1.95778309e8,1.0750872871224473e8,0.24189778402103843,-0.2857976636021639,0.0,0.0,9523.591648262922,-2.995121725229933e-5,-1.1164196921501515e7,-958673.3384542112,-9.5395382e7,2.535618730060766e8,144190.4560952734,-170357.34416114193,0.0,0.0,1798.031692991545,-2.9948994939087937e-5,-4.968231624279213e7,-1.274060906875318e6,-2.02581127e8,1.7993429948954976e8,0.048560883899394086,-0.05737319841964278,0.0,0.0,0.00019322304051731334,-2.9951299105128013e-5,-7.16022144474621e6,-902932.0361476713,-1.71871146e8,1.111976495614184e8,0.013271457156326109,-0.015679684166404115,0.0,0.0,2.33472301718456e-5,-2.995058497635467e-5,1.6424634037976458e6,-562013.9627964483,-1.12278099e8
t1,10532.019121602685,1.7753259478899014e-7,-4.945718196974142e-7,0.0,-0.0,-2.3576772886608957e-9,-3.5048343886343965e-9,2677.755447563548,-52.77456884325142,-13157.0,15756.788252892726,1.515267672960119e-7,-8.348796678793036e-7,0.0,-0.0,-2.3596386858291408e-9,-3.505605126240259e-9,2827.6350683448227,-121.42332054835093,-18463.0,7841.294560923869,1.343709542922078e-7,-1.49941652367485e-5,0.0,-0.0,-2.3629133156661307e-9,-3.5047034187693294e-9,1194.2881587508975,-130.5827048089202,-8905.0,23124.596454509086,1.612440441460631e-7,-8.761277094890118e-7,0.0,-0.0,-2.362361790607383e-9,-3.504429119561433e-9,-4315.2100573632715,-96.38639642498835,-18713.0,14749.836000075771,1.4231889523742247e-7,-2.9630594829725288e-6,0.0,-0.0,-2.3605611924124624e-9,-3.5046980404729307e-9,1586.285843592827,-77.12184084186144,-16259.0,14589.050243056414,1.3687559684885577e-7,-4.553303045259274e-6,0.0,-0.0,-2.3650525692883855e-9,-3.5045890850304383e-9,-3970.754460888823,-76.29577774514017,-10542.0
t2,11672.17886847557,1.9943847467936454e-7,-3.965100057675013e-7,0.0,-0.0,-2.3576838464788365e-9,-3.5047952798377773e-9,982.3548486979936,-16.53371697053175,-12638.0,15631.12376231489,1.778220076390946e-7,-5.253223396641409e-7,0.0,-0.0,-2.3596333294530386e-9,-3.505676842535829e-9,2230.240633683359,-125.3643956448992,-17736.0,7198.982882003971,2.909279551427451e-7,-2.75982428992416e-7,0.0,-0.0,-2.357781013507814e-9,-3.504682523371357e-9,1624.1638144071874,-165.14669642006595,-8658.0,22682.120714583427,1.887165979626882e-7,-5.520780699893038e-7,0.0,-0.0,-2.36237612777349e-9,-3.5044352391127035e-9,-4482.65383722426,-110.46687698986048,-18089.0,11913.192504841712,2.9844249825871825e-7,-2.5118826211376633e-7,0.0,-0.0,-2.355201179874062e-9,-3.5046760918333462e-9,3897.0315851449154,-86.22409002789689,-15724.0,14696.330395959418,1.4851467094570702e-7,-3.0285954035884597e-6,0.0,-0.0,-2.365149690496853e-9,-3.5045913685584056e-9,-4251.137044709195,-82.19334836412507,-10363.0
t3,11783.934136043159,2.267826044610463e-7,-3.3175854624307947e-7,0.0,-0.0,-2.3576655097703654e-9,-3.504791953107092e-9,392.674855752509,-6.608991684725818,-12170.0,15219.638056289506,2.0864698739784477e-7,-3.913831718348596e-7,0.0,-0.0,-2.359629701137446e-9,-3.505589830345045e-9,2012.7957768563037,-153.43383295722734,-17079.0,6803.252419206674,3.056195245095339e-7,-2.6594262558662045e-7,0.0,-0.0,-2.3577528690441992e-9,-3.504681455368878e-9,1832.8525678602703,-161.10498710057863,-8475.0,22304.385373235717,2.208379976743587e-7,-4.1200125870975474e-7,0.0,-0.0,-2.3623642001332623e-9,-3.5044412999183415e-9,-4681.916608374099,-112.46876466450149,-17510.0,10876.72670233162,3.089825764194613e-7,-2.454342995445079e-7,0.0,-0.0,-2.3551691308196755e-9,-3.5046787094606127e-9,4642.172968256995,-116.89967064616357,-15402.0,14564.497925808613,1.508836421355905e-7,-2.232945453376574e-6,0.0,-0.0,-2.3651805821901046e-9,-3.504589964531952e-9,-4198.579560351979,-80.91836336854662,-10285.0
t4,11458.566104976648,1.0198818692033395e-6,-1.5505024549922808e-7,0.0,-0.0,-2.3534391484998395e-9,-3.504770350770337e-9,372.7068097049878,-6.272915540498772,-11825.0,15870.09491030091,7.839135311243559e-7,-1.6551441492146642e-7,0.0,-0.0,-2.3555647649630806e-9,-3.505486947714314e-9,892.8224036850065,-190.9173145984615,-16572.0,6320.179009460263,3.2069209096291673e-6,-1.4867823218840866e-7,0.0,-0.0,-2.353516778828124e-9,-3.504665258498107e-9,2235.3259983578646,-132.50501087033373,-8423.0,21943.8751038336,8.217000951679557e-7,-1.7578396583779932e-7,0.0,-0.0,-2.3584883792063574e-9,-3.5044329922692877e-9,-4667.981186573223,-109.89391790036858,-17166.0,10680.003226137216,4.500476657097577e-6,-1.4090286066037835e-7,0.0,-0.0,-2.3507424563184915e-9,-3.5046605294838602e-9,4777.873805606206,-137.87703609701103,-15320.0,13896.12628423861,2.8609587798606226e-6,-1.4964190177318784e-7,0.0,-0.0,-2.356041354818549e-9,-3.5045547262655137e-9,-3610.747830780841,-69.37845616307999,-10216.0
t5,10854.159723843853,1.818066998123854e-6,-1.393316734265167e-7,0.0,-0.0,-2.353929851392935e-9,-3.504774856477675e-9,366.0095780945172,-23.16930361112248,-11197.0,15365.684793436978,1.6591715892946418e-6,-1.3654807695196995e-7,0.0,-0.0,-2.356070786710625e-9,-3.5052684341424263e-9,467.60208952517337,-209.28688447889638,-15624.0,5921.74500633204,1.0848627989234496e-5,-1.3522977039337032e-7,0.0,-0.0,-2.3535162246788306e-9,-3.5046723352152277e-9,2694.6197752191906,-114.3647922585727,-8502.0,21925.677142591172,1.7354784799254558e-6,-1.454898635948871e-7,0.0,-0.0,-2.358933646517657e-9,-3.5044413105814317e-9,-4856.570806998778,-114.10633717643954,-16955.0,10863.850153823401,1.4009894575537898e-5,-1.305868103260214e-7,0.0,-0.0,-2.3507420842850336e-9,-3.5046808240097844e-9,4699.465111685605,-141.31527938232622,-15422.0,13644.899996822187,6.519714472839281e-6,-1.3331162141154218e-7,0.0,-0.0,-2.3560408743455963e-9,-3.5045558279863843e-9,-3371.125747525709,-64.77425567687764,-10209.0
t6,6330.304182972925,8.123789176486834e-7,-1.3326908953994796e-7,0.0,-0.0,-2.3577571346006187e-9,-3.50482126068692e-9,3774.999993204493,-64.30417685054674,-10041.0,14595.11193343991,3.0908447315832627e-7,-2.0278212459640704e-7,0.0,-0.0,-2.3643235671502287e-9,-3.5051749852148585e-9,14.037094193033894,-367.1490277336652,-14242.0,5763.647643139039,3.495368952464379e-7,-1.709750501058387e-7,0.0,-0.0,-2.361270884067356e-9,-3.504690794243023e-9,2985.424291747537,-191.07193505906102,-8558.0,25379.04844953101,3.2517016946885865e-7,-2.1482366616958695e-7,0.0,-0.0,-2.366773934385892e-9,-3.5044547466009772e-9,-8761.984032449587,-202.06441718580245,-16415.0,10043.881744150132,3.303221683853402e-7,-1.641871359522003e-7,0.0,-0.0,-2.3588310813200207e-9,-3.5047126368102796e-9,5760.353437374653,-160.23518168492396,-15644.0,13768.720359727322,3.1687361004046273e-7,-1.952825319948699e-7,0.0,-0.0,-2.3642171103791834e-9,-3.5045749715592533e-9,-3772.8307840701295,-88.88957577277928,-9907.0
t7,7951.736442879751,4.013734952079082e-7,-7.488933447645849e-8,0.0,-0.0,-2.3678356202855923e-9,-3.5049057449771475e-9,972.6336592954065,-16.370102495704113,-8908.0,10494.522004952452,5.240118640165281e-7,-7.906323579135496e-8,0.0,-0.0,-2.3695076864623345e-9,-3.5050852986731523e-9,2506.5608896384942,-94.08289502997121,-12907.0,10768.343910937145,4.2383394650493055e-7,-7.880462368705448e-8,0.0,-0.0,-2.3688849726012963e-9,-3.504658639970886e-9,-1900.8578144133162,-55.48609686277977,-8812.0,20862.21378343659,5.501571497319639e-7,-8.512230942268618e-8,0.0,-0.0,-2.3716778355709186e-9,-3.5044337936635778e-9,-3929.426946726568,-90.78683716909117,-16842.0,13882.61824607166,4.0409637616670996e-7,-7.574630013883502e-8,0.0,-0.0,-2.3667681763182e-9,-3.504696250326243e-9,2279.5297807886755,-44.14802718265999,-16117.999999999998,9655.175543164329,5.164979484583532e-7,-8.040294084061686e-8,0.0,-0.0,-2.369429323287342e-9,-3.5045985362339767e-9,71.56043141730785,-1.735975011765844,-9725.0
t8,8946.564104083507,5.964771211497639e-8,-311.63309817259955,0.0,-0.0,-2.4178185075344666e-9,-3.5051680560903158e-9,-245.44461389498252,-84.48639206673218,-8305.0,8456.762605236514,6.107822187766753e-8,-217.76870688836138,0.0,-0.0,-2.4177647103863647e-9,-3.505250750272176e-9,4286.0851771197395,-291.07907552035397,-12234.0,11786.814825244777,6.262763686734148e-8,-0.0001949260397187494,0.0,-0.0,-2.417838989606511e-9,-3.5048798649413704e-9,-2269.9868389715157,-170.8277914006773,-9346.0,25848.626236952015,6.614691489401746e-8,-180.7796543015748,0.0,-0.0,-2.417713630068353e-9,-3.504625725975715e-9,-7332.605828488483,-201.2407542195592,-18134.0,16518.969126112475,6.036239416225761e-8,-3.5619425047935466e-5,0.0,-0.0,-2.41774045787664e-9,-3.5049296725181224e-9,824.5189293267217,-156.48801987110843,-17187.0,5465.5763691685215,6.242308498040733e-8,-1.0619680550875161e-5,0.0,-0.0,-2.4177312944130775e-9,-3.50480503828323e-9,4737.4331749085195,-95.00953350119734,-10108.0
