Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6
cTotal,2.176197919920369e10,3.028442440945193e9,4.2036407160992384e9,2.1158088055789912e9,6.672899426008419e9,2.7707583371815157e9,2.780295157250416e9
cFix,1.0960596454698965e10,1.4087246905726771e9,1.53068054756127e9,1.485486182140126e9,3.0980624992874956e9,2.4353179999044504e9,1.0023245352329549e9
cVar,1.0640590396722916e10,1.633965647392493e9,2.681479216758898e9,6.303226300007079e8,3.5814119417403827e9,3.3544033847643644e8,1.7779706223539946e9
cNSE,3.847575553062115e7,1.7316013512228195e7,1.433280409124345e7,5.742725494341589e6,1.0842128413329474e6,-0.15304819851421222,-0.25547688499356924
cStart,1.2231659225324053e8,2.193442068066049e7,2.8842272846841842e7,1.3057784714799536e7,4.605717690659723e7,1.175073623646049e7,674200.8678811525
cUnmetRsv,0.0,-,-,-,-,-,-
cNetworkExp,-0.0020650865401441796,-,-,-,-,-,-
cGridCost,0.0,-,-,-,-,-,-
