Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery
1,1.0,0.0,0.153121052,0.110784598,0.082547257,1.0
2,1.0,0.0,0.247603117,0.185804047,0.136144993,1.0
3,1.0,0.0,0.378901353,0.280376767,0.212421998,1.0
4,1.0,0.0,0.490591414,0.379103509,0.302178396,1.0
5,1.0,0.0,0.602692338,0.495954373,0.436586288,1.0
6,1.0,0.0,0.679469543,0.591877469,0.523195921,1.0
7,1.0,0.0,0.728468346,0.631511011,0.542561455,1.0
8,1.0,0.0,0.755813268,0.656438541,0.537213197,1.0
9,1.0,0.017256651,0.761188651,0.681564892,0.548178309,1.0
10,1.0,0.0256418,0.738626625,0.663045561,0.517081108,1.0
11,1.0,0.044468801,0.718250599,0.645080062,0.469056291,1.0
12,1.0,0.063578052,0.68276514,0.621317672,0.417433427,1.0
13,1.0,0.055729587,0.645331933,0.592267737,0.404561866,1.0
14,1.0,0.036845845,0.583510713,0.559774215,0.380977026,1.0
15,1.0,0.024584441,0.510101617,0.496898807,0.29679653,1.0
16,1.0,0.010056739,0.443152045,0.398530351,0.192549905,1.0
17,1.0,0.0,0.436931685,0.302204005,0.140500699,1.0
18,1.0,0.0,0.460430977,0.251892094,0.206641082,1.0
19,1.0,0.0,0.532019935,0.365065615,0.35303181,1.0
20,1.0,0.0,0.622089797,0.508866233,0.461693423,1.0
21,1.0,0.0,0.707921231,0.62451616,0.551296116,1.0
22,1.0,0.0,0.743570901,0.679502124,0.568257441,1.0
23,1.0,0.0,0.75441488,0.709634159,0.590086404,1.0
24,1.0,0.0,0.768360643,0.724195429,0.60464506,1.0
25,1.0,0.0,0.776185187,0.727865374,0.616980001,1.0
26,1.0,0.0,0.776004943,0.729709976,0.600336562,1.0
27,1.0,0.0,0.776782239,0.726962787,0.592544719,1.0
28,1.0,0.0,0.776380415,0.72917904,0.590952283,1.0
29,1.0,0.0,0.777810705,0.73285524,0.587058569,1.0
30,1.0,0.0,0.775193271,0.72339915,0.559055858,1.0
31,1.0,0.0,0.76706273,0.702965991,0.530219012,1.0
32,1.0,0.050504647,0.763184135,0.697826915,0.540279656,1.0
33,1.0,0.352514813,0.755235998,0.683957035,0.554839009,1.0
34,1.0,0.507688318,0.722793333,0.674112977,0.585944391,1.0
35,1.0,0.389294541,0.711753269,0.660515257,0.596883653,1.0
36,1.0,0.245166428,0.725393982,0.691701036,0.646144368,1.0
37,1.0,0.183720601,0.733656811,0.695501646,0.661699668,1.0
38,1.0,0.165999252,0.734065,0.690637541,0.665282108,1.0
39,1.0,0.178072516,0.711417138,0.652685784,0.602014899,1.0
40,1.0,0.093791263,0.657930444,0.598077495,0.510829237,1.0
41,1.0,0.0,0.723666592,0.654273499,0.535179542,1.0
42,1.0,0.0,0.750208337,0.674908227,0.512377976,1.0
43,1.0,0.0,0.749400619,0.66136085,0.463436177,1.0
44,1.0,0.0,0.736736603,0.628642102,0.418133915,1.0
45,1.0,0.0,0.717583779,0.585611807,0.37848768,1.0
46,1.0,0.0,0.69893077,0.54304095,0.346474606,1.0
47,1.0,0.0,0.668881179,0.502424717,0.315332047,1.0
48,1.0,0.0,0.620782646,0.475285463,0.291788025,1.0
