Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,region,cluster
MA_battery,1,1,1,0,0,0,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,MA,0
CT_battery,2,1,1,0,0,0,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,CT,0
ME_battery,3,1,1,0,0,0,0,0,19584,22494,4895,5622,0.15,0.15,0,0.92,0.92,1,10,ME,0
MA_battery_for_electrolyzer,1,1,1,1,0,0,0,0,21542,24743,4895,5622,0.15,0.15,0,0.92,0.92,1,10,MA,0
CT_battery_for_electrolyzer,2,1,1,1,0,0,0,0,21542,24743,4895,5622,0.15,0.15,0,0.92,0.92,1,10,CT,0
ME_battery_for_electrolyzer,3,1,1,1,0,0,0,0,21542,24743,4895,5622,0.15,0.15,0,0.92,0.92,1,10,ME,0
