Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
,,,,,,,202,38437.73858
,,,,,,,203,38497.90496
,,,,,,,204,38704.3366
,,,,,,,205,38712.8206
,,,,,,,206,38659.54987
,,,,,,,207,38667.00555
,,,,,,,208,38621.28377
,,,,,,,209,38992.1541
,,,,,,,210,40118.22175
,,,,,,,211,39809.186
,,,,,,,212,38579.11766
,,,,,,,213,36573.63833
,,,,,,,214,34552.33752
,,,,,,,215,32798.50144
,,,,,,,216,31712.61299
,,,,,,,217,31149.48184
,,,,,,,218,30982.64473
,,,,,,,219,31131.38583
,,,,,,,220,32220.47867
,,,,,,,221,34611.60855
,,,,,,,222,37050.87434
,,,,,,,223,37162.63902
,,,,,,,224,37129.96133
,,,,,,,225,36973.02645
,,,,,,,226,36846.45517
,,,,,,,227,36684.13702
,,,,,,,228,36934.4481
,,,,,,,229,37053.48956
,,,,,,,230,37084.40855
,,,,,,,231,37100.87935
,,,,,,,232,36894.6799
,,,,,,,233,36752.43632
,,,,,,,234,37884.01628
,,,,,,,235,37936.12248
,,,,,,,236,36983.15108
,,,,,,,237,35118.53345
,,,,,,,238,33318.15324
,,,,,,,239,31631.67172
,,,,,,,240,30805.23819
,,,,,,,241,30325.198
,,,,,,,242,29974.36785
,,,,,,,243,30055.69589
,,,,,,,244,31050.32852
,,,,,,,245,33586.94297
,,,,,,,246,36100.24984
,,,,,,,247,36516.69997
,,,,,,,248,36470.11834
,,,,,,,249,36337.40649
,,,,,,,250,36150.87754
,,,,,,,251,35879.47549
,,,,,,,252,35709.63542
,,,,,,,253,35589.06387
,,,,,,,254,35490.12053
,,,,,,,255,35374.466
,,,,,,,256,35240.90555
,,,,,,,257,35444.94369
,,,,,,,258,36838.9318
,,,,,,,259,37319.11295
,,,,,,,260,36396.16295
,,,,,,,261,34834.27509
,,,,,,,262,33165.3859
,,,,,,,263,31622.29213
,,,,,,,264,30961.71238
,,,,,,,265,30440.60935
,,,,,,,266,30296.08014
,,,,,,,267,30442.94631
,,,,,,,268,31299.28189
,,,,,,,269,33906.43333
,,,,,,,270,36454.3418
,,,,,,,271,37055.05271
,,,,,,,272,36949.0137
,,,,,,,273,36686.89917
,,,,,,,274,36537.05702
,,,,,,,275,36124.8385
,,,,,,,276,36106.08575
,,,,,,,277,36039.04192
,,,,,,,278,35790.57029
,,,,,,,279,35790.12371
,,,,,,,280,35437.05466
,,,,,,,281,35429.81652
,,,,,,,282,36142.08048
,,,,,,,283,36009.80287
,,,,,,,284,35218.26978
,,,,,,,285,33947.25678
,,,,,,,286,32690.70507
,,,,,,,287,31060.19713
,,,,,,,288,30045.86
,,,,,,,289,29320.25443
,,,,,,,290,28979.00078
,,,,,,,291,28904.87558
,,,,,,,292,29102.43015
,,,,,,,293,29965.0566
,,,,,,,294,31328.91552
,,,,,,,295,32374.98857
,,,,,,,296,33447.38872
,,,,,,,297,34092.10022
,,,,,,,298,34230.65798
,,,,,,,299,34051.93736
,,,,,,,300,33825.28458
,,,,,,,301,33414.26884
,,,,,,,302,33346.49013
,,,,,,,303,33276.25576
,,,,,,,304,33281.06931
,,,,,,,305,33333.80058
,,,,,,,306,34460.15388
,,,,,,,307,34462.6878
,,,,,,,308,33946.24266
,,,,,,,309,32845.92497
,,,,,,,310,31631.97683
,,,,,,,311,30621.06366
,,,,,,,312,30051.98077
,,,,,,,313,29584.26942
,,,,,,,314,29624.51536
,,,,,,,315,29831.50712
,,,,,,,316,30249.19828
,,,,,,,317,31309.7877
,,,,,,,318,32703.88069
,,,,,,,319,34283.92896
,,,,,,,320,34946.05946
,,,,,,,321,34810.24625
,,,,,,,322,34374.14281
,,,,,,,323,33866.39229
,,,,,,,324,33531.0665
,,,,,,,325,33179.09078
,,,,,,,326,32856.49131
,,,,,,,327,33071.1592
,,,,,,,328,33566.03604
,,,,,,,329,34383.01202
,,,,,,,330,36409.16113
,,,,,,,331,36782.55291
,,,,,,,332,36244.80007
,,,,,,,333,34963.33408
,,,,,,,334,33589.01914
,,,,,,,335,32414.51839
,,,,,,,336,31852.01501
,,,,,,,337,41208.63123
,,,,,,,338,41170.60652
,,,,,,,339,41573.30843
,,,,,,,340,42074.47946
,,,,,,,341,42743.62351
,,,,,,,342,44008.79962
,,,,,,,343,46012.47738
,,,,,,,344,47054.47061
,,,,,,,345,47314.32468
,,,,,,,346,47057.48665
,,,,,,,347,46462.65124
,,,,,,,348,45890.28551
,,,,,,,349,45373.54876
,,,,,,,350,44932.41046
,,,,,,,351,45495.53175
,,,,,,,352,46603.03491
,,,,,,,353,48539.87445
,,,,,,,354,49302.84994
,,,,,,,355,49586.08859
,,,,,,,356,49518.99899
,,,,,,,357,48970.50309
,,,,,,,358,47914.23453
,,,,,,,359,47240.81637
,,,,,,,360,46887.5772
,,,,,,,361,47452.8888
,,,,,,,362,48283.64385
,,,,,,,363,49544.19998
,,,,,,,364,51902.70418
,,,,,,,365,55703.80102
,,,,,,,366,58700.8192
,,,,,,,367,58905.54574
,,,,,,,368,58109.17651
,,,,,,,369,57040.3661
,,,,,,,370,55222.47189
,,,,,,,371,53291.24026
,,,,,,,372,51546.69938
,,,,,,,373,49646.27085
,,,,,,,374,48094.92958
,,,,,,,375,47782.19316
,,,,,,,376,48807.57917
,,,,,,,377,52041.38695
,,,,,,,378,54137.46592
,,,,,,,379,54243.93046
,,,,,,,380,53407.69576
,,,,,,,381,51798.89787
,,,,,,,382,49656.3379
,,,,,,,383,48076.31012
,,,,,,,384,47282.72683
,,,,,,,385,46694.38985
,,,,,,,386,46651.94412
,,,,,,,387,46978.13428
,,,,,,,388,48378.02664
,,,,,,,389,51461.54775
,,,,,,,390,53953.72213
,,,,,,,391,54086.21435
,,,,,,,392,53595.52024
,,,,,,,393,52967.50813
,,,,,,,394,51958.23751
,,,,,,,395,51125.82058
,,,,,,,396,50437.77848
,,,,,,,397,49852.43057
,,,,,,,398,49557.23593
,,,,,,,399,49699.713
,,,,,,,400,50852.79496
,,,,,,,401,52613.67141
,,,,,,,402,53069.80426
,,,,,,,403,52654.76123
,,,,,,,404,51320.82134
,,,,,,,405,49302.50708
,,,,,,,406,47246.3269
,,,,,,,407,45664.7117
,,,,,,,408,44817.06354
,,,,,,,409,44349.80265
,,,,,,,410,44388.63838
,,,,,,,411,44747.57505
,,,,,,,412,45901.81835
,,,,,,,413,49221.53653
,,,,,,,414,51832.26309
,,,,,,,415,52099.059
,,,,,,,416,51825.48121
,,,,,,,417,51325.67123
,,,,,,,418,50896.89952
,,,,,,,419,50225.3763
,,,,,,,420,49537.24773
,,,,,,,421,48946.05288
,,,,,,,422,48957.92945
,,,,,,,423,49123.11619
,,,,,,,424,50329.33181
,,,,,,,425,52809.2035
,,,,,,,426,54364.96714
,,,,,,,427,54531.25616
,,,,,,,428,53881.63529
,,,,,,,429,52190.03539
,,,,,,,430,50216.20363
,,,,,,,431,48771.80788
,,,,,,,432,48258.20579
,,,,,,,433,48554.22228
,,,,,,,434,48842.72624
,,,,,,,435,49590.50289
,,,,,,,436,51597.74311
,,,,,,,437,54907.58516
,,,,,,,438,57261.52321
,,,,,,,439,56538.30679
,,,,,,,440,54098.6709
,,,,,,,441,51631.33836
,,,,,,,442,49335.31115
,,,,,,,443,46997.59708
,,,,,,,444,45533.21488
,,,,,,,445,44214.11204
,,,,,,,446,43097.71727
,,,,,,,447,42936.6671
,,,,,,,448,43905.9725
,,,,,,,449,47072.61525
,,,,,,,450,49344.27354
,,,,,,,451,50004.65129
,,,,,,,452,50020.53535
,,,,,,,453,48902.56655
,,,,,,,454,47396.71992
,,,,,,,455,46058.68719
,,,,,,,456,45939.04733
,,,,,,,457,45802.47272
,,,,,,,458,46081.36316
,,,,,,,459,46737.04822
,,,,,,,460,48455.44398
,,,,,,,461,51575.49496
,,,,,,,462,54161.27451
,,,,,,,463,53705.38513
,,,,,,,464,51625.32458
,,,,,,,465,49511.57611
,,,,,,,466,47644.34407
,,,,,,,467,45880.95986
,,,,,,,468,44623.84389
,,,,,,,469,43652.4538
,,,,,,,470,42858.43177
,,,,,,,471,42823.11185
,,,,,,,472,43303.29677
,,,,,,,473,44941.19532
,,,,,,,474,45899.83694
,,,,,,,475,45777.52969
,,,,,,,476,45191.4387
,,,,,,,477,44121.64431
,,,,,,,478,42826.46233
,,,,,,,479,41191.91137
,,,,,,,480,40672.47346
,,,,,,,481,39869.10286
,,,,,,,482,39791.88671
,,,,,,,483,39887.76992
,,,,,,,484,40514.99629
,,,,,,,485,41492.68386
,,,,,,,486,43001.21232
,,,,,,,487,44399.32002
,,,,,,,488,46004.73671
,,,,,,,489,47021.57851
,,,,,,,490,46951.24283
,,,,,,,491,46402.63988
,,,,,,,492,45690.53771
,,,,,,,493,45172.69101
,,,,,,,494,44811.19459
,,,,,,,495,44867.44086
,,,,,,,496,45453.41952
,,,,,,,497,47060.13819
,,,,,,,498,47574.68352
,,,,,,,499,46984.92499
,,,,,,,500,46336.42498
,,,,,,,501,45144.38007
,,,,,,,502,43663.78355
,,,,,,,503,42186.19343
,,,,,,,504,41365.05102
,,,,,,,505,35783.1048
,,,,,,,506,35895.78744
,,,,,,,507,36065.63582
,,,,,,,508,36687.11111
,,,,,,,509,37989.29088
,,,,,,,510,39002.66126
,,,,,,,511,39805.53444
,,,,,,,512,39519.91651
,,,,,,,513,38600.09739
,,,,,,,514,37490.61114
,,,,,,,515,36836.46183
,,,,,,,516,36190.37859
,,,,,,,517,35778.7675
,,,,,,,518,35540.19371
,,,,,,,519,35686.29874
,,,,,,,520,36310.90381
,,,,,,,521,37880.46163
,,,,,,,522,39897.09144
,,,,,,,523,39984.70923
,,,,,,,524,39301.2591
,,,,,,,525,38148.33072
,,,,,,,526,36261.32247
,,,,,,,527,34918.50889
,,,,,,,528,34059.85695
,,,,,,,529,34006.2253
,,,,,,,530,34171.39276
,,,,,,,531,34885.82495
,,,,,,,532,36552.9763
,,,,,,,533,40011.77855
,,,,,,,534,42744.26246
,,,,,,,535,43442.73003
,,,,,,,536,43479.98494
,,,,,,,537,43342.27028
,,,,,,,538,43098.63152
,,,,,,,539,42643.79392
,,,,,,,540,42107.81095
,,,,,,,541,41556.70599
,,,,,,,542,41037.49502
,,,,,,,543,40948.58361
,,,,,,,544,41326.62961
,,,,,,,545,42773.97666
,,,,,,,546,44245.41211
,,,,,,,547,43889.13051
,,,,,,,548,42462.18296
,,,,,,,549,40707.28373
,,,,,,,550,38757.36115
,,,,,,,551,37421.73985
,,,,,,,552,36439.48782
,,,,,,,553,36294.09838
,,,,,,,554,36307.30477
,,,,,,,555,37045.82021
,,,,,,,556,38954.15844
,,,,,,,557,42490.80572
,,,,,,,558,44839.52067
,,,,,,,559,44545.42161
,,,,,,,560,43731.89183
,,,,,,,561,43102.8689
,,,,,,,562,42251.74513
,,,,,,,563,41602.16277
,,,,,,,564,40980.09293
,,,,,,,565,40558.1874
,,,,,,,566,40247.02142
,,,,,,,567,40185.9921
,,,,,,,568,40606.48228
,,,,,,,569,42099.77173
,,,,,,,570,44357.3836
,,,,,,,571,44497.75807
,,,,,,,572,43870.04973
,,,,,,,573,42322.41872
,,,,,,,574,40466.09309
,,,,,,,575,39084.52836
,,,,,,,576,38543.33463
,,,,,,,577,38676.42975
,,,,,,,578,38953.5135
,,,,,,,579,39967.18486
,,,,,,,580,42071.81188
,,,,,,,581,45578.75397
,,,,,,,582,48041.53769
,,,,,,,583,48031.11605
,,,,,,,584,47207.15463
,,,,,,,585,46709.10517
,,,,,,,586,46081.24688
,,,,,,,587,45318.78553
,,,,,,,588,44712.93167
,,,,,,,589,44007.56875
,,,,,,,590,43278.10754
,,,,,,,591,43410.94921
,,,,,,,592,44011.26182
,,,,,,,593,45861.02481
,,,,,,,594,47798.70842
,,,,,,,595,47925.53873
,,,,,,,596,47357.82524
,,,,,,,597,45735.69165
,,,,,,,598,44027.55022
,,,,,,,599,42974.60144
,,,,,,,600,42356.1079
,,,,,,,601,42308.8392
,,,,,,,602,42400.25244
,,,,,,,603,43099.80686
,,,,,,,604,45086.11358
,,,,,,,605,48453.77035
,,,,,,,606,50540.26773
,,,,,,,607,49847.38476
,,,,,,,608,48747.99774
,,,,,,,609,47570.52845
,,,,,,,610,46660.48233
,,,,,,,611,45535.26649
,,,,,,,612,44668.75155
,,,,,,,613,43771.42548
,,,,,,,614,43014.54936
,,,,,,,615,42814.92378
,,,,,,,616,43051.50929
,,,,,,,617,44897.25844
,,,,,,,618,47549.32872
,,,,,,,619,48032.66558
,,,,,,,620,47862.52761
,,,,,,,621,46416.58379
,,,,,,,622,44782.77305
,,,,,,,623,43636.12191
,,,,,,,624,43261.31747
,,,,,,,625,43261.9826
,,,,,,,626,43513.13797
,,,,,,,627,44237.09576
,,,,,,,628,45982.9225
,,,,,,,629,49261.60161
,,,,,,,630,51039.70802
,,,,,,,631,49858.69526
,,,,,,,632,47288.80152
,,,,,,,633,45492.09168
,,,,,,,634,43949.83853
,,,,,,,635,42433.113
,,,,,,,636,41315.61468
,,,,,,,637,40304.32512
,,,,,,,638,39520.18445
,,,,,,,639,39174.14485
,,,,,,,640,39292.89504
,,,,,,,641,40236.11788
,,,,,,,642,41834.84456
,,,,,,,643,41835.09535
,,,,,,,644,41389.99308
,,,,,,,645,40283.86704
,,,,,,,646,38772.16708
,,,,,,,647,37365.29741
,,,,,,,648,36689.78253
,,,,,,,649,35978.29062
,,,,,,,650,35689.00554
,,,,,,,651,35847.3778
,,,,,,,652,36449.23374
,,,,,,,653,37322.5064
,,,,,,,654,38329.2292
,,,,,,,655,39571.66535
,,,,,,,656,40331.00299
,,,,,,,657,40276.56203
,,,,,,,658,39628.33789
,,,,,,,659,38741.25037
,,,,,,,660,37991.61771
,,,,,,,661,37409.95334
,,,,,,,662,37104.44541
,,,,,,,663,37125.79701
,,,,,,,664,37412.93721
,,,,,,,665,38415.18344
,,,,,,,666,39754.47507
,,,,,,,667,39518.69529
,,,,,,,668,38951.60361
,,,,,,,669,37861.34883
,,,,,,,670,36446.9455
,,,,,,,671,35143.35377
,,,,,,,672,34442.43387
,,,,,,,673,42169.58114
,,,,,,,674,42190.00084
,,,,,,,675,42169.98091
,,,,,,,676,42619.85719
,,,,,,,677,43816.08119
,,,,,,,678,44927.74628
,,,,,,,679,46222.74315
,,,,,,,680,46205.91408
,,,,,,,681,44976.60767
,,,,,,,682,43885.90537
,,,,,,,683,43002.26655
,,,,,,,684,42398.73711
,,,,,,,685,41851.31526
,,,,,,,686,41562.998
,,,,,,,687,41765.26703
,,,,,,,688,42317.81736
,,,,,,,689,42708.82873
,,,,,,,690,43275.53157
,,,,,,,691,44901.35353
,,,,,,,692,44744.7535
,,,,,,,693,43214.14356
,,,,,,,694,40955.07502
,,,,,,,695,39408.6651
,,,,,,,696,38578.75344
,,,,,,,697,37924.96392
,,,,,,,698,38005.37678
,,,,,,,699,38465.10089
,,,,,,,700,40321.49667
,,,,,,,701,43647.69817
,,,,,,,702,46263.18695
,,,,,,,703,46363.98544
,,,,,,,704,45637.71306
,,,,,,,705,44713.32384
,,,,,,,706,43825.33537
,,,,,,,707,43513.9542
,,,,,,,708,43246.08881
,,,,,,,709,42606.92335
,,,,,,,710,42032.66222
,,,,,,,711,41889.86459
,,,,,,,712,41657.63851
,,,,,,,713,41652.34889
,,,,,,,714,41767.9403
,,,,,,,715,43591.3874
,,,,,,,716,43806.96727
,,,,,,,717,42034.06847
,,,,,,,718,39631.14362
,,,,,,,719,38169.67719
,,,,,,,720,37387.74984
,,,,,,,721,37276.20221
,,,,,,,722,37327.76823
,,,,,,,723,38105.38302
,,,,,,,724,39979.61988
,,,,,,,725,43631.19547
,,,,,,,726,46115.78975
,,,,,,,727,45745.99311
,,,,,,,728,44373.58476
,,,,,,,729,43197.62145
,,,,,,,730,42236.73616
,,,,,,,731,41745.19221
,,,,,,,732,41594.57454
,,,,,,,733,41093.84293
,,,,,,,734,40566.5848
,,,,,,,735,40427.21049
,,,,,,,736,40366.12509
,,,,,,,737,40356.22421
,,,,,,,738,40748.45404
,,,,,,,739,42895.73836
,,,,,,,740,43387.87684
,,,,,,,741,41608.24231
,,,,,,,742,39183.32514
,,,,,,,743,37588.56982
,,,,,,,744,36941.3326
,,,,,,,745,36711.82052
,,,,,,,746,36809.44619
,,,,,,,747,37611.02843
,,,,,,,748,39124.4984
,,,,,,,749,42715.55995
,,,,,,,750,45426.35515
,,,,,,,751,45088.20181
,,,,,,,752,43826.09817
,,,,,,,753,42619.1991
,,,,,,,754,41641.03836
,,,,,,,755,40929.66524
,,,,,,,756,40681.41202
,,,,,,,757,40513.64849
,,,,,,,758,40536.38468
,,,,,,,759,40563.10951
,,,,,,,760,40661.31428
,,,,,,,761,40648.39295
,,,,,,,762,40540.85489
,,,,,,,763,42144.49925
,,,,,,,764,42242.0392
,,,,,,,765,40176.69095
,,,,,,,766,37449.33176
,,,,,,,767,35472.98038
,,,,,,,768,34340.35564
,,,,,,,769,33592.74164
,,,,,,,770,33357.31933
,,,,,,,771,33558.77962
,,,,,,,772,35063.12217
,,,,,,,773,38504.69372
,,,,,,,774,40871.89031
,,,,,,,775,41024.03427
,,,,,,,776,40751.64456
,,,,,,,777,40663.52233
,,,,,,,778,40738.79659
,,,,,,,779,40826.67256
,,,,,,,780,41381.04221
,,,,,,,781,41947.23873
,,,,,,,782,42443.6156
,,,,,,,783,43121.94373
,,,,,,,784,43441.26991
,,,,,,,785,43462.65138
,,,,,,,786,43035.75861
,,,,,,,787,44195.25717
,,,,,,,788,44103.88094
,,,,,,,789,41882.28105
,,,,,,,790,38871.06733
,,,,,,,791,35986.96969
,,,,,,,792,34482.77152
,,,,,,,793,33516.96725
,,,,,,,794,33152.8283
,,,,,,,795,33246.40141
,,,,,,,796,34148.24739
,,,,,,,797,36863.41526
,,,,,,,798,39265.17267
,,,,,,,799,40080.3908
,,,,,,,800,40663.44521
,,,,,,,801,41372.2158
,,,,,,,802,41905.50461
,,,,,,,803,42251.14556
,,,,,,,804,42747.80128
,,,,,,,805,43195.81453
,,,,,,,806,43543.41826
,,,,,,,807,43793.53013
,,,,,,,808,43739.90334
,,,,,,,809,43331.85965
,,,,,,,810,42294.56845
,,,,,,,811,42784.24915
,,,,,,,812,42486.68574
,,,,,,,813,40543.07916
,,,,,,,814,37898.16905
,,,,,,,815,35570.36197
,,,,,,,816,34026.75078
,,,,,,,817,33144.76634
,,,,,,,818,32365.95844
,,,,,,,819,32009.19344
,,,,,,,820,32286.27114
,,,,,,,821,33379.94376
,,,,,,,822,34408.32661
,,,,,,,823,35989.81562
,,,,,,,824,37793.82549
,,,,,,,825,39078.07924
,,,,,,,826,39654.92287
,,,,,,,827,39643.81181
,,,,,,,828,39945.92575
,,,,,,,829,39771.70821
,,,,,,,830,39455.13118
,,,,,,,831,39595.2018
,,,,,,,832,39992.79275
,,,,,,,833,39975.75852
,,,,,,,834,40153.64258
,,,,,,,835,41144.73525
,,,,,,,836,40838.3045
,,,,,,,837,39552.80809
,,,,,,,838,37652.10632
,,,,,,,839,36020.67398
,,,,,,,840,34799.30721
,,,,,,,841,41384.55767
,,,,,,,842,39910.5589
,,,,,,,843,38725.03633
,,,,,,,844,37993.37918
,,,,,,,845,37225.86201
,,,,,,,846,37615.42953
,,,,,,,847,40463.95315
,,,,,,,848,44125.02197
,,,,,,,849,47592.04129
,,,,,,,850,50705.77048
,,,,,,,851,53499.34621
,,,,,,,852,55917.44846
,,,,,,,853,57973.16709
,,,,,,,854,59708.40271
,,,,,,,855,61336.39141
,,,,,,,856,62361.5879
,,,,,,,857,62185.25094
,,,,,,,858,60929.30394
,,,,,,,859,58521.262
,,,,,,,860,56759.65853
,,,,,,,861,53983.33861
,,,,,,,862,49996.37473
,,,,,,,863,46782.43446
,,,,,,,864,43864.54395
,,,,,,,865,42115.15089
,,,,,,,866,40869.60745
,,,,,,,867,40239.29131
,,,,,,,868,40939.32926
,,,,,,,869,42351.43596
,,,,,,,870,44701.53611
,,,,,,,871,47992.9022
,,,,,,,872,51580.14012
,,,,,,,873,55312.50868
,,,,,,,874,59194.56249
,,,,,,,875,62543.43184
,,,,,,,876,65326.62205
,,,,,,,877,67270.85371
,,,,,,,878,68533.7178
,,,,,,,879,69075.46666
,,,,,,,880,69102.92078
,,,,,,,881,68427.39801
,,,,,,,882,66983.92032
,,,,,,,883,64437.46383
,,,,,,,884,62368.34868
,,,,,,,885,58872.12143
,,,,,,,886,54226.85334
,,,,,,,887,50094.60518
,,,,,,,888,46686.07329
,,,,,,,889,44688.68997
,,,,,,,890,43151.28318
,,,,,,,891,42372.79085
,,,,,,,892,42713.11092
,,,,,,,893,44062.68277
,,,,,,,894,46252.18223
,,,,,,,895,49446.15613
,,,,,,,896,52894.15197
,,,,,,,897,56955.83165
,,,,,,,898,60957.34381
,,,,,,,899,64076.87295
,,,,,,,900,66732.74132
,,,,,,,901,68402.7274
,,,,,,,902,69398.83817
,,,,,,,903,69894.48842
,,,,,,,904,69579.61617
,,,,,,,905,68676.00919
,,,,,,,906,66892.78353
,,,,,,,907,64440.65595
,,,,,,,908,62524.68844
,,,,,,,909,59176.65047
,,,,,,,910,55063.86951
,,,,,,,911,50864.14094
,,,,,,,912,47925.20466
,,,,,,,913,45613.09477
,,,,,,,914,44005.15393
,,,,,,,915,43123.53728
,,,,,,,916,43246.39881
