Resource,NGCC,NGCT,NGST,Coal,Nuclear,Biomass,SolarPV,Wind,Hydro,PHS,Li-ion,Retro_NGCC_CCS,Retro_NGCC_H2,Retro_Coal_TES,Retro_Coal_SMR,unmet,Total
t381,1490.85877667,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.85877667
t382,1431.58352228,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1441.58352228
t383,1397.24254055,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.24254055
t384,1363.66479041,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1373.66479041
t385,1357.01683844,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1367.01683844
t386,1349.51598992,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1359.51598992
t387,750.3054924846182,185.61572902538194,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.9212215100001
t388,800.7637725546182,185.61572902538194,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.3795015800001
t389,812.1798128586892,267.223333611311,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.4031464700001
t390,869.5516140486892,267.223333611311,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1576.7749476600002
t391,852.273096528689,267.223333611311,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1559.49643014
t392,874.8083494786889,267.223333611311,430.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1572.03168309
t393,1724.5618743416535,267.223333611311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.7852079529644
t394,0.0,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1442.7332830440712,0.0,0.0,0.0,0.0,1524.3408876300002
t395,0.0,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1425.7637323140711,0.0,0.0,0.0,0.0,1507.3713369000002
t396,0.0,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1416.507118134071,0.0,0.0,0.0,0.0,1498.1147227200001
t397,0.0,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.682817514071,0.0,0.0,0.0,0.0,1486.2904221000001
t398,0.0,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1399.6316820840711,0.0,0.0,0.0,0.0,1481.2392866700002
t399,0.0,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.847817074071,0.0,0.0,0.0,0.0,1497.45542166
t400,1467.636611274071,81.60760458592904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.24421586
t401,1079.0466181967386,81.60760458592904,419.46511571733254,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1590.1193385000001
t402,782.397375868233,370.03829236176716,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592.4356682300001
t403,1133.85858256,0.0,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1573.85858256
t404,12702.723357986066,0.0,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13142.723357986066
t405,747.7843330541623,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1476.21502083
t406,975.27753598,0.0,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1415.27753598
t407,643.3763052641625,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1371.8069930400002
t408,621.6171223241624,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0478101
t409,896.11591135,0.0,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1336.11591135
t410,887.07536005,0.0,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1327.07536005
t411,619.8230271641623,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.25371494
t412,664.8619769441625,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1393.2926647200002
t413,761.5913611241624,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0220489
t414,821.4051190841624,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.83580686
t415,819.3520861241625,288.43068777583767,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1547.7827739000002
t416,1481.6791304323965,0.0,43.543002957603676,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1535.2221333900002
t417,1856.1782146773694,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1866.1782146773694
t418,1501.53126618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1501.53126618
t419,1471.9303030400001,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.9303030400001
t420,1456.4816972300002,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1466.4816972300002
t421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1453.6066231500001,0.0,0.0,0.0,0.0,1453.6066231500001
t422,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1432.2714317000002,0.0,0.0,0.0,0.0,1442.2714317000002
t423,4636.3675338562625,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4646.3675338562625
t424,1499.06790957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1499.06790957
t425,645.6414062711835,457.4371935388164,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.07859981
t426,651.9921057911836,457.4371935388164,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1549.42929933
t427,646.1574012011838,457.4371935388164,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.5945947400003
t428,616.9104885611837,457.4371935388164,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.3476821000002
t429,567.6190251311837,457.4371935388165,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1465.0562186700001
t430,523.6999070211837,457.4371935388165,430.00000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.1371005600001
t431,482.5549871711835,457.4371935388165,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1379.99218071
t432,463.4806591511838,457.4371935388165,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.9178526900002
t433,880.8561682611837,457.4371935388165,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.2933618000002
t434,453.31969878118366,457.4371935388165,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.7568923200001
t435,929.9488237600001,0.0,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1369.94882376
t436,378.7304656240649,607.7447339759353,430.00000000000006,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.4751996000002
