Resource,Zone,cluster,With_LOX,New_Build,Can_Retire,Cap_Res,region,Existing_Cap_MW,Existing_Cap_sCO2Turbine,Existing_Cap_ASU,Existing_Cap_LOX,Inv_Cost_sCO2Turbine_per_MWyr,Fixed_OM_Cost_sCO2Turbine_per_MWyr,Var_OM_Cost_sCO2Turbine_per_MWh,Inv_Cost_ASU_per_MWyr,Fixed_OM_Cost_ASU_per_MWyr,Var_OM_Cost_ASU_per_MWh,Inv_Cost_LOX_per_tyr,Fixed_OM_Cost_LOX_per_tyr,Var_OM_Cost_LOX_per_t,New_Build_sCO2Turbine,New_Build_ASU,New_Build_LOX,Can_Retire_sCO2Turbine,Can_Retire_ASU,Can_Retire_LOX,Cap_Size_sCO2Turbine,Cap_Size_ASU,Cap_Size_LOX,Start_Cost_sCO2Turbine_per_MW,Start_Cost_ASU_per_MW,Start_Fuel_sCO2Turbine_MMBTU_per_MW,Start_Fuel_ASU_per_MW,Fuel,Min_Power_sCO2turbine,Min_Power_ASU,Ramp_Up_Percentage_sCO2turbine,Ramp_Up_Percentage_ASU,Ramp_Dn_Percentage_sCO2turbine,Ramp_Dn_Percentage_ASU,Up_Time_sCO2turbine,Up_Time_ASU,Down_Time_sCO2turbine,Down_Time_ASU,HeatRate_sCO2,PowerUseRate_O2,PowerUseRate_other,O2UseRate,co2_capture_fraction,ccs_disposal_cost_per_metric_ton
MA_AllamCycleLox,1,0,1,1,0,0.95,MA,0,0,0,0,94939.377,56969,3.28,282016.975,169226,0,80.189,38,0,1,1,1,0,0,0,738,1,1,106,1440,2,0,MA_NG,0.25,0.7,1,1,1,1,6,6,6,6,5.53,0.638,0.043,0.42,0.985,23
CT_AllamCycleLox,2,0,1,1,0,0.95,CT,0,0,0,0,94939.377,56969,3.28,282016.975,169226,0,80.189,38,0,1,1,1,0,0,0,738,1,1,106,1440,2,0,CT_NG,0.25,0.7,1,1,1,1,6,6,6,6,5.53,0.638,0.043,0.42,0.985,23
ME_AllamCycleLox,3,0,1,1,0,0.95,ME,0,0,0,0,94939.377,56969,3.28,282016.975,169226,0,80.189,38,0,1,1,1,0,0,0,738,1,1,106,1440,2,0,ME_NG,0.25,0.7,1,1,1,1,6,6,6,6,5.53,0.638,0.043,0.42,0.985,23
