Resource,Max_Cap_1,Max_Cap_2,Max_Cap_3
EIC_storage_metalair_advanced_0,1,0,0
TRE_storage_metalair_advanced_0,0,1,0
WECC_storage_metalair_advanced_0,0,0,1
