,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,2.035708289655016e7,200307.64487113242,-236658.3705944382,0.0,0.0,1310.489664110889,0.0,7.100567468432312e6,-51142.807494695764,-2.7371467321428575e7,1.3127521976420797e7,0.0,0.0,0.0,0.0,282.410728021978,0.0,-5.277703361320995e6,-32962.20714651309,-7.81713881868132e6,5.572459303146318e6,0.0,0.0,0.0,0.0,134.8273901098901,0.0,-1.8228641071113178e6,-18180.600348182677,-3.731549423076923e6
t17,10389.07440648477,0.0,-0.0,0.0,-0.0,0.0,0.0,423.0831997533404,-4.157606238111295,-10808.0,3086.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3086.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-423.0831997533404,-4.157606238111295,-1474.0
t18,11203.186535291563,0.0,-0.0,0.0,-0.0,0.0,0.0,327.02713534994365,-3.213670641508042,-11527.0,3292.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3292.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-327.02713534994365,-3.213670641508042,-1571.0
t19,11208.167072701943,0.0,-0.0,0.0,-0.0,0.0,0.0,326.0368666447539,-3.203939346697698,-11531.0,3293.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3293.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-326.0368666447539,-3.203939346697698,-1572.0
t20,10969.712025211322,0.0,-0.0,0.0,-0.0,0.0,0.0,353.7643903900643,-3.4764156013872967,-11320.0,3233.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3233.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-353.7643903900643,-3.4764156013872967,-1544.0
t21,10498.821392819702,0.0,-0.0,0.0,-0.0,0.0,0.0,410.20970658587476,-4.031099405576836,-10905.0,3115.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3115.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-410.20970658587476,-4.031099405576836,-1487.0
t22,9723.650876244046,0.0,-0.0,0.0,-0.0,0.0,0.0,503.2949648737026,-4.945841117749063,-10222.0,2920.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2920.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-503.2949648737026,-4.945841117749063,-1393.0
t23,8857.674985564598,0.0,-0.0,0.0,-0.0,0.0,0.0,606.282910213427,-5.957895778024716,-9458.0,2701.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2701.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-606.282910213427,-5.957895778024716,-1289.0
t24,7979.718557474769,0.0,-0.0,0.0,-0.0,0.0,0.0,710.2611242583409,-6.979681733110711,-8683.0,2479.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2479.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-710.2611242583409,-6.979681733110711,-1184.0
t25,7348.1977142859405,0.0,-0.0,0.0,-0.0,0.0,0.0,785.5215458527548,-7.719260138696763,-8125.999999999999,2321.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2321.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-785.5215458527548,-7.719260138696763,-1108.0
t26,7025.956755281148,0.0,-0.0,0.0,-0.0,0.0,0.0,824.1420253551515,-8.098780636300134,-7842.0,2239.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2239.0,1901.2408059914517,0.0,-0.0,0.0,-0.0,0.0,0.0,-824.1420253551515,-8.098780636300134,-1069.0
