Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery,CT_natural_gas_combined_cycle,CT_solar_pv
1,1,0,0.889717042,1,1,0
2,1,0,0.877715468,1,1,0
3,1,0,0.903424203,1,1,0
4,1,0,0.895153165,1,1,0
5,1,0,0.757258117,1,1,0
6,1,0,0.630928695,1,1,0
7,1,0,0.557177782,1,1,0
8,1,0,0.6072492,1,1,0
9,1,0.1779,0.423417866,1,1,0.2003
10,1,0.429,0.007470775,1,1,0.4221
11,1,0.5748,0.002535942,1,1,0.5774
12,1,0.6484,0.002153709,1,1,0.6504
13,1,0.6208,0.00445132,1,1,0.6166
14,1,0.596,0.007711587,1,1,0.6205
15,1,0.5013,0.100848213,1,1,0.513
16,1,0.3311,0.201802149,1,1,0.3369
17,1,0.0642,0.141933054,1,1,0.1068
18,1,0,0.567022562,1,1,0
19,1,0,0.946024895,1,1,0
20,1,0,0.923394203,1,1,0
21,1,0,0.953386247,1,1,0
22,1,0,0.929205418,1,1,0
23,1,0,0.849528909,1,1,0
24,1,0,0.665570974,1,1,0
