Time_Index,CA_N_biomass_1.0,CA_N_conventional_hydroelectric_1.0,CA_N_geothermal_1.0,CA_N_hydroelectric_pumped_storage_1.0,CA_N_natural_gas_fired_combined_cycle_1.0,CA_N_natural_gas_fired_combustion_turbine_1.0,CA_N_onshore_wind_turbine_1.0,CA_N_small_hydroelectric_1.0,CA_N_solar_photovoltaic_1.0,CA_S_biomass_1.0,CA_S_conventional_hydroelectric_1.0,CA_S_geothermal_1.0,CA_S_hydroelectric_pumped_storage_1.0,CA_S_natural_gas_fired_combined_cycle_1.0,CA_S_natural_gas_fired_combustion_turbine_1.0,CA_S_onshore_wind_turbine_1.0,CA_S_small_hydroelectric_1.0,CA_S_solar_photovoltaic_1.0,WECC_AZ_biomass_1.0,WECC_AZ_conventional_hydroelectric_1.0,WECC_AZ_conventional_steam_coal_1.0,WECC_AZ_hydroelectric_pumped_storage_1.0,WECC_AZ_natural_gas_fired_combined_cycle_1.0,WECC_AZ_natural_gas_fired_combined_cycle_2.0,WECC_AZ_natural_gas_fired_combined_cycle_3.0,WECC_AZ_natural_gas_fired_combustion_turbine_1.0,WECC_AZ_nuclear_1.0,WECC_AZ_onshore_wind_turbine_1.0,WECC_AZ_solar_photovoltaic_1.0,CA_N_naturalgas_ccccsavgcf_mid_0.0,CA_N_naturalgas_ccavgcf_mid_0.0,CA_N_naturalgas_ctavgcf_mid_0.0,CA_N_battery_mid_0.0,CA_N_nuclear_mid_0.0,CA_N_naturalgas_ccs100_mid_0.0,CA_N_landbasedwind_ltrg1_mid_110_1.0,CA_N_landbasedwind_ltrg1_mid_110_2.0,CA_N_offshorewind_otrg10_mid_floating_1_1.0,CA_N_offshorewind_otrg10_mid_floating_1_2.0,CA_N_offshorewind_otrg10_mid_floating_1_3.0,CA_S_naturalgas_ccccsavgcf_mid_0.0,CA_S_naturalgas_ccavgcf_mid_0.0,CA_S_naturalgas_ctavgcf_mid_0.0,CA_S_battery_mid_0.0,CA_S_nuclear_mid_0.0,CA_S_naturalgas_ccs100_mid_0.0,CA_S_landbasedwind_ltrg1_mid_100_1.0,CA_S_landbasedwind_ltrg1_mid_100_2.0,CA_S_landbasedwind_ltrg1_mid_100_3.0,CA_S_landbasedwind_ltrg1_mid_100_4.0,CA_S_utilitypv_losangeles_mid_75_0_2_1.0,CA_S_utilitypv_losangeles_mid_75_0_2_2.0,CA_S_utilitypv_losangeles_mid_75_0_2_3.0,CA_S_utilitypv_losangeles_mid_75_0_2_4.0,CA_S_utilitypv_losangeles_mid_75_0_2_5.0,WECC_AZ_naturalgas_ccccsavgcf_mid_0.0,WECC_AZ_naturalgas_ccavgcf_mid_0.0,WECC_AZ_naturalgas_ctavgcf_mid_0.0,WECC_AZ_battery_mid_0.0,WECC_AZ_nuclear_mid_0.0,WECC_AZ_naturalgas_ccs100_mid_0.0,WECC_AZ_utilitypv_losangeles_mid_0_2_1.0,WECC_AZ_utilitypv_losangeles_mid_0_2_2.0,WECC_AZ_utilitypv_losangeles_mid_0_2_3.0,CA_N_ev_load_shifting_1.0,CA_S_ev_load_shifting_1.0
1,1,0.4078698884146655,1,1,1,1,0.5676,0.4078698884146655,0.0,1,0.2397842611781405,1,1,1,1,0.23772294535011398,0.2397842611781405,0.0,1,0.306,1,1,1,1,1,1,1,0.2056,0.0,1,1,1,1,1,1,0.7118107080459595,0.6526262760162354,1.0,0.000894894648808986,1.0,1,1,1,1,1,1,0.4369664788246155,0.03776704892516136,0.2820102274417877,0.28662964701652527,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.10226504394861392,0.1022816679779701
2,1,0.4079698884146655,1,1,1,1,0.6791,0.4079698884146655,0.0,1,0.23961720936834635,1,1,1,1,0.22413892009460254,0.23961720936834635,0.0,1,0.306,1,1,1,1,1,1,1,0.2583,0.0,1,1,1,1,1,1,0.740658164024353,0.6064851880073547,0.9513810276985168,0.00028496317099779844,0.9553125500679016,1,1,1,1,1,1,0.4159863591194153,0.10629378259181976,0.33511149883270264,0.318421870470047,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.05764029749830967,0.057697351167060054
3,1,0.40806988841466557,1,1,1,1,0.5626,0.40806988841466557,0.0,1,0.23949593470546487,1,1,1,1,0.2650684327223583,0.23949593470546487,0.0,1,0.3059,1,1,1,1,1,1,1,0.2839,0.0,1,1,1,1,1,1,0.7418444156646729,0.5958810448646545,0.8587734699249268,0.0,0.980535626411438,1,1,1,1,1,1,0.44970250129699707,0.11272622644901276,0.36995410919189453,0.21572788059711456,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.03684922244759973,0.03684762654078154
4,1,0.40816988841466556,1,1,1,1,0.5625,0.40816988841466556,0.0,1,0.23933289709013486,1,1,1,1,0.29766370681645404,0.23933289709013486,0.0,1,0.3059,1,1,1,1,1,1,1,0.1369,0.0,1,1,1,1,1,1,0.7512786388397217,0.6306521892547607,0.8118553757667542,0.0017856745980679989,0.9667774438858032,1,1,1,1,1,1,0.45434486865997314,0.12007705867290497,0.31448012590408325,0.179762065410614,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.019269776876267748,0.01927616050354052
5,1,0.40827710083817553,1,1,1,1,0.6367,0.40827710083817553,0.0,1,0.23920760823278922,1,1,1,1,0.3381955823971619,0.23920760823278922,0.0,1,0.3059,1,1,1,1,1,1,1,0.0731,0.0,1,1,1,1,1,1,0.702032744884491,0.6151243448257446,0.8382458090782166,0.000871374155394733,0.8587918281555176,1,1,1,1,1,1,0.44310513138771057,0.1933138370513916,0.2560414969921112,0.17651274800300598,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.02281947261663286,0.022816679779701022
6,1,0.4083771008381756,1,1,1,1,0.3498,0.4083771008381756,0.0,1,0.2390445706174592,1,1,1,1,0.39238912281442684,0.2390445706174592,0.0,1,0.3059,1,1,1,1,1,1,1,0.0537,0.0,1,1,1,1,1,1,0.5999561548233032,0.5321019887924194,0.8731070756912231,0.0,0.9286006689071655,1,1,1,1,1,1,0.41154855489730835,0.30999186635017395,0.25266313552856445,0.17683276534080505,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.01757944557133198,0.017571466037241017
7,1,0.4084771008381756,1,1,1,1,0.2434,0.4084771008381756,0.0,1,0.23892085734563523,1,1,1,1,0.5252853260410507,0.23892085734563523,0.0,1,0.3059,1,1,1,1,1,1,1,0.051,0.0,1,1,1,1,1,1,0.4169342517852783,0.40630069375038147,0.9303921461105347,0.0,0.9802558422088623,1,1,1,1,1,1,0.39880818128585815,0.3457111716270447,0.19293051958084106,0.15820816159248352,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.06288032454361055,0.06294256490952006
8,1,0.4085771008381756,1,1,1,1,0.3832,0.4085771008381756,0.0,1,0.23875624414478355,1,1,1,1,0.5054453268857166,0.23875624414478355,0.0,1,0.3059,1,1,1,1,1,1,1,0.0924,0.0,1,1,1,1,1,1,0.3402915298938751,0.363757848739624,0.8953309059143066,0.001944132731296122,0.9877992272377014,1,1,1,1,1,1,0.3632832169532776,0.35229191184043884,0.20358893275260925,0.13487675786018372,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,0.0,0.0,0.0,0.14705882352941177,0.14712824547600314
9,1,0.40867710083817554,1,1,1,1,0.3516,0.40867710083817554,0.0179,1,0.23868919233498934,1,1,1,1,0.4054574921868401,0.23868919233498934,0.07679001995798321,1,0.3059,1,1,1,1,1,1,1,0.081,0.065,1,1,1,1,1,1,0.21087680757045746,0.3266006112098694,0.7919223308563232,2.3774453438818455e-05,0.9160324335098267,1,1,1,1,1,1,0.31256628036499023,0.1651739478111267,0.11470942199230194,0.09651050716638565,0.15864849090576172,0.15006032586097717,0.08741169422864914,0.08680453896522522,0.05203830450773239,1,1,1,1,1,1,0.15875394642353058,0.18389397859573364,0.10635073482990265,0.2491548343475321,0.24927878311041174
10,1,0.40878431326168563,1,1,1,1,0.4661,0.40878431326168563,0.3239,1,0.23852371611071682,1,1,1,1,0.275672117577498,0.23852371611071682,0.31554419012605045,1,0.3059,1,1,1,1,1,1,1,0.0478,0.273,1,1,1,1,1,1,0.17017978429794312,0.3893634080886841,0.7324181199073792,0.0,0.7399579286575317,1,1,1,1,1,1,0.22629234194755554,0.140282541513443,0.11448138952255249,0.07000775635242462,0.5205841064453125,0.4955478012561798,0.5113609433174133,0.49298983812332153,0.4589718282222748,1,1,1,1,1,1,0.45722395181655884,0.47446519136428833,0.4685087203979492,0.2672413793103448,0.2672436401783373
