Time_Index,CA_N_biomass_1,CA_N_conventional_hydroelectric_1,CA_N_geothermal_1,CA_N_hydroelectric_pumped_storage_1,CA_N_natural_gas_fired_combined_cycle_1,CA_N_natural_gas_fired_combined_cycle_2,CA_N_natural_gas_fired_combustion_turbine_1,CA_N_natural_gas_fired_combustion_turbine_2,CA_N_onshore_wind_turbine_1,CA_N_small_hydroelectric_1,CA_N_solar_photovoltaic_1,CA_S_biomass_1,CA_S_conventional_hydroelectric_1,CA_S_geothermal_1,CA_S_hydroelectric_pumped_storage_1,CA_S_natural_gas_fired_combined_cycle_1,CA_S_natural_gas_fired_combined_cycle_2,CA_S_natural_gas_fired_combustion_turbine_1,CA_S_natural_gas_fired_combustion_turbine_2,CA_S_onshore_wind_turbine_1,CA_S_small_hydroelectric_1,CA_S_solar_photovoltaic_1,WECC_N_biomass_1,WECC_N_conventional_hydroelectric_1,WECC_N_conventional_steam_coal_1,WECC_N_conventional_steam_coal_2,WECC_N_geothermal_1,WECC_N_natural_gas_fired_combined_cycle_1,WECC_N_natural_gas_fired_combined_cycle_2,WECC_N_natural_gas_fired_combustion_turbine_1,WECC_N_natural_gas_fired_combustion_turbine_2,WECC_N_onshore_wind_turbine_1,WECC_N_solar_photovoltaic_1,WECC_NMAZ_biomass_1,WECC_NMAZ_conventional_hydroelectric_1,WECC_NMAZ_conventional_steam_coal_1,WECC_NMAZ_conventional_steam_coal_2,WECC_NMAZ_geothermal_1,WECC_NMAZ_hydroelectric_pumped_storage_1,WECC_NMAZ_natural_gas_fired_combined_cycle_1,WECC_NMAZ_natural_gas_fired_combined_cycle_2,WECC_NMAZ_natural_gas_fired_combustion_turbine_1,WECC_NMAZ_natural_gas_fired_combustion_turbine_2,WECC_NMAZ_nuclear_1,WECC_NMAZ_onshore_wind_turbine_1,WECC_NMAZ_solar_photovoltaic_1,WECC_PNW_biomass_1,WECC_PNW_conventional_hydroelectric_1,WECC_PNW_geothermal_1,WECC_PNW_hydroelectric_pumped_storage_1,WECC_PNW_natural_gas_fired_combined_cycle_1,WECC_PNW_natural_gas_fired_combined_cycle_2,WECC_PNW_natural_gas_fired_combustion_turbine_1,WECC_PNW_natural_gas_fired_combustion_turbine_2,WECC_PNW_nuclear_1,WECC_PNW_onshore_wind_turbine_1,WECC_PNW_solar_photovoltaic_1,WECC_WYCO_biomass_1,WECC_WYCO_conventional_hydroelectric_1,WECC_WYCO_conventional_steam_coal_1,WECC_WYCO_conventional_steam_coal_2,WECC_WYCO_hydroelectric_pumped_storage_1,WECC_WYCO_natural_gas_fired_combined_cycle_1,WECC_WYCO_natural_gas_fired_combined_cycle_2,WECC_WYCO_natural_gas_fired_combustion_turbine_1,WECC_WYCO_natural_gas_fired_combustion_turbine_2,WECC_WYCO_onshore_wind_turbine_1,WECC_WYCO_solar_photovoltaic_1,CA_N_naturalgas_ccavgcf_mid_0,CA_N_naturalgas_ctavgcf_mid_0,CA_N_naturalgas_ccccsavgcf_mid_0,CA_N_nuclear_mid_0,CA_N_naturalgas_ccs100_mid_0,CA_N_offshorewind_otrg6_low_floating_1_180_1,CA_N_offshorewind_otrg6_low_floating_1_180_2,CA_N_offshorewind_otrg6_low_floating_1_180_3,CA_N_offshorewind_otrg6_low_floating_1_180_4,CA_N_offshorewind_otrg6_low_floating_1_180_5,CA_N_offshorewind_otrg6_low_floating_1_180_6,CA_S_naturalgas_ccavgcf_mid_0,CA_S_naturalgas_ctavgcf_mid_0,CA_S_naturalgas_ccccsavgcf_mid_0,CA_S_nuclear_mid_0,CA_S_naturalgas_ccs100_mid_0,WECC_N_naturalgas_ccavgcf_mid_0,WECC_N_naturalgas_ctavgcf_mid_0,WECC_N_naturalgas_ccccsavgcf_mid_0,WECC_N_nuclear_mid_0,WECC_N_naturalgas_ccs100_mid_0,WECC_NMAZ_naturalgas_ccavgcf_mid_0,WECC_NMAZ_naturalgas_ctavgcf_mid_0,WECC_NMAZ_naturalgas_ccccsavgcf_mid_0,WECC_NMAZ_nuclear_mid_0,WECC_NMAZ_naturalgas_ccs100_mid_0,WECC_PNW_naturalgas_ccavgcf_mid_0,WECC_PNW_naturalgas_ctavgcf_mid_0,WECC_PNW_naturalgas_ccccsavgcf_mid_0,WECC_PNW_nuclear_mid_0,WECC_PNW_naturalgas_ccs100_mid_0,WECC_PNW_offshorewind_otrg6_low_floating_1_150_1,WECC_PNW_offshorewind_otrg6_low_floating_1_150_2,WECC_PNW_offshorewind_otrg6_low_floating_1_150_3,WECC_WYCO_naturalgas_ccavgcf_mid_0,WECC_WYCO_naturalgas_ctavgcf_mid_0,WECC_WYCO_naturalgas_ccccsavgcf_mid_0,WECC_WYCO_nuclear_mid_0,WECC_WYCO_naturalgas_ccs100_mid_0,CA_N_ev_load_shifting_1,CA_S_ev_load_shifting_1,WECC_N_ev_load_shifting_1,WECC_NMAZ_ev_load_shifting_1,WECC_PNW_ev_load_shifting_1,WECC_WYCO_ev_load_shifting_1
1,1,0.219049751,1,1,1,1,1,1,0.008,0.219049751,0,1,0.100838524,1,1,1,1,1,1,0.145982691,0.100838524,0,1,0.358339843,1,1,1,1,1,1,1,0.012883967,0,1,0.229685876,1,1,1,1,1,1,1,1,1,0.134074383,0,1,0.4079,1,1,1,1,1,1,1,0.0309,0,1,0.065293544,1,1,1,1,1,1,1,0.053960563,0,1,1,1,1,1,0.366339028,0.137995452,0.175499856,0.056421153,0.030170694,0.04770669,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.191636041,0.407452941,0.485225469,1,1,1,1,1,0.101081812,0.101101495,0.105519481,0.105776588,0.055944056,0.102107098
2,1,0.219200238,1,1,1,1,1,1,0.0053,0.219200238,0,1,0.100888315,1,1,1,1,1,1,0.143891986,0.100888315,0,1,0.35852789,1,1,1,1,1,1,1,0.025739896,0,1,0.229685876,1,1,1,1,1,1,1,1,1,0.127263606,0,1,0.4082,1,1,1,1,1,1,1,0.0263,0,1,0.065633184,1,1,1,1,1,1,1,0.06312047,0,1,1,1,1,1,0.348821163,0.102321334,0.053293586,0.23550719,0.006527725,0.017957747,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.01745465,0.312779486,0.466936648,1,1,1,1,1,0.117308993,0.117230527,0.104707792,0.105011477,0.03971029,0.106543093
3,1,0.219343512,1,1,1,1,1,1,0.0046,0.219343512,0,1,0.100938106,1,1,1,1,1,1,0.149547314,0.100938106,0,1,0.358665292,1,1,1,1,1,1,1,0.029370464,0,1,0.229688519,1,1,1,1,1,1,1,1,1,0.153845211,0,1,0.4086,1,1,1,1,1,1,1,0.0343,0,1,0.066032585,1,1,1,1,1,1,1,0.075746765,0,1,1,1,1,1,0.243165135,0.081328623,0.021130648,0.116710328,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.231257126,0.399044156,1,1,1,1,1,0.047667343,0.047731445,0.047077922,0.047436878,0.028721279,0.046894804
4,1,0.219493999,1,1,1,1,1,1,0.0019,0.219493999,0,1,0.100987898,1,1,1,1,1,1,0.156663021,0.100987898,0,1,0.358897429,1,1,1,1,1,1,1,0.027967208,0,1,0.229591162,1,1,1,1,1,1,1,1,1,0.141900389,0,1,0.4089,1,1,1,1,1,1,1,0.0477,0,1,0.066372226,1,1,1,1,1,1,1,0.055659671,0,1,1,1,1,1,0.147024125,0.054300044,0,0.026640337,0.000531101,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0.162164897,0.352471411,1,1,1,1,1,0.037356322,0.037372148,0.037337662,0.036916603,0.007992008,0.037468314
5,1,0.219637274,1,1,1,1,1,1,0.0046,0.219637274,0,1,0.101037689,1,1,1,1,1,1,0.143271566,0.101037689,0,1,0.359029567,1,1,1,1,1,1,1,0.019992201,0,1,0.229593805,1,1,1,1,1,1,1,1,1,0.082476909,0,1,0.4093,1,1,1,1,1,1,1,0.0447,0,1,0.066711867,1,1,1,1,1,1,1,0.051501193,0,1,1,1,1,1,0.018083733,0.019640338,0,0.005730726,0.010713547,0.005711103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.083694123,0.251201391,0.349929601,1,1,1,1,1,0.023495605,0.023603462,0.021103896,0.021423106,0.014235764,0.023209759
6,1,0.219787761,1,1,1,1,1,1,0.0031,0.219787761,0,1,0.101141703,1,1,1,1,1,1,0.131863546,0.101141703,0,1,0.359261468,1,1,1,1,1,1,1,0.015525368,0,1,0.229596448,1,1,1,1,1,1,1,1,1,0.069044069,0,1,0.4097,1,1,1,1,1,1,1,0.0588,0,1,0.067031387,1,1,1,1,1,1,1,0.091478347,0,1,1,1,1,1,0,0.028690001,0.001533333,0.000576955,0.039279349,0.041606843,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.105175048,0.1844832,0.225600004,1,1,1,1,1,0.00591616,0.005769735,0.008928571,0.008607498,0.02997003,0.00792142
7,1,0.219931035,1,1,1,1,1,1,0.0045,0.219931035,0,1,0.101189056,1,1,1,1,1,1,0.143324345,0.101189056,0,1,0.35939887,1,1,1,1,1,1,1,0.01944381,0,1,0.229596448,1,1,1,1,1,1,1,1,1,0.079966845,0.012920784,1,0.41,1,1,1,1,1,1,1,0.0275,0,1,0.067450908,1,1,1,1,1,1,1,0.11529107,9.00E-05,1,1,1,1,1,0,0.10657192,0,0.009288219,0.15158841,0.140040249,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.129623279,0.173081368,0.232507974,1,1,1,1,1,0.015889114,0.015866772,0.021103896,0.021040551,0.04995005,0.020437262
8,1,0.220081522,1,1,1,1,1,1,0.0064,0.220081522,0.0454,1,0.101238847,1,1,1,1,1,1,0.146395967,0.101238847,0.181714085,1,0.359625506,1,1,1,1,1,1,1,0.021961229,0.12547733,1,0.229501734,1,1,1,1,1,1,1,1,1,0.082298413,0.243706275,1,0.4104,1,1,1,1,1,1,1,0.02,0,1,0.067770429,1,1,1,1,1,1,1,0.12976959,0.314930669,1,1,1,1,1,0,0.132316217,0.00521228,0.100038543,0.201752514,0.200584769,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.276476741,0.203084052,0.219486892,1,1,1,1,1,0.029411765,0.029504327,0.041396104,0.041315991,0.090659341,0.040874525
9,1,0.220224797,1,1,1,1,1,1,0.003,0.220224797,0.3818,1,0.101288639,1,1,1,1,1,1,0.112775703,0.101288639,0.425994678,1,0.359763145,1,1,1,1,1,1,1,0.02170055,0.380952804,1,0.229501734,1,1,1,1,1,1,1,1,1,0.083417683,0.447805745,1,0.4108,1,1,1,1,1,1,1,0.0319,0.1763,1,0.06811007,1,1,1,1,1,1,1,0.195634065,0.457060293,1,1,1,1,1,0.000310515,0.139237404,0.092078015,0.110022947,0.194112808,0.177213371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.396002829,0.280232996,0.382535547,1,1,1,1,1,0.057133198,0.05717283,0.073863636,0.073833206,0.15984016,0.074302915
10,1,0.220375284,1,1,1,1,1,1,0.0001,0.220375284,0.5421,1,0.10133843,1,1,1,1,1,1,0.00727527,0.10133843,0.560767273,1,0.359995046,1,1,1,1,1,1,1,0.039219554,0.524106486,1,0.229504377,1,1,1,1,1,1,1,1,1,0.061432694,0.545998586,1,0.4111,1,1,1,1,1,1,1,0.0304,0.3733,1,0.068509471,1,1,1,1,1,1,1,0.171833828,0.537911684,1,1,1,1,1,0.052970391,0.191120967,0.177579463,0.091105416,0.234400123,0.19608593,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.549966156,0.413413465,0.572571456,1,1,1,1,1,0.108857336,0.108838185,0.132305195,0.131981637,0.224775225,0.136010773
