Period_Index,Rep_Period,Rep_Period_Index
1,4,1
2,4,1
3,4,1
4,4,1
5,6,2
6,6,2
7,6,2
8,6,2
9,6,2
10,10,3
11,46,9
12,10,3
13,10,3
14,15,4
15,15,4
16,15,4
17,15,4
18,18,5
19,24,6
20,24,6
21,24,6
22,24,6
23,24,6
24,24,6
25,34,8
26,34,8
27,34,8
28,34,8
29,29,7
30,34,8
31,34,8
32,34,8
33,34,8
34,34,8
35,34,8
36,34,8
37,24,6
38,24,6
39,24,6
40,24,6
41,24,6
42,24,6
43,24,6
44,15,4
45,46,9
46,46,9
47,46,9
48,48,10
49,6,2
50,6,2
51,51,11
52,10,3
