Costs,Total,Zone1,Zone2,Zone3
cTotal,5.311304962888372e9,3.380802455547993e9,8.116639976523349e8,7.341562498031138e8
cFix,3.1583891481513906e9,1.614851751948737e9,8.176598880126048e8,7.25877508190049e8
cVar,1.936929554852041e9,1.835317906032956e9,7.268403395406593e7,2.8927614865030058e7
cNSE,0.0,0.0,0.0,0.0
cStart,1.774642598849457e8,1.5514289701558307e8,1.7993284364445154e7,4.328078504917464e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,3.8522e7,-,-,-
