Resource,Solar_z01_01,Solar_z02_01,Solar_z03_01,Solar_z04_01,Solar_z05_01,Solar_z06_01,Solar_z07_01,Solar_z08_01,Solar_z09_01,Solar_z10_01,Solar_z11_01,Solar_z12_01,Solar_z13_01,Solar_z14_01,Solar_z15_01,Solar_z16_01,Solar_z17_01,Solar_z18_01,Wind_z01_02,Wind_z01_03,Wind_z02_01,Wind_z02_02,Wind_z03_01,Wind_z04_01,Wind_z04_02,Wind_z04_03,Wind_z04_04,Wind_z05_01,Wind_z05_02,Wind_z06_01,Wind_z06_02,Wind_z07_01,Wind_z08_01,Wind_z08_02,Wind_z09_01,Wind_z09_02,Wind_z10_01,Wind_z10_02,Wind_z11_01,Wind_z12_01,Wind_z13_01,Wind_z13_02,Wind_z14_01,Wind_z14_02,Wind_z15_01,Wind_z15_02,Wind_z16_01,Wind_z16_02,Wind_z16_03,Wind_z16_04,Wind_z17_01,Wind_z17_02,Wind_z18_01,Wind_z18_02,Hyd_z02_01,Hyd_z03_01,Hyd_z04_01,Hyd_z06_01,Hyd_z07_01,Hyd_z08_01,Hyd_z11_01,Hyd_z12_01,Hyd_z13_01,Hyd_z14_01,Hyd_z15_01,Hyd_z16_01,Hyd_z18_01,coal-new_1_z11,CoalOldUns_1_z11,gas-CC_1_z11,gas-CT_1_z11,nuclear_1_z11,o-g-s_1_z11,coal-new_1_z10,CoalOldScr_1_z10,CoalOldScr_2_z10,gas-CC_1_z10,gas-CT_1_z10,o-g-s_1_z10,coal-new_1_z09,CoalOldScr_1_z09,gas-CC_1_z09,gas-CC_2_z09,gas-CT_1_z09,nuclear_1_z09,o-g-s_1_z09,coal-IGCC_1_z08,coal-new_1_z08,CoalOldScr_1_z08,gas-CC_1_z08,gas-CC_2_z08,gas-CC_3_z08,gas-CT_1_z08,o-g-s_1_z08,coal-new_1_z07,CoalOldScr_1_z07,gas-CC_1_z07,gas-CC_2_z07,gas-CC_4_z07,gas-CT_1_z07,nuclear_1_z07,o-g-s_1_z07,o-g-s_2_z07,biopower_1_z06,coal-new_1_z06,CoalOldScr_1_z06,gas-CC_1_z06,gas-CC_2_z18,gas-CT_1_z06,nuclear_1_z06,o-g-s_1_z06,coal-new_1_z05,CoalOldScr_1_z05,gas-CC_1_z05,gas-CT_1_z05,o-g-s_1_z05,biopower_1_z04,coal-new_1_z04,CoalOldScr_1_z04,CoalOldScr_2_z04,gas-CC_1_z04,gas-CT_1_z04,gas-CT_2_z04,nuclear_1_z04,o-g-s_1_z04,coal-new_1_z03,CoalOldUns_1_z03,CoalOldUns_2_z03,gas-CT_1_z03,nuclear_1_z03,o-g-s_1_z03,coal-new_1_z02,CoalOldScr_1_z02,gas-CC_1_z02,gas-CC_2_z02,gas-CC_3_z02,gas-CT_1_z02,nuclear_1_z02,o-g-s_2_z02,CoalOldUns_1_z17,gas-CC_1_z17,gas-CC_2_z17,gas-CT_1_z17,nuclear_1_z17,o-g-s_1_z17,coal-new_1_z18,CoalOldScr_1_z18,CoalOldScr_2_z18,gas-CC_1_z18,gas-CT_1_z18,nuclear_1_z18,o-g-s_1_z18,coal-new_1_z12,CoalOldUns_1_z12,gas-CC_1_z12,gas-CT_1_z12,nuclear_1_z12,o-g-s_1_z12,o-g-s_2_z12,CoalOldUns_1_z01,gas-CC_1_z01,gas-CT_1_z01,coal-new_1_z15,CoalOldScr_1_z15,gas-CC_1_z15,gas-CT_1_z15,nuclear_1_z15,o-g-s_1_z15,coal-new_1_z14,CoalOldUns_1_z14,CoalOldUns_2_z14,gas-CC_1_z14,gas-CT_1_z14,nuclear_1_z14,o-g-s_1_z14,coal-new_1_z13,gas-CC_1_z13,gas-CT_1_z13,o-g-s_1_z13,CoalOldScr_1_z16,gas-CC_1_z16,gas-CC_2_z16,gas-CC_3_z16,gas-CC_4_z16,gas-CT_1_z16,o-g-s_1_z16,pumped-hydro_z06,pumped-hydro_z03,pumped-hydro_z16,pumped-hydro_z18,pumped-hydro_z15,pumped-hydro_z12,battery_z01,battery_z02,battery_z03,battery_z04,battery_z05,battery_z06,battery_z07,battery_z08,battery_z09,battery_z10,battery_z11,battery_z12,battery_z13,battery_z14,battery_z15,battery_z16,battery_z17,battery_z18,gas-CC_0_z01,gas-CC_0_z02,gas-CC_0_z03,gas-CC_0_z04,gas-CC_0_z05,gas-CC_0_z06,gas-CC_0_z07,gas-CC_0_z08,gas-CC_0_z09,gas-CC_0_z10,gas-CC_0_z11,gas-CC_0_z12,gas-CC_0_z13,gas-CC_0_z14,gas-CC_0_z15,gas-CC_0_z16,gas-CC_0_z17,gas-CC_0_z18,gas-CT_0_z01,gas-CT_0_z02,gas-CT_0_z03,gas-CT_0_z04,gas-CT_0_z05,gas-CT_0_z06,gas-CT_0_z07,gas-CT_0_z08,gas-CT_0_z09,gas-CT_0_z10,gas-CT_0_z11,gas-CT_0_z12,gas-CT_0_z13,gas-CT_0_z14,gas-CT_0_z15,gas-CT_0_z16,gas-CT_0_z17,gas-CT_0_z18,Retro_NGCC_CCS_z1,Retro_NGCC_CCS_z2,Retro_NGCC_CCS_z4,Retro_NGCC_CCS_z5,Retro_NGCC_CCS_z6,Retro_NGCC_CCS_z7,Retro_NGCC_CCS_z8,Retro_NGCC_CCS_z9,Retro_NGCC_CCS_z10,Retro_NGCC_CCS_z11,Retro_NGCC_CCS_z12,Retro_NGCC_CCS_z13,Retro_NGCC_CCS_z14,Retro_NGCC_CCS_z15,Retro_NGCC_CCS_z16,Retro_NGCC_CCS_z17,Retro_NGCC_CCS_z18,Total
Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,1,2,2,3,4,4,4,4,5,5,6,6,7,8,8,9,9,10,10,11,12,13,13,14,14,15,15,16,16,16,16,17,17,18,18,2,3,4,6,7,8,11,12,13,14,15,16,18,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,18,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,17,17,17,17,17,17,18,18,18,18,18,18,18,12,12,12,12,12,12,12,1,1,1,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,13,13,16,16,16,16,16,16,16,6,3,16,18,15,12,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,0
AnnualSum,54104.47291712965,1.4958620805888014e7,1.5616176580588996e7,1.3691733930164464e6,4.384078164360685e6,2.3733558387585603e7,6.20004845890396e7,4.875112459475674e7,210604.9072799907,4.239419638820519e6,1.911129423098989e7,4.1299113021735094e7,8.920063596594704e6,9.355121644870764e6,7.930217989516753e6,4.571331087894961e7,81327.49496113304,2.772189609723364e7,439283.14450257807,2.221629426044199e7,1.5353618936405992e7,1.626403723334182e6,89.55164201406306,1.2006834081073327e7,8.321893799888066e6,9.076785419959924e7,4.153652931085615e6,1.984271426446741e6,1.221985961259106e7,3.1832913417304517e6,4.902141098843873e7,41.63851137052526,2.943688428181166e6,5.350096988766754e6,2.8225571752802063e7,6.804698771367101e6,1.0433155336887771e7,3.2772909754923834e6,142.83680061577968,3.0894697154626795e6,1.0666417807370026e6,7.2187382957553165e6,2.680908912686767e6,3.098497310507366e7,6.973128222855852e6,5.098490596658996e7,9.419291611675965e6,7.063187673915814e7,6.71838378328379e6,593537.641849323,2.912950413260738e6,1.8868480435247186e6,1.2072256641425607e6,1.2993196125585046e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.400799763670014e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2182592882526,3529.11830495893,864.8213281272475,191.44120371307721,0.013703773865763031,1067.496882046256,630.0534997892764,15634.501493906353,847.6532553373028,521.1414981835251,2970.189480182521,244.3157342163018,4961.181485122399,0.010935767315243329,479.9689066738314,1227.1666503623474,4356.552324581538,639.9356269860295,2085.1707969088675,226.40279453881797,0.02243093870079318,503.7384205992703,70.77517156996613,1257.2473412257712,615.2787477484588,6696.1516230355855,858.3219524377791,11512.29393316621,2154.770405906991,13929.644739838337,1282.9009222385232,113.33290637603854,225.85416705967904,496.3520261403604,227.94395907243174,32845.29764342888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113334.28055524704
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.4389913570149,4107.878692757434,654.0387230056059,133.94872387478648,0.01334106058426976,1281.462233040307,467.92923239067994,15684.824892222292,844.3188624824443,529.490658361779,2990.535827184034,306.4772601870841,4934.510736004434,0.011110953680682831,423.78605111195185,1253.0862617004375,4641.865582352132,602.5149725797706,2267.677533033059,127.87551234622717,0.01837818851979843,444.7732198271306,120.36293740686067,1195.7152185726334,590.0978285188336,6371.967332387331,727.7023908724738,11390.215542576832,1902.5864480846114,12837.51030170709,1147.8735008989722,101.40443222543918,198.48453177035904,487.1342519295134,298.06910590300726,33600.43536684745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112732.0359857228
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.64668213694569,4002.9627046554033,489.98550924064114,87.50870552744473,0.014403642545463242,1194.8956146123508,265.3326331149303,16224.44787613268,839.00252516125,538.727613660135,2979.39277865135,351.92336979103675,4299.75909370413,0.011304764393185394,411.4182539267092,1368.9983639745622,5966.57708894839,1013.7672497188481,2146.1655454602223,13.781980769777638,0.01966062944277273,431.7929307261646,137.31583131597512,1195.6617497105444,593.6550517055638,6390.505917068076,787.7651191168505,11286.139902857343,2322.2935439679177,12286.666752377398,777.7335208379178,68.70585164609676,208.9452089029351,465.15759647640675,346.18188058716834,35483.72564496882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115047.58546048838
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5483676830426,4380.98719422158,459.0465173725833,63.79644918602181,0.016831923549348066,1299.4928528679222,82.38631627995197,16104.669696938632,849.312425561699,533.7200722346753,3023.5482894355255,308.0806720044944,6414.578436709907,0.011198532425795769,353.50081515704136,1354.7026596280957,7445.866018430759,1026.2448243085908,2447.654461037183,0.0,0.02633084682575452,370.95738895841896,149.4156801021243,1097.7532531091133,612.2492680887005,6520.424274847737,845.9326871448737,11360.269855083634,2578.376609177126,12722.095578717472,783.9869590859047,69.25828724898349,206.9091562978481,455.7084943497382,333.4932312921251,35287.13817691212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119624.15933077643
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.10143824188192,4409.54639929977,631.031652887754,47.65900851176545,0.016941519570078053,1131.1029886861563,15.0169064911161,16257.010141151153,864.373360861055,526.1766042840885,2978.0846994363633,292.64184107076596,7746.393392011523,0.011041343303486682,308.284148756458,1407.8491674174084,7522.606630964344,1150.4768587930603,2362.558335796202,0.0,0.026859457449827123,323.55131304902915,141.08708887999236,1096.999651740649,620.1599295371014,6558.724655957435,903.7697853026377,11443.815397562386,2605.4140189869486,12475.485725003111,681.9919653195575,60.247935708056175,221.04335991690675,459.97065901880126,367.2159122700845,34152.98057284942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119846.4263880833
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.05983336243524,4641.013077835236,772.036133456887,40.50809034420183,0.013671365764813322,1320.699203840027,10.596375058371448,16043.723700349274,870.5633463812497,498.66935212211206,2855.723187799325,284.68536695975905,8116.021841195463,0.010464181450200899,342.7786912138115,1358.2418407467778,7714.921338318452,1655.5434438713855,2177.2602906526095,0.0,0.020496655664895672,359.75413007744777,136.14570622490777,1107.2040608162188,629.6927171619672,6704.7871391783065,845.2727987223581,11311.39642744558,2590.0870172355376,12680.549232126225,762.6713643030346,67.37524411436728,325.06332990871874,425.3098918842168,327.00620038896983,31564.843984993237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118607.24899029135
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.44646459119614,4911.038661671365,816.4870232899865,53.635943246513136,0.008450079100813688,1477.4341434051107,4.608385973550783,15383.738991249846,868.9881365922656,485.08172456966014,2875.1743681806147,267.51032847651356,7361.481292677031,0.010178650207653088,306.53745357989806,1345.1845346887274,7935.02765141633,1687.3839180635464,2201.57825034384,0.0,0.014462232300435873,321.71811625207107,135.13778113005,1230.6987761481803,680.442784580337,7101.070248108093,886.8722096449452,11243.040675696267,2572.4303534015485,13915.655528387355,1208.4769607075896,106.75820970262735,297.52883608162756,458.6508743732613,332.96227565584184,29490.232705300095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118004.04669814749
