Resource,TechGroup,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Solar_z01_01,SolarPV,1,28,3.81E-06,0.00566125,28.00565744,0,0,0,0,0,0,0,0
Solar_z02_01,SolarPV,2,10,3.51E-06,8168.535322,8178.535319,0,0,0,0,0,0,0,0
Solar_z03_01,SolarPV,3,15,3.39E-06,7242.821337,7257.821334,0,0,0,0,0,0,0,0
Solar_z04_01,SolarPV,4,723,3.58E-06,0.0196051,723.0196015,0,0,0,0,0,0,0,0
Solar_z05_01,SolarPV,5,0,0,2131.439844,2131.439844,0,0,0,0,0,0,0,0
Solar_z06_01,SolarPV,6,92,3.45E-06,12556.80785,12648.80785,0,0,0,0,0,0,0,0
Solar_z07_01,SolarPV,7,209,3.63E-06,27014.56882,27223.56882,0,0,0,0,0,0,0,0
Solar_z08_01,SolarPV,8,216,3.41E-06,23531.05062,23747.05062,0,0,0,0,0,0,0,0
Solar_z09_01,SolarPV,9,3,3.36E-06,97.36312995,100.3631266,0,0,0,0,0,0,0,0
Solar_z10_01,SolarPV,10,8,3.51E-06,2053.097832,2061.097828,0,0,0,0,0,0,0,0
Solar_z11_01,SolarPV,11,13,3.60E-06,8715.917015,8728.917012,0,0,0,0,0,0,0,0
Solar_z12_01,SolarPV,12,253,3.55E-06,18917.52804,19170.52804,0,0,0,0,0,0,0,0
Solar_z13_01,SolarPV,13,1,3.56E-06,4535.035956,4536.035952,0,0,0,0,0,0,0,0
Solar_z14_01,SolarPV,14,16,3.61E-06,4272.266145,4288.266142,0,0,0,0,0,0,0,0
Solar_z15_01,SolarPV,15,22,3.51E-06,3606.923724,3628.923721,0,0,0,0,0,0,0,0
Solar_z16_01,SolarPV,16,259,3.67E-06,20495.971,20754.971,0,0,0,0,0,0,0,0
Solar_z17_01,SolarPV,17,41,3.62E-06,0.000789599,41.00078598,0,0,0,0,0,0,0,0
Solar_z18_01,SolarPV,18,55,3.54E-06,14705.84309,14760.84309,0,0,0,0,0,0,0,0
Wind_z01_02,Wind,1,164,0.000114303,0,163.9998857,0,0,0,0,0,0,0,0
Wind_z01_03,Wind,1,923,2.16E-06,6021.456164,6944.456162,0,0,0,0,0,0,0,0
Wind_z02_01,Wind,2,73,2.06E-06,5462.542866,5535.542863,0,0,0,0,0,0,0,0
Wind_z02_02,Wind,2,650,2.26E-06,0.006789463,650.0067872,0,0,0,0,0,0,0,0
Wind_z03_01,Wind,3,0,0,0.033430137,0.033430137,0,0,0,0,0,0,0,0
Wind_z04_01,Wind,4,3674,0.000883162,0,3673.999117,0,0,0,0,0,0,0,0
Wind_z04_02,Wind,4,2885,0.001259808,0,2884.99874,0,0,0,0,0,0,0,0
Wind_z04_03,Wind,4,202,2.07E-06,18993.32633,19195.32633,0,0,0,0,0,0,0,0
Wind_z04_04,Wind,4,1110,2.34E-06,0.000394955,1110.000393,0,0,0,0,0,0,0,0
Wind_z05_01,Wind,5,1029,0.000361834,0,1028.999638,0,0,0,0,0,0,0,0
Wind_z05_02,Wind,5,3935,2.15E-06,0.000698744,3935.000697,0,0,0,0,0,0,0,0
Wind_z06_01,Wind,6,1181,2.24E-06,2.48E-05,1181.000023,0,0,0,0,0,0,0,0
Wind_z06_02,Wind,6,688,1.86E-06,12551.64188,13239.64187,0,0,0,0,0,0,0,0
Wind_z07_01,Wind,7,0,0,0.021590652,0.021590652,0,0,0,0,0,0,0,0
Wind_z08_01,Wind,8,1339,0.000143901,0,1338.999856,0,0,0,0,0,0,0,0
Wind_z08_02,Wind,8,1920,2.24E-06,0.0095066,1920.009504,0,0,0,0,0,0,0,0
Wind_z09_01,Wind,9,1461,2.16E-06,7378.305601,8839.305598,0,0,0,0,0,0,0,0
Wind_z09_02,Wind,9,2805,0.000882382,0,2804.999118,0,0,0,0,0,0,0,0
Wind_z10_01,Wind,10,2712,2.07E-06,427.6073549,3139.607353,0,0,0,0,0,0,0,0
Wind_z10_02,Wind,10,1221,8.13E-05,0,1220.999919,0,0,0,0,0,0,0,0
Wind_z11_01,Wind,11,0,0,0.066854375,0.066854375,0,0,0,0,0,0,0,0
Wind_z12_01,Wind,12,29,2.16E-06,1376.311188,1405.311186,0,0,0,0,0,0,0,0
Wind_z13_01,Wind,13,344,8.65E-05,0,343.9999135,0,0,0,0,0,0,0,0
Wind_z13_02,Wind,13,1130,2.07E-06,847.0391954,1977.039193,0,0,0,0,0,0,0,0
Wind_z14_01,Wind,14,861,0.001170311,0,860.9988297,0,0,0,0,0,0,0,0
Wind_z14_02,Wind,14,1499,2.07E-06,6561.55156,8060.551558,0,0,0,0,0,0,0,0
Wind_z15_01,Wind,15,2431,0.001371695,0,2430.998628,0,0,0,0,0,0,0,0
Wind_z15_02,Wind,15,3380,2.07E-06,9659.981994,13039.98199,0,0,0,0,0,0,0,0
Wind_z16_01,Wind,16,2678,0.000175857,0,2677.999824,0,0,0,0,0,0,0,0
Wind_z16_02,Wind,16,4645,2.07E-06,13759.74597,18404.74597,0,0,0,0,0,0,0,0
Wind_z16_03,Wind,16,2687,0.000750995,0,2686.999249,0,0,0,0,0,0,0,0
Wind_z16_04,Wind,16,326,1.40E-05,0,325.999986,0,0,0,0,0,0,0,0
Wind_z17_01,Wind,17,1288,0.000860392,0,1287.99914,0,0,0,0,0,0,0,0
Wind_z17_02,Wind,17,668,2.49E-06,3.31E-06,668.0000008,0,0,0,0,0,0,0,0
Wind_z18_01,Wind,18,476,0.000920366,0,475.9990796,0,0,0,0,0,0,0,0
Wind_z18_02,Wind,18,910,2.16E-06,40280.49915,41190.49915,0,0,0,0,0,0,0,0
Hyd_z02_01,Hydro,2,188,0,0,188,0,0,0,0,0,0,0,0
Hyd_z03_01,Hydro,3,261,0,0,261,0,0,0,0,0,0,0,0
Hyd_z04_01,Hydro,4,866,0,0,866,0,0,0,0,0,0,0,0
Hyd_z06_01,Hydro,6,85,0,0,85,0,0,0,0,0,0,0,0
Hyd_z07_01,Hydro,7,358,0,0,358,0,0,0,0,0,0,0,0
Hyd_z08_01,Hydro,8,137,0,0,137,0,0,0,0,0,0,0,0
Hyd_z11_01,Hydro,11,501,0,0,501,0,0,0,0,0,0,0,0
Hyd_z12_01,Hydro,12,3985,0,0,3985,0,0,0,0,0,0,0,0
Hyd_z13_01,Hydro,13,1594,0,0,1594,0,0,0,0,0,0,0,0
Hyd_z14_01,Hydro,14,274,0,0,274,0,0,0,0,0,0,0,0
Hyd_z15_01,Hydro,15,289,0,0,289,0,0,0,0,0,0,0,0
Hyd_z16_01,Hydro,16,1613,0,0,1613,0,0,0,0,0,0,0,0
Hyd_z18_01,Hydro,18,746,0,0,746,0,0,0,0,0,0,0,0
coal-new_1_z11,Coal,11,1279,1278.973387,0,0.026612632,0,0,0,0,0,0,0,0
CoalOldUns_1_z11,Coal,11,1657,1656.953947,0,0.046052705,0,0,0,0,0,0,0,0
gas-CC_1_z11,NGCC,11,4404,0.087807738,0,4403.912192,0,0,0,0,0,0,0,0
gas-CT_1_z11,NGCT,11,348,0.014408208,0,347.9855918,0,0,0,0,0,0,0,0
nuclear_1_z11,Nuclear,11,1818,3.35E-05,0,1817.999967,0,0,0,0,0,0,0,0
o-g-s_1_z11,NGST,11,789,788.7919105,0,0.208089546,0,0,0,0,0,0,0,0
coal-new_1_z10,Coal,10,767,766.6111315,0,0.388868466,0,0,0,0,0,0,0,0
CoalOldScr_1_z10,Coal,10,228,227.9461676,0,0.053832376,0,0,0,0,0,0,0,0
CoalOldScr_2_z10,Coal,10,1243,1242.786524,0,0.213475896,0,0,0,0,0,0,0,0
gas-CC_1_z10,NGCC,10,1202,0.028125547,0,1201.971874,0,0,0,0,0,0,0,0
gas-CT_1_z10,NGCT,10,217,0.002280686,0,216.9977193,0,0,0,0,0,0,0,0
o-g-s_1_z10,NGST,10,569,568.7985878,0,0.20141219,0,0,0,0,0,0,0,0
coal-new_1_z09,Coal,9,1194,1193.967299,0,0.032700838,0,0,0,0,0,0,0,0
CoalOldScr_1_z09,Coal,9,6047,6046.960114,0,0.039886329,0,0,0,0,0,0,0,0
gas-CC_1_z09,NGCC,9,840,839.8672954,0,0.132704584,0,0,0,0,0,0,0,0
gas-CC_2_z09,NGCC,9,624,0.003270956,0,623.996729,0,0,0,0,0,0,0,0
gas-CT_1_z09,NGCT,9,3036,314.0327756,0,2721.967224,0,0,0,0,0,0,0,0
nuclear_1_z09,Nuclear,9,1060,4.05E-06,0,1059.999996,0,0,0,0,0,0,0,0
o-g-s_1_z09,NGST,9,134,133.8598139,0,0.140186062,0,0,0,0,0,0,0,0
coal-IGCC_1_z08,Coal,8,733,732.9813912,0,0.018608847,0,0,0,0,0,0,0,0
coal-new_1_z08,Coal,8,8227,8226.956655,0,0.043344892,0,0,0,0,0,0,0,0
CoalOldScr_1_z08,Coal,8,6975,6974.964488,0,0.035511644,0,0,0,0,0,0,0,0
gas-CC_1_z08,NGCC,8,4076,0.005019319,0,4075.994981,0,0,0,0,0,0,0,0
