Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,7.750399207406645e10,1.0188981330849497e10,7.74574261071281e9
cVar,4.833289714211297e9,4.164749924668974e9,3.2024111214190073e9
cNSE,0.0,0.0,0.0
cStart,5.858967369858112e8,4.7461284154219496e8,3.751507832586149e8
cUnmetRsv,2.9289590992446646e7,2.2277122984467745e7,1.6687526534085747e7
cNetworkExp,0.0,0.0,0.0
