Resource,NGCC_bf,NGCC_gf,NGCT_bf,NGCT_gf,SolarPV,Retro_NGCC_CCS,Retro_NGCC_H2,Total
Zone,1,1,1,1,1,1,1,0
AnnualSum,0.0,4.899826384253467e7,0.0,0.0,1.9511800418873125e8,4.170467137362637e6,9.3816771997577e6,2.5766841236838624e8
t1,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t2,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t3,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t4,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t5,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t6,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t7,0.0,30682.488180000004,0.0,0.0,0.0,889.9999999999999,2000.0,33572.48818
t8,0.0,19636.7924352,0.0,0.0,0.0,889.9999999999999,2000.0,22526.7924352
t9,0.0,0.0,0.0,0.0,50700.52771,320.40000000000003,720.0,51740.92771
t10,0.0,0.0,0.0,0.0,50533.08104,0.0,0.0,50533.08104
t11,0.0,0.0,0.0,0.0,49242.45709,0.0,0.0,49242.45709
t12,0.0,0.0,0.0,0.0,48003.02858,0.0,0.0,48003.02858
t13,0.0,0.0,0.0,0.0,47054.9559,0.0,0.0,47054.9559
t14,0.0,0.0,0.0,0.0,46353.09219,0.0,0.0,46353.09219
t15,0.0,0.0,0.0,0.0,46634.54127,0.0,0.0,46634.54127
t16,0.0,0.0,0.0,0.0,47966.68262,0.0,0.0,47966.68262
t17,0.0,0.0,0.0,0.0,49409.63495000001,320.40000000000003,720.0,50450.03495000001
t18,0.0,21829.25024744571,0.0,0.0,0.0,889.9999999999999,2000.0,24719.25024744571
t19,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t20,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t21,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t22,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t23,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t24,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t25,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t26,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t27,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t28,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t29,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t30,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t31,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t32,0.0,21829.25024744571,0.0,0.0,0.0,889.9999999999999,2000.0,24719.25024744571
t33,0.0,0.0,0.0,0.0,56984.77838,320.40000000000003,720.0,58025.178380000005
t34,0.0,0.0,0.0,0.0,57127.75896,0.0,0.0,57127.75896
t35,0.0,0.0,0.0,0.0,56197.7277,0.0,0.0,56197.7277
t36,0.0,0.0,0.0,0.0,55703.22321,0.0,0.0,55703.22321
t37,0.0,0.0,0.0,0.0,54941.3996,0.0,0.0,54941.3996
t38,0.0,0.0,0.0,0.0,54314.97827,0.0,0.0,54314.97827
t39,0.0,0.0,0.0,0.0,54607.84304,0.0,0.0,54607.84304
t40,0.0,0.0,0.0,0.0,56258.47691,0.0,0.0,56258.47691
t41,0.0,0.0,0.0,0.0,58282.217950000006,320.40000000000003,720.0,59322.61795000001
t42,0.0,21829.25024744571,0.0,0.0,0.0,889.9999999999999,2000.0,24719.25024744571
t43,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t44,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t45,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t46,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t47,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t48,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t49,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t50,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t51,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t52,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t53,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t54,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t55,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t56,0.0,21829.25024744571,0.0,0.0,0.0,889.9999999999999,2000.0,24719.25024744571
t57,0.0,0.0,0.0,0.0,60718.80977,320.40000000000003,720.0,61759.20977
t58,0.0,0.0,0.0,0.0,60218.15,0.0,0.0,60218.15
t59,0.0,0.0,0.0,0.0,58264.80378,0.0,0.0,58264.80378
t60,0.0,0.0,0.0,0.0,56278.53152,0.0,0.0,56278.53152
t61,0.0,0.0,0.0,0.0,54510.92394,0.0,0.0,54510.92394
t62,0.0,0.0,0.0,0.0,53318.58548,0.0,0.0,53318.58548
t63,0.0,0.0,0.0,0.0,53147.43574,0.0,0.0,53147.43574
t64,0.0,0.0,0.0,0.0,54015.10251,320.40000000000003,720.0,55055.50251
t65,0.0,14908.139548305087,0.0,0.0,40695.88753169491,889.9999999999999,2000.0,58494.02708
t66,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t67,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t68,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t69,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t70,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t71,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t72,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t73,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t74,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t75,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t76,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t77,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
t78,0.0,34108.203511633925,0.0,0.0,0.0,889.9999999999999,2000.0,36998.203511633925
