Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery
1,1,0,0.219372872,0.143815631,0.102841252,1
2,1,0,0.285283791,0.241906,0.16764299,1
3,1,0,0.349175868,0.293182817,0.191131912,1
4,1,0,0.401467534,0.349732003,0.198802538,1
5,1,0,0.436775515,0.390491597,0.214531026,1
6,1,0,0.467454116,0.41714226,0.241001775,1
7,1,0,0.499615561,0.464286248,0.291983314,1
8,1,0,0.563363141,0.51468165,0.336089269,1
9,1,0.019308977,0.641401049,0.553172656,0.380076106,1
10,1,0.040197332,0.688384604,0.599645676,0.434832717,1
11,1,0.073280675,0.722219288,0.63593392,0.44305989,1
12,1,0.09890786,0.741768562,0.657417631,0.436473786,1
13,1,0.104840295,0.753255586,0.67982264,0.460342329,1
14,1,0.08561553,0.760703591,0.705407651,0.498555722,1
15,1,0.053248752,0.762104675,0.690548859,0.460816295,1
16,1,0.01474109,0.754341374,0.666082789,0.420285165,1
17,1,0,0.732783238,0.626205358,0.35505279,1
18,1,0,0.695233241,0.574394766,0.305650644,1
19,1,0,0.642387425,0.509829726,0.230016675,1
20,1,0,0.583600066,0.440594328,0.187209511,1
21,1,0,0.506061189,0.361161749,0.164057877,1
22,1,0,0.439484795,0.32695052,0.152882794,1
23,1,0,0.405047774,0.309409231,0.167701212,1
24,1,0,0.363787845,0.28428122,0.185253001,1
25,1,0,0.370341112,0.289683135,0.195232274,1
26,1,0,0.430567046,0.320261623,0.238958598,1
27,1,0,0.509698303,0.355449147,0.292633735,1
28,1,0,0.547271643,0.438585757,0.344067068,1
29,1,0,0.595566695,0.509631267,0.454084528,1
30,1,0,0.637933594,0.607488365,0.571829699,1
31,1,0,0.696447462,0.685614799,0.593543566,1
32,1,0.032690994,0.749055035,0.729980799,0.648063274,1
33,1,0.236377293,0.779490099,0.756019625,0.702011915,1
34,1,0.320249311,0.784061489,0.759536017,0.73343671,1
35,1,0.334043356,0.788003589,0.773474953,0.772739048,1
36,1,0.316840649,0.791502341,0.789393001,0.781945248,1
37,1,0.352547367,0.793881743,0.794090813,0.781077977,1
38,1,0.449681048,0.792883804,0.791367536,0.767938039,1
39,1,0.513246187,0.786521835,0.778769117,0.729192067,1
40,1,0.178872406,0.767321194,0.730368601,0.624441935,1
41,1,0,0.763417829,0.700736264,0.569514074,1
42,1,0,0.759449784,0.684168603,0.560413529,1
43,1,0,0.752274445,0.671035894,0.551911344,1
44,1,0,0.743268244,0.65404722,0.528886516,1
45,1,0,0.726836716,0.620910095,0.508478477,1
46,1,0,0.709140935,0.598252987,0.479674543,1
47,1,0,0.696896665,0.586100006,0.451726261,1
48,1,0,0.687382567,0.576683354,0.423791244,1
49,1,0,0.676457776,0.5669548,0.420688448,1
50,1,0,0.666232422,0.562600684,0.428786681,1
51,1,0,0.664035079,0.572370928,0.434937156,1
