Time_Index,MA_flex_coal_supercritical,MA_old_large_coal_PPA,MA_old_large_coal_PPA_InState,MA_solar_pv,MA_solar_pv_PPA,CT_flex_coal_supercritical,CT_old_large_coal_PPA,CT_old_large_coal_PPA_InState,CT_onshore_wind,CT_solar_pv,ME_flex_coal_supercritical,ME_old_large_coal_PPA,ME_old_large_coal_PPA_InState,ME_onshore_wind,MA_battery,CT_battery,ME_battery
46,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.575961411,0,0.8,0.8,0.8,0.842129111,1,1,1
47,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.526084423,0,0.8,0.8,0.8,0.778776944,1,1,1
48,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.570720732,0,0.8,0.8,0.8,0.798049688,1,1,1
49,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.616125405,0,0.8,0.8,0.8,0.865914464,1,1,1
50,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.687053382,0,0.8,0.8,0.8,0.807153344,1,1,1
51,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.553053379,0,0.8,0.8,0.8,0.573096633,1,1,1
52,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.677880645,0,0.8,0.8,0.8,0.476775587,1,1,1
53,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.80630821,0,0.8,0.8,0.8,0.574992657,1,1,1
54,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.801423192,0,0.8,0.8,0.8,0.604182601,1,1,1
55,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.736126423,0,0.8,0.8,0.8,0.744862914,1,1,1
56,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.630956411,0,0.8,0.8,0.8,0.792550921,1,1,1
57,0.8,0.8,0.8,0.2147,0.2147,0.8,0.8,0.8,0.731341124,0.1899,0.8,0.8,0.8,0.87292397,1,1,1
58,0.8,0.8,0.8,0.436,0.436,0.8,0.8,0.8,0.992636561,0.4305,0.8,0.8,0.8,0.912224948,1,1,1
59,0.8,0.8,0.8,0.5787,0.5787,0.8,0.8,0.8,1,0.5707,0.8,0.8,0.8,0.980872095,1,1,1
60,0.8,0.8,0.8,0.632,0.632,0.8,0.8,0.8,1,0.6554,0.8,0.8,0.8,0.994781852,1,1,1
61,0.8,0.8,0.8,0.6451,0.6451,0.8,0.8,0.8,1,0.6621,0.8,0.8,0.8,0.988758683,1,1,1
62,0.8,0.8,0.8,0.6207,0.6207,0.8,0.8,0.8,1,0.6529,0.8,0.8,0.8,0.998735309,1,1,1
63,0.8,0.8,0.8,0.5504,0.5504,0.8,0.8,0.8,1,0.5731,0.8,0.8,0.8,0.996199667,1,1,1
64,0.8,0.8,0.8,0.3781,0.3781,0.8,0.8,0.8,0.999652565,0.4127,0.8,0.8,0.8,0.983224452,1,1,1
65,0.8,0.8,0.8,0.1371,0.1371,0.8,0.8,0.8,0.945950031,0.1725,0.8,0.8,0.8,0.998122811,1,1,1
66,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.987837434,0,0.8,0.8,0.8,0.997993112,1,1,1
67,0.8,0.8,0.8,0,0,0.8,0.8,0.8,1,0,0.8,0.8,0.8,0.997174382,1,1,1
68,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.958051622,0,0.8,0.8,0.8,0.987223804,1,1,1
69,0.8,0.8,0.8,0,0,0.8,0.8,0.8,1,0,0.8,0.8,0.8,0.981596351,1,1,1
70,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.996488094,0,0.8,0.8,0.8,0.992870092,1,1,1
71,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.997731447,0,0.8,0.8,0.8,0.954669297,1,1,1
72,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.997055888,0,0.8,0.8,0.8,0.9347471,1,1,1
73,0.8,0.8,0.8,0,0,0.8,0.8,0.8,1,0,0.8,0.8,0.8,0.978952587,1,1,1
74,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.999057055,0,0.8,0.8,0.8,0.945270836,1,1,1
75,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.964799762,0,0.8,0.8,0.8,0.929749548,1,1,1
76,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.929325104,0,0.8,0.8,0.8,0.909057319,1,1,1
77,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.906229854,0,0.8,0.8,0.8,0.901528418,1,1,1
78,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.809327066,0,0.8,0.8,0.8,0.910134673,1,1,1
79,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.651830137,0,0.8,0.8,0.8,0.867187142,1,1,1
80,0.8,0.8,0.8,0,0,0.8,0.8,0.8,0.48080951,0,0.8,0.8,0.8,0.876390636,1,1,1
81,0.8,0.8,0.8,0.2277,0.2277,0.8,0.8,0.8,0.378751755,0.2204,0.8,0.8,0.8,0.823099732,1,1,1
