Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
MA_natural_gas_combined_cycle,1,0.0,9085.653761095598,9643.666953861373,2357.3409296539385
MA_solar_pv,1,0.0,1189.4336988593172,0.0,4602.297608056231
CT_natural_gas_combined_cycle,2,0.0,9871.101850100034,8801.108617406455,1202.3744196443859
CT_onshore_wind,2,0.0,0.0,1407.5115036633001,25867.59770600801
CT_solar_pv,2,0.0,243.36370440989393,3880.3915606930373,33483.8632797723
ME_natural_gas_combined_cycle,3,0.0,0.0,0.0,192.3026609376615
ME_onshore_wind,3,0.0,4246.688839846521,4361.831809890417,11749.503802224186
MA_battery,1,0.0,0.0,745.3192437467043,959.3162181467641
CT_battery,2,0.0,108.8407465084559,0.0,11173.316620134357
ME_battery,3,0.0,1136.1132306634242,301.1015873223091,578.242196818317
Total,n/a,0.0,25881.195831483245,29140.931276583593,92166.15544139616
