Resource,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
t132,0.0,0.0,0.0,-56.42582688829205
t133,0.0,0.0,0.0,-56.42582688829205
t134,0.0,0.0,0.0,-56.42582688829205
t135,0.0,0.0,0.0,-56.42582688829205
t136,0.0,0.0,0.0,-56.42582688829205
t137,0.0,0.0,0.0,-56.42582688829205
t138,0.0,0.0,0.0,-56.42582688829205
t139,0.0,0.0,0.0,-56.42582688829205
t140,0.0,0.0,0.0,-56.42582688829205
t141,0.0,0.0,0.0,-56.42582688829205
t142,0.0,0.0,0.0,-56.42582688829205
t143,0.0,0.0,0.0,-56.42582688829205
t144,0.0,0.0,0.0,-56.42582688829205
t145,0.0,0.0,0.0,-56.42582688829205
t146,0.0,0.0,0.0,-56.42582688829205
t147,0.0,0.0,0.0,-56.42582688829205
t148,0.0,0.0,0.0,-56.42582688829205
t149,0.0,0.0,0.0,-56.42582688829205
t150,0.0,0.0,0.0,-56.42582688829205
t151,0.0,0.0,0.0,-56.42582688829205
t152,0.0,0.0,0.0,-56.42582688829205
t153,0.0,0.0,0.0,-56.42582688829205
t154,0.0,0.0,0.0,-56.42582688829205
t155,0.0,0.0,0.0,-56.42582688829205
t156,0.0,0.0,0.0,-56.42582688829205
t157,0.0,0.0,0.0,-56.42582688829205
t158,0.0,0.0,0.0,-56.42582688829205
t159,0.0,0.0,0.0,-56.42582688829205
t160,0.0,0.0,0.0,-56.42582688829205
t161,0.0,0.0,0.0,-56.42582688829205
t162,0.0,0.0,0.0,-56.42582688829205
t163,0.0,0.0,0.0,-56.42582688829205
t164,0.0,0.0,0.0,-56.42582688829205
t165,0.0,0.0,0.0,-56.42582688829205
t166,0.0,0.0,0.0,-56.42582688829205
t167,0.0,0.0,0.0,-56.42582688829205
t168,0.0,0.0,0.0,-56.42582688829205
t169,0.0,0.0,0.0,-78.58265060960635
t170,0.0,0.0,0.0,-78.58265060960635
t171,0.0,0.0,0.0,-78.58265060960635
t172,0.0,0.0,0.0,-78.58265060960635
t173,0.0,0.0,0.0,-78.58265060960635
t174,0.0,0.0,0.0,-78.58265060960635
t175,0.0,0.0,0.0,-78.58265060960635
t176,0.0,0.0,0.0,-78.58265060960635
t177,0.0,0.0,0.0,-78.58265060960635
t178,0.0,0.0,0.0,-78.58265060960635
t179,0.0,0.0,0.0,-78.58265060960635
t180,0.0,0.0,0.0,-78.58265060960635
t181,0.0,0.0,0.0,-78.58265060960635
t182,0.0,0.0,0.0,-78.58265060960635
t183,0.0,0.0,0.0,-78.58265060960635
t184,0.0,0.0,0.0,-78.58265060960635
t185,0.0,0.0,0.0,-78.58265060960635
t186,0.0,0.0,0.0,-78.58265060960635
t187,0.0,0.0,0.0,-78.58265060960635
t188,0.0,0.0,0.0,-78.58265060960635
t189,0.0,0.0,0.0,-78.58265060960635
t190,0.0,0.0,0.0,-78.58265060960635
t191,0.0,0.0,0.0,-78.58265060960635
t192,0.0,0.0,0.0,-78.58265060960635
t193,0.0,0.0,0.0,-78.58265060960635
t194,0.0,0.0,0.0,-78.58265060960635
t195,0.0,0.0,0.0,-78.58265060960635
t196,0.0,0.0,0.0,-78.58265060960635
t197,0.0,0.0,0.0,-78.58265060960635
t198,0.0,0.0,0.0,-78.58265060960635
t199,0.0,0.0,0.0,-78.58265060960635
t200,0.0,0.0,0.0,-78.58265060960635
t201,0.0,0.0,0.0,-78.58265060960635
t202,0.0,0.0,0.0,-78.58265060960635
t203,0.0,0.0,0.0,-78.58265060960635
t204,0.0,0.0,0.0,-78.58265060960635
t205,0.0,0.0,0.0,-78.58265060960635
t206,0.0,0.0,0.0,-78.58265060960635
t207,0.0,0.0,0.0,-78.58265060960635
t208,0.0,0.0,0.0,-78.58265060960635
t209,0.0,0.0,0.0,-78.58265060960635
t210,0.0,0.0,0.0,-78.58265060960635
t211,0.0,0.0,0.0,-78.58265060960635
t212,0.0,0.0,0.0,-78.58265060960635
t213,0.0,0.0,0.0,-78.58265060960635
t214,0.0,0.0,0.0,-78.58265060960635
t215,0.0,0.0,0.0,-78.58265060960635
t216,0.0,0.0,0.0,-78.58265060960635
t217,0.0,0.0,0.0,-78.58265060960635
t218,0.0,0.0,0.0,-78.58265060960635
t219,0.0,0.0,0.0,-78.58265060960635
t220,0.0,0.0,0.0,-78.58265060960635
t221,0.0,0.0,0.0,-78.58265060960635
t222,0.0,0.0,0.0,-78.58265060960635
t223,0.0,0.0,0.0,-78.58265060960635
t224,0.0,0.0,0.0,-78.58265060960635
t225,0.0,0.0,0.0,-78.58265060960635
t226,0.0,0.0,0.0,-78.58265060960635
t227,0.0,0.0,0.0,-78.58265060960635
t228,0.0,0.0,0.0,-78.58265060960635
t229,0.0,0.0,0.0,-78.58265060960635
t230,0.0,0.0,0.0,-78.58265060960635
t231,0.0,0.0,0.0,-78.58265060960635
t232,0.0,0.0,0.0,-78.58265060960635
t233,0.0,0.0,0.0,-78.58265060960635
