Resource,Deg_Celsius,MWth
CT_UTES,21.5,23.234
CT_UTES,21.75,23.129
CT_UTES,22,22.971
CT_UTES,22.25,22.813
CT_UTES,22.5,22.655
CT_UTES,22.75,22.497
CT_UTES,23,22.34
CT_UTES,23.25,22.182
CT_UTES,23.5,22.025
CT_UTES,23.75,21.868
CT_UTES,24,21.763
CT_UTES,24.25,21.606
CT_UTES,24.5,21.449
CT_UTES,24.75,21.293
CT_UTES,25,21.032
CT_UTES,25.25,20.876
CT_UTES,25.5,20.721
CT_UTES,25.75,20.565
CT_UTES,26,20.461
CT_UTES,26.25,20.306
CT_UTES,26.5,20.151
CT_UTES,26.75,19.996
CT_UTES,27,19.739
CT_UTES,27.25,19.585
CT_UTES,27.5,19.431
CT_UTES,27.75,19.278
CT_UTES,28,19.074
CT_UTES,28.25,18.921
CT_UTES,28.5,18.768
CT_UTES,28.75,18.616
CT_UTES,29,18.364
CT_UTES,29.25,18.212
CT_UTES,29.5,18.061
CT_UTES,29.75,17.86
CT_UTES,30,17.71
CT_UTES,30.25,17.461
CT_UTES,30.5,17.312
CT_UTES,30.75,17.162
CT_UTES,31,16.916
CT_UTES,31.25,16.816
CT_UTES,31.5,16.571
CT_UTES,31.75,16.423
CT_UTES,32,16.18
CT_UTES,32.25,16.033
CT_UTES,32.5,15.791
CT_UTES,32.75,15.693
CT_UTES,33,15.453
CT_UTES,33.25,15.213
CT_UTES,33.5,15.069
CT_UTES,33.75,14.832
CT_UTES,34,14.642
CT_UTES,34.25,14.5
CT_UTES,34.5,14.264
CT_UTES,34.75,14.03
CT_UTES,35,13.797
CT_UTES,35.25,13.657
CT_UTES,35.5,13.472
CT_UTES,35.75,13.242
CT_UTES,36,13.013
CT_UTES,36.25,12.784
CT_UTES,36.5,12.557
CT_UTES,36.75,12.377
CT_UTES,37,12.152
CT_UTES,37.25,11.928
CT_UTES,37.5,11.705
CT_UTES,37.75,11.528
CT_UTES,38,11.307
CT_UTES,38.25,11.088
CT_UTES,38.5,10.87
CT_UTES,38.75,10.653
CT_UTES,39,10.48
CT_UTES,39.25,10.265
CT_UTES,39.5,9.965
