Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.3868135506954155e10,1.1470442590884686e9,4.8468417374374084e10
cVar,8.92952863796622e9,4.984783557092913e9,5.342275939466708e8
cNSE,3.524573902200031e8,0.0,6.700701275145929e8
cStart,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,0.0,0.0,1.8367692155391413e8
