Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.2415390523088623e10,1.5361559683826227e9,4.45842772352194e10
cVar,7.15086530140959e9,4.531730929348574e9,4.951406688223452e8
cNSE,0.0,0.0,0.0
cStart,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,4.153529511959015e8,0.0,5.412932650300397e8
