Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3,,,,2020,2025,2030,2035
MA_natural_gas_combined_cycle,1,0,10756.15742,12416.92967,2221.401163,,,MA_natural_gas_combined_cycle,0,10756.15742,12416.92967,2221.401163
MA_solar_pv,1,0,0,0,8549.094869,,,MA_solar_pv,0,0,0,8549.094869
CT_natural_gas_combined_cycle,2,0,9293.898972,6060.472913,1402.092921,,,CT_natural_gas_combined_cycle,0,9293.898972,6060.472913,1402.092921
CT_onshore_wind,2,0,0,0,0,,,CT_onshore_wind,0,0,0,0
CT_solar_pv,2,0,0,0,52847.85007,,,CT_solar_pv,0,0,0,52847.85007
ME_natural_gas_combined_cycle,3,0,0,1960.04522,192.6846346,,,ME_natural_gas_combined_cycle,0,0,1960.04522,192.6846346
ME_onshore_wind,3,0,1661.918188,0,12672.42114,,,ME_onshore_wind,0,1661.918188,0,12672.42114
MA_battery,1,0,577.3868195,1527.964324,2212.865452,,,MA_battery,0,577.3868195,1527.964324,2212.865452
CT_battery,2,0,207.4122431,0,24934.59683,,,CT_battery,0,207.4122431,0,24934.59683
ME_battery,3,0,0,0,2009.899205,,,ME_battery,0,0,0,2009.899205
Total,n/a,0,22496.77365,21965.41213,107042.9063,,,,,,,
