Time_Index,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1,0,0.889717042,1
2,1,0,0.877715468,1
3,1,0,0.903424203,1
4,1,0,0.895153165,1
5,1,0,0.757258117,1
6,1,0,0.630928695,1
7,1,0,0.557177782,1
8,1,0,0.6072492,1
9,1,0.1779,0.423417866,1
10,1,0.429,0.007470775,1
11,1,0.5748,0.002535942,1
12,1,0.6484,0.002153709,1
13,1,0.6208,0.00445132,1
14,1,0.596,0.007711587,1
15,1,0.5013,0.100848213,1
16,1,0.3311,0.201802149,1
17,1,0.0642,0.141933054,1
18,1,0,0.567022562,1
19,1,0,0.946024895,1
20,1,0,0.923394203,1
21,1,0,0.953386247,1
22,1,0,0.929205418,1
23,1,0,0.849528909,1
24,1,0,0.665570974,1
25,1,0,0.527450681,1
26,1,0,0.64820224,1
27,1,0,0.636301041,1
28,1,0,0.914841771,1
29,1,0,0.857677341,1
30,1,0,0.824768543,1
31,1,0,0.586626828,1
32,1,0,0.485967815,1
33,1,0.16,0.565889001,1
34,1,0.3418,0.741932392,1
35,1,0.4952,0.929326653,1
36,1,0.5654,0.986445904,1
37,1,0.5713,0.991647005,1
38,1,0.5414,0.985625088,1
39,1,0.4677,0.991092265,1
40,1,0.3193,0.951515317,1
41,1,0.1003,0.961550415,1
42,1,0,0.797302723,1
43,1,0,0.725138009,1
44,1,0,0.543448448,1
45,1,0,0.825306416,1
46,1,0,0.921077967,1
47,1,0,0.825397491,1
48,1,0,0.801085293,1
49,1,0,0.838672936,1
50,1,0,0.658602715,1
51,1,0,0.48531872,1
52,1,0,0.595986664,1
53,1,0,0.621841788,1
54,1,0,0.698297441,1
55,1,0,0.565368712,1
56,1,0,0.362982541,1
57,1,0.2147,0.427276224,1
58,1,0.436,0.887898088,1
59,1,0.5787,0.952664733,1
60,1,0.632,0.976346016,1
61,1,0.6451,0.998005092,1
62,1,0.6207,0.978558242,1
63,1,0.5504,0.992356002,1
64,1,0.3781,0.986144602,1
65,1,0.1371,0.851535916,1
66,1,0,0.903066397,1
67,1,0,0.994233489,1
68,1,0,0.827461898,1
69,1,0,0.965808392,1
70,1,0,0.960160732,1
71,1,0,0.987732053,1
72,1,0,0.979912996,1
73,1,0,0.999813199,1
74,1,0,0.992998838,1
75,1,0,0.91274631,1
76,1,0,0.900314331,1
77,1,0,0.900902867,1
78,1,0,0.78619957,1
79,1,0,0.749704719,1
80,1,0,0.687368631,1
81,1,0.2277,0.604354978,1
82,1,0.4502,0.599827349,1
83,1,0.6046,0.577508748,1
84,1,0.6791,0.086388931,1
85,1,0.6728,0.040881492,1
86,1,0.6482,0.022434272,1
87,1,0.528,0.009461308,1
