Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
NGCC_bf,1,3400,3400,0,0,0,0,0,0,0,0,0,0
NGCC_gf,1,0,0,34586.38469,34586.38469,0,0,0,0,0,0,0,0
NGCT_bf,1,8200,0,0,8200,0,0,0,0,0,0,0,0
NGCT_gf,1,0,0,0,0,0,0,0,0,0,0,0,0
NGST,1,1060,0,0,1060,0,0,0,0,0,0,0,0
Coal,1,14700,14700,0,-1.82E-12,0,0,0,0,0,0,0,0
Nuclear,1,2360,0,0,2360,0,0,0,0,0,0,0,0
Biomass,1,20,0,0,20,0,0,0,0,0,0,0,0
SolarPV,1,40,0,9743.017502,9783.017502,0,0,0,0,0,0,0,0
Wind,1,5720,0,0,5720,0,0,0,0,0,0,0,0
Hydro,1,480,0,0,480,0,0,0,0,0,0,0,0
PHS,1,480,480,0,0,0,0,0,0,0,0,0,0
Li-ion,1,0,0,5.366320116,5.366320116,0,0,5.962577907,5.962577907,0,0,0,0
Retro_NGCC_CCS,1,0,0,2890,2890,0,0,0,0,0,0,0,0
Retro_NGCC_H2,1,0,0,0,0,0,0,0,0,0,0,0,0
Retro_Coal_TES,1,0,0,0,0,0,0,0,0,0,0,0,0
Retro_Coal_SMR,1,0,0,12495,12495,0,0,0,0,0,0,0,0
Total,n/a,36460,18580,59719.76851,77599.76851,0,0,5.962577907,5.962577907,0,0,0,0
