Time_Index,ngcc,natural_gas_combined_cycle,solar_pv,onshore_wind,battery
1,1,1,0,0.889717042,1
2,1,1,0,0.877715468,1
3,1,1,0,0.903424203,1
4,1,1,0,0.895153165,1
5,1,1,0,0.757258117,1
6,1,1,0,0.630928695,1
7,1,1,0,0.557177782,1
8,1,1,0,0.6072492,1
9,1,1,0.1779,0.423417866,1
10,1,1,0.429,0.007470775,1
11,1,1,0.5748,0.002535942,1
12,1,1,0.6484,0.002153709,1
13,1,1,0.6208,0.00445132,1
14,1,1,0.596,0.007711587,1
15,1,1,0.5013,0.100848213,1
16,1,1,0.3311,0.201802149,1
17,1,1,0.0642,0.141933054,1
18,1,1,0,0.567022562,1
19,1,1,0,0.946024895,1
20,1,1,0,0.923394203,1
21,1,1,0,0.953386247,1
22,1,1,0,0.929205418,1
23,1,1,0,0.849528909,1
24,1,1,0,0.665570974,1
25,1,1,0,0.527450681,1
26,1,1,0,0.64820224,1
27,1,1,0,0.636301041,1
28,1,1,0,0.914841771,1
29,1,1,0,0.857677341,1
30,1,1,0,0.824768543,1
31,1,1,0,0.586626828,1
32,1,1,0,0.485967815,1
33,1,1,0.16,0.565889001,1
34,1,1,0.3418,0.741932392,1
35,1,1,0.4952,0.929326653,1
36,1,1,0.5654,0.986445904,1
37,1,1,0.5713,0.991647005,1
38,1,1,0.5414,0.985625088,1
39,1,1,0.4677,0.991092265,1
40,1,1,0.3193,0.951515317,1
41,1,1,0.1003,0.961550415,1
42,1,1,0,0.797302723,1
43,1,1,0,0.725138009,1
44,1,1,0,0.543448448,1
45,1,1,0,0.825306416,1
46,1,1,0,0.921077967,1
47,1,1,0,0.825397491,1
48,1,1,0,0.801085293,1
49,1,1,0,0.838672936,1
50,1,1,0,0.658602715,1
51,1,1,0,0.48531872,1
52,1,1,0,0.595986664,1
53,1,1,0,0.621841788,1
54,1,1,0,0.698297441,1
55,1,1,0,0.565368712,1
56,1,1,0,0.362982541,1
57,1,1,0.2147,0.427276224,1
58,1,1,0.436,0.887898088,1
59,1,1,0.5787,0.952664733,1
60,1,1,0.632,0.976346016,1
61,1,1,0.6451,0.998005092,1
62,1,1,0.6207,0.978558242,1
63,1,1,0.5504,0.992356002,1
64,1,1,0.3781,0.986144602,1
65,1,1,0.1371,0.851535916,1
66,1,1,0,0.903066397,1
67,1,1,0,0.994233489,1
68,1,1,0,0.827461898,1
69,1,1,0,0.965808392,1
70,1,1,0,0.960160732,1
71,1,1,0,0.987732053,1
72,1,1,0,0.979912996,1
73,1,1,0,0.999813199,1
74,1,1,0,0.992998838,1
75,1,1,0,0.91274631,1
76,1,1,0,0.900314331,1
77,1,1,0,0.900902867,1
78,1,1,0,0.78619957,1
79,1,1,0,0.749704719,1
80,1,1,0,0.687368631,1
81,1,1,0.2277,0.604354978,1
82,1,1,0.4502,0.599827349,1
83,1,1,0.6046,0.577508748,1
84,1,1,0.6791,0.086388931,1
85,1,1,0.6728,0.040881492,1
86,1,1,0.6482,0.022434272,1
87,1,1,0.528,0.009461308,1
88,1,1,0.3343,0.013535732,1
89,1,1,0.028,0.00627484,1
90,1,1,0,0.05808929,1
91,1,1,0,0.22415413,1
92,1,1,0,0.275481582,1
93,1,1,0,0.416952342,1
94,1,1,0,0.390747398,1
95,1,1,0,0.463861436,1
96,1,1,0,0.419889808,1
97,1,1,0,0.325898945,1
98,1,1,0,0.522758365,1
99,1,1,0,0.365987569,1
100,1,1,0,0.424390733,1
101,1,1,0,0.433115661,1
102,1,1,0,0.362870246,1
103,1,1,0,0.228127867,1
104,1,1,0,0.254994243,1
105,1,1,0.1033,0.297353089,1
106,1,1,0.2804,0.26502341,1
107,1,1,0.4372,0.246666133,1
108,1,1,0.5913,0.209545553,1
109,1,1,0.5349,0.213271856,1
110,1,1,0.4854,0.353414446,1
111,1,1,0.3973,0.410481691,1
112,1,1,0.2948,0.808897853,1
113,1,1,0.0897,0.773383021,1
114,1,1,0,0.809938967,1
115,1,1,0,0.685354233,1
116,1,1,0,0.45875603,1
117,1,1,0,0.479708195,1
118,1,1,0,0.097237095,1
119,1,1,0,0.373140395,1
120,1,1,0,0.167982742,1
121,1,1,0,0.333688021,1
122,1,1,0,0.298790157,1
123,1,1,0,0.152139187,1
124,1,1,0,0.069804139,1
125,1,1,0,0.148644954,1
126,1,1,0,0.209140733,1
127,1,1,0,0.241903529,1
128,1,1,0,0.232758492,1
129,1,1,0.1023,0.433448523,1
130,1,1,0.2939,0.529960155,1
131,1,1,0.5036,0.251590341,1
132,1,1,0.62,0.253996432,1
133,1,1,0.5947,0.216716677,1
134,1,1,0.4261,0.300185502,1
135,1,1,0.3649,0.177140608,1
136,1,1,0.1992,0.133263707,1
137,1,1,0.0151,0.281703651,1
138,1,1,0,0.410258323,1
139,1,1,0,0.348620415,1
140,1,1,0,0.174488172,1
