region,Resource,zone,Cluster,R_ID,SubsidyRevenue
MA,MA_natural_gas_combined_cycle,1,1,1,0.0
MA,MA_solar_pv_1,1,1,2,0.0
MA,MA_solar_pv_2,1,2,3,0.0
CT,CT_natural_gas_combined_cycle,2,1,4,0.0
CT,CT_onshore_wind_1,2,1,5,0.0
CT,CT_onshore_wind_2,2,2,6,0.0
CT,CT_solar_pv_1,2,1,7,0.0
CT,CT_solar_pv_2,2,2,8,0.0
ME,ME_natural_gas_combined_cycle,3,1,9,0.0
ME,ME_onshore_wind_1,3,1,10,0.0
ME,ME_onshore_wind_2,3,2,11,0.0
MA,MA_battery,1,1,12,0.0
CT,CT_battery,2,1,13,0.0
ME,ME_battery,3,1,14,0.0
