Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
t11,0.0,0.0,2.842170943040401e-14,4263.881480573184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4515.692008451737
t12,0.0,0.0,0.0,4256.185897348862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4507.996425227416
t13,0.0,0.0,0.0,4362.186878507128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4613.997406385682
t14,0.0,0.0,2.842170943040401e-14,4459.8169077394605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4711.627435618014
t15,0.0,0.0,0.0,4463.708151196739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4715.518679075292
t16,0.0,0.0,1.4210854715202004e-14,4391.675774384592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4643.486302263145
t17,0.0,0.0,0.0,3605.1084159886514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3856.918943867205
t18,0.0,0.0,0.0,2509.997882638455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2761.8084105170087
t19,0.0,0.0,0.0,2503.8171768987595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,2755.6277047773133
t20,0.0,0.0,0.0,2811.250624692223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3063.061152570777
t21,0.0,0.0,0.0,3417.932472807439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3669.7430006859927
t22,0.0,0.0,0.0,4417.409607494852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4669.220135373405
t23,0.0,0.0,0.0,5535.103227977359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5786.913755855912
