Costs,Total,Zone1,Zone2,Zone3
cTotal,4.351081514742362e9,2.0678182619611773e9,2.2270275348548265e9,4.958236333319985e6
cFix,1.5033331207018058e9,7.450941431361107e8,7.376072400431124e8,2.0631737522582695e7
cVar,2.812171394040552e9,1.3227241188250666e9,1.489420294811714e9,26980.40376869379
cNSE,0.0,0.0,0.0,0.0
cStart,0.0,0,0,0
cUnmetRsv,0.0,-,-,-
cNetworkExp,3.5577e7,-,-,-
