,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t16,9549.29021466213,0.0,-0.0,0,-0.0,0.0,0.0,973.0686339369761,-29.078038923289483,-10493.280809675816,5430.253438685162,0.0,-0.0,0,-0.0,0.0,0.0,-2418.065832518097,-14.878161995118502,-2997.3094441719477,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1444.997198581121,-14.199876928170983,-1430.7973216529501
t17,9468.092523803913,0.0,-0.0,0,-0.0,0.0,0.0,1548.6988951710875,-33.70222751884835,-10983.089191456153,6216.820797081103,0.0,-0.0,0,-0.0,0.0,0.0,-3061.4303374356987,-18.836731359669354,-3136.5537282857345,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1512.7314422646111,-14.865496159179,-1497.8659461054322
t18,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,2329.4694654291025,-40.09701950285978,-11713.736964277856,7311.931330431299,0.0,-0.0,0,-0.0,0.0,0.0,-3941.7497203800554,-24.25326477689627,-3345.928345274348,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1612.280254950953,-15.843754725963509,-1596.4365002249892
t19,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,2333.5759317656252,-40.13868599058248,-11717.801764126656,7318.1120361709945,0.0,-0.0,0,-0.0,0.0,0.0,-3946.882463136025,-24.284846124755216,-3346.944726910215,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1613.3065313703996,-15.853839865827267,-1597.4526915045722
t20,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,2117.3682388469815,-38.34918509611064,-11503.383572102484,7010.678588377531,0.0,-0.0,0,-0.0,0.0,0.0,-3701.9390304728704,-22.777729146468587,-3285.9618287581916,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1584.570791625889,-15.571455949642049,-1568.9993356762466
t21,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,1692.0937906171755,-34.79772117924827,-11081.66058778954,6403.996740262315,0.0,-0.0,0,-0.0,0.0,0.0,-3218.1668263345955,-19.80111820184042,-3166.0287957258793,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1526.07303571742,-14.996602977407854,-1511.076432740012
t22,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,992.1811358196564,-28.94964056423843,-10387.596013607032,5404.519605574902,0.0,-0.0,0,-0.0,0.0,0.0,-2421.7841881090753,-14.901040734023809,-2967.8343767318033,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1429.6030522894189,-14.048599830214618,-1415.5544524592042
t23,9424.364518351613,0.0,-0.0,0,-0.0,0.0,0.0,209.2816756838165,-22.426951549095676,-9611.219242486333,4286.825985092395,0.0,-0.0,0,-0.0,0.0,0.0,-1532.1519803507663,-9.427206264711867,-2745.246798476918,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1322.8703046669498,-12.999745284383808,-1309.870559382566
t24,9260.301296438563,0.0,-0.0,0,-0.0,0.0,0.0,-419.8027504901628,-16.834274166963894,-8823.664271781437,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-795.3085301348711,-4.893468568274656,-2519.6100753144315,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1215.111280625034,-11.94080559868924,-1203.1704750263445
t25,8456.890229066918,0.0,-0.0,0,-0.0,0.0,0.0,-182.19948841934877,-17.049847811457226,-8257.640892836112,3319.812074017577,0.0,-0.0,0,-0.0,0.0,0.0,-954.9147843277268,-5.87551284241358,-2359.0217768474367,0.0,0.0,-0.0,0,-0.0,0.0,0.0,1137.1142727470756,-11.174334969043645,-1125.939937778032
