Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
Zone,1,1,1,2,2,2,2,2,3,3,3,1,2,3,0
AnnualSum,4.9682376e7,0.0,649897.0,6.775155e7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82453.11,1.1816628e8
t1,9374.055736643406,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12693.867810660982
t2,8959.664289632497,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12279.476363650074
t3,8758.543435835183,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12078.35550985276
t4,8672.201134535497,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11992.013208553073
t5,8751.442285366295,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12071.25435938387
t6,9078.467318784707,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12398.279392802284
t7,9424.364518351613,0.0,0.0,3558.841303462863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12983.205821814476
t8,9424.364518351613,0.0,0.0,4201.504968790588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13625.869487142201
t9,9424.364518351613,0.0,87.25542372362732,4964.555049207471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14476.17499128271
t10,9424.364518351613,0.0,163.7192571108612,5412.575187901834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.658963364309
t11,9424.364518351613,0.0,225.1791693612506,5558.0477324965705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15207.591420209434
t12,9424.364518351613,0.0,213.5049954285722,5565.743315720892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15203.612829501075
t13,9424.364518351613,0.0,227.82692015010548,5459.742334562626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15111.933773064346
t14,9424.364518351613,0.0,210.49618771396436,5362.112305330294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14996.973011395872
t15,9424.364518351613,0.0,169.6566376676873,5358.221061873015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14952.242217892315
t16,9424.364518351613,0.0,124.92569631051744,5430.253438685162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14979.543653347293
t17,9424.364518351613,0.0,43.72800545230058,6216.820797081103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15684.913320885014
t18,9424.364518351613,0.0,0.0,7311.931330431299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16736.295848782913
t19,9424.364518351613,0.0,0.0,7318.1120361709945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16742.476554522607
t20,9424.364518351613,0.0,0.0,7010.678588377531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16435.043106729143
t21,9424.364518351613,0.0,0.0,6403.996740262315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15828.361258613928
t22,9424.364518351613,0.0,0.0,5404.519605574902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14828.884123926515
t23,9424.364518351613,0.0,0.0,4286.825985092395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13711.190503444008
t24,9260.301296438563,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12580.11337045614
t25,8456.890229066918,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11776.702303084494
t26,8045.547381942621,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11365.359455960197
t27,7881.01254063796,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.824614655538
t28,7890.154003361846,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11209.966077379422
t29,8235.474211494542,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11555.286285512118
t30,9289.737922937511,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12609.549996955087
t31,9424.364518351613,0.0,0.0,5128.9776465760615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14553.342164927675
t32,9424.364518351613,0.0,0.0,6220.952473702384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15645.316992053997
t33,9424.364518351613,0.0,43.72800545230058,6414.218415915235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15882.310939719147
t34,9424.364518351613,0.0,129.77990609008475,6458.720099485827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16012.864523927525
t35,9424.364518351613,0.0,142.9384251619697,6571.873819253131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16139.176762766714
t36,9424.364518351613,0.0,151.80437856101412,6538.240888811501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16114.409785724127
t37,9424.364518351613,0.0,134.23294150770434,6399.720804227213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15958.31826408653
t38,9424.364518351613,0.0,104.66639103215802,6320.658802949183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15849.689712332955
t39,9424.364518351613,0.0,95.5196155797502,6157.178413755052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15677.062547686415
t40,9424.364518351613,0.0,52.43348910656592,6208.007521931698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15684.805529389876
t41,9424.364518351613,0.0,10.67123802780913,6970.033284889814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16405.069041269235
t42,9424.364518351613,0.0,0.0,8031.730964589117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17456.09548294073
t43,9424.364518351613,0.0,0.0,7885.705308116024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17310.069826467636
t44,9424.364518351613,0.0,0.0,7333.547394432396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16757.91191278401
t45,9424.364518351613,0.0,0.0,6536.644603620151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15961.009121971765
t46,9424.364518351613,0.0,0.0,5367.521406726528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14791.88592507814
t47,9424.364518351613,0.0,0.0,3900.2114042598937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13324.575922611506
t48,8686.443758667494,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12006.25583268507
t49,7850.51939098259,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11170.331465000167
t50,7322.36125450035,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10642.173328517927
t51,7063.38334766734,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10383.195421684917
t52,6997.368621006336,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10317.180695023913
t53,7290.904477343516,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10610.716551361093
t54,8265.947199552798,0.0,0.0,3319.812074017577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11585.759273570375
t55,9424.364518351613,0.0,0.0,4109.982835510623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13534.347353862235
t56,9424.364518351613,0.0,0.0,5193.752203926769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14618.11672227838
t57,9424.364518351613,0.0,40.43837568432935,5262.824146446711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14727.627040482654
t58,9424.364518351613,0.0,143.25936465152785,5097.0294151041635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14664.653298107303
t59,9424.364518351613,0.0,217.63709135663362,5039.223665115412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14681.225274823657
t60,9424.364518351613,0.0,253.8230188043172,4940.889072128452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14619.076609284384
t61,9424.364518351613,0.0,263.29073374628325,4761.6376542816615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14449.292906379558
t62,9424.364518351613,0.0,259.23887269061134,4655.716257550272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14339.319648592496
t63,9424.364518351613,0.0,226.34257501089908,4532.723187299842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14183.430280662355
t64,9424.364518351613,0.0,158.6243427141252,4613.641319757096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14196.630180822835
t65,9424.364518351613,0.0,62.222143538090094,5427.930048339822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14914.516710229525
t66,9424.364518351613,0.0,0.0,6809.133027075437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16233.49754542705
t67,9424.364518351613,0.0,0.0,6822.502809889439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16246.867328241053
