Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-68.74683674882925,-67.90023598821477,-83.96392900816531
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-80.70918484679775
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-80.70918484679775
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-80.70918484679775
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-80.70918484679775
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-80.70918484679775
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82.32056486653862,-81.30794949459859,-80.70918484679775
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280757,-0.9316834067969376
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,0.16763728312007042,-0.9316834067969376
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,0.16763728312007042,-0.9316834067969376
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9244302180757812,-0.9199609162280756,-0.9316834067969376
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-97.18128744944953,-83.96392900816531
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-81.30794949459859,-83.96392900816531
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-81.30794949459859,-83.96392900816531
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-98.37766666960553,-81.30794949459859,-83.96392900816531
