File,ID,Resource,Zone,Lower_bound,Upper_bound,Parameter,Group,p_steps,total_num_trajectory,num_trajectory,len_design_mat,policy
Generators_data,1,USA_Single_conventional_hydroelectric_1.0_old,1,0,0,Inv_Cost_per_MWyr,hydro_e,0,10,5,15,reference
Generators_data,2,USA_Single_nuclear_1.0_old,1,0,0,Inv_Cost_per_MWyr,nuc_e,0,,,,
Generators_data,3,USA_Single_naturalgas_ccavgcf_mid_0.0_old,1,0,0,Inv_Cost_per_MWyr,ng_e,0,,,,
Generators_data,4,USA_Single_landbasedwind_ltrg1_low_40_1.0_old,1,0,0,Inv_Cost_per_MWyr,wnd_e,0,,,,
Generators_data,5,USA_Single_landbasedwind_ltrg1_low_40_2.0_old,1,0,0,Inv_Cost_per_MWyr,wnd_e,0,,,,
Generators_data,6,USA_Single_landbasedwind_ltrg1_low_40_4.0_old,1,0,0,Inv_Cost_per_MWyr,wnd_e,0,,,,
Generators_data,7,USA_Single_utilitypv_losangeles_low_0_2_1.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,8,USA_Single_utilitypv_losangeles_low_0_2_2.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,9,USA_Single_utilitypv_losangeles_low_0_2_4.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,10,USA_Single_utilitypv_losangeles_low_0_2_5.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,11,USA_Single_utilitypv_losangeles_low_0_2_7.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,12,USA_Single_utilitypv_losangeles_low_0_2_11.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,13,USA_Single_utilitypv_losangeles_low_0_2_13.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,14,USA_Single_utilitypv_losangeles_low_0_2_15.0_old,1,0,0,Inv_Cost_per_MWyr,pv_e,0,,,,
Generators_data,15,USA_Single_naturalgas_ccccsavgcf_mid_0.0,1,0,0,Inv_Cost_per_MWyr,ng_e,0,,,,
Generators_data,16,USA_Single_naturalgas_ccavgcf_mid_0.0,1,0,0,Inv_Cost_per_MWyr,ng_e,0,,,,
Generators_data,17,USA_Single_naturalgas_ctavgcf_mid_0.0,1,-20,20,Inv_Cost_per_MWyr,ng,80,,,,
Generators_data,18,USA_Single_battery_high_0.0,1,-20,20,Inv_Cost_per_MWyr,bat,80,,,,
