Time_Index,NG,west_north_central_naturalgas_ccs90,None,west_north_central_naturalgas_ccs100,west_north_central_uranium
95,3.23,4.32,0,4.45,0.66
96,3.23,4.32,0,4.45,0.66
97,3.23,4.32,0,4.45,0.66
98,3.23,4.32,0,4.45,0.66
99,3.23,4.32,0,4.45,0.66
100,3.23,4.32,0,4.45,0.66
101,3.23,4.32,0,4.45,0.66
102,3.23,4.32,0,4.45,0.66
103,3.23,4.32,0,4.45,0.66
104,3.23,4.32,0,4.45,0.66
105,3.23,4.32,0,4.45,0.66
106,3.23,4.32,0,4.45,0.66
107,3.23,4.32,0,4.45,0.66
108,3.23,4.32,0,4.45,0.66
109,3.23,4.32,0,4.45,0.66
110,3.23,4.32,0,4.45,0.66
111,3.23,4.32,0,4.45,0.66
112,3.23,4.32,0,4.45,0.66
113,3.23,4.32,0,4.45,0.66
114,3.23,4.32,0,4.45,0.66
115,3.23,4.32,0,4.45,0.66
116,3.23,4.32,0,4.45,0.66
117,3.23,4.32,0,4.45,0.66
118,3.23,4.32,0,4.45,0.66
119,3.23,4.32,0,4.45,0.66
120,3.23,4.32,0,4.45,0.66
121,3.23,4.32,0,4.45,0.66
122,3.23,4.32,0,4.45,0.66
123,3.23,4.32,0,4.45,0.66
124,3.23,4.32,0,4.45,0.66
125,3.23,4.32,0,4.45,0.66
126,3.23,4.32,0,4.45,0.66
127,3.23,4.32,0,4.45,0.66
128,3.23,4.32,0,4.45,0.66
129,3.23,4.32,0,4.45,0.66
130,3.23,4.32,0,4.45,0.66
131,3.23,4.32,0,4.45,0.66
132,3.23,4.32,0,4.45,0.66
133,3.23,4.32,0,4.45,0.66
134,3.23,4.32,0,4.45,0.66
135,3.23,4.32,0,4.45,0.66
136,3.23,4.32,0,4.45,0.66
137,3.23,4.32,0,4.45,0.66
138,3.23,4.32,0,4.45,0.66
139,3.23,4.32,0,4.45,0.66
140,3.23,4.32,0,4.45,0.66
141,3.23,4.32,0,4.45,0.66
142,3.23,4.32,0,4.45,0.66
143,3.23,4.32,0,4.45,0.66
144,3.23,4.32,0,4.45,0.66
145,3.23,4.32,0,4.45,0.66
146,3.23,4.32,0,4.45,0.66
147,3.23,4.32,0,4.45,0.66
148,3.23,4.32,0,4.45,0.66
149,3.23,4.32,0,4.45,0.66
150,3.23,4.32,0,4.45,0.66
151,3.23,4.32,0,4.45,0.66
152,3.23,4.32,0,4.45,0.66
153,3.23,4.32,0,4.45,0.66
154,3.23,4.32,0,4.45,0.66
155,3.23,4.32,0,4.45,0.66
156,3.23,4.32,0,4.45,0.66
157,3.23,4.32,0,4.45,0.66
158,3.23,4.32,0,4.45,0.66
159,3.23,4.32,0,4.45,0.66
160,3.23,4.32,0,4.45,0.66
161,3.23,4.32,0,4.45,0.66
162,3.23,4.32,0,4.45,0.66
163,3.23,4.32,0,4.45,0.66
164,3.23,4.32,0,4.45,0.66
165,3.23,4.32,0,4.45,0.66
166,3.23,4.32,0,4.45,0.66
167,3.23,4.32,0,4.45,0.66
168,3.23,4.32,0,4.45,0.66
169,3.23,4.32,0,4.45,0.66
170,3.23,4.32,0,4.45,0.66
171,3.23,4.32,0,4.45,0.66
172,3.23,4.32,0,4.45,0.66
173,3.23,4.32,0,4.45,0.66
174,3.23,4.32,0,4.45,0.66
175,3.23,4.32,0,4.45,0.66
176,3.23,4.32,0,4.45,0.66
177,3.23,4.32,0,4.45,0.66
178,3.23,4.32,0,4.45,0.66
179,3.23,4.32,0,4.45,0.66
180,3.23,4.32,0,4.45,0.66
181,3.23,4.32,0,4.45,0.66
182,3.23,4.32,0,4.45,0.66
183,3.23,4.32,0,4.45,0.66
184,3.23,4.32,0,4.45,0.66
185,3.23,4.32,0,4.45,0.66
186,3.23,4.32,0,4.45,0.66
187,3.23,4.32,0,4.45,0.66
188,3.23,4.32,0,4.45,0.66
189,3.23,4.32,0,4.45,0.66
190,3.23,4.32,0,4.45,0.66
191,3.23,4.32,0,4.45,0.66
192,3.23,4.32,0,4.45,0.66
193,3.23,4.32,0,4.45,0.66
194,3.23,4.32,0,4.45,0.66
195,3.23,4.32,0,4.45,0.66
196,3.23,4.32,0,4.45,0.66
197,3.23,4.32,0,4.45,0.66
198,3.23,4.32,0,4.45,0.66
199,3.23,4.32,0,4.45,0.66
200,3.23,4.32,0,4.45,0.66
201,3.23,4.32,0,4.45,0.66
202,3.23,4.32,0,4.45,0.66
203,3.23,4.32,0,4.45,0.66
204,3.23,4.32,0,4.45,0.66
205,3.23,4.32,0,4.45,0.66
206,3.23,4.32,0,4.45,0.66
207,3.23,4.32,0,4.45,0.66
208,3.23,4.32,0,4.45,0.66
209,3.23,4.32,0,4.45,0.66
210,3.23,4.32,0,4.45,0.66
211,3.23,4.32,0,4.45,0.66
212,3.23,4.32,0,4.45,0.66
213,3.23,4.32,0,4.45,0.66
214,3.23,4.32,0,4.45,0.66
215,3.23,4.32,0,4.45,0.66
216,3.23,4.32,0,4.45,0.66
217,3.23,4.32,0,4.45,0.66
218,3.23,4.32,0,4.45,0.66
219,3.23,4.32,0,4.45,0.66
220,3.23,4.32,0,4.45,0.66
221,3.23,4.32,0,4.45,0.66
222,3.23,4.32,0,4.45,0.66
223,3.23,4.32,0,4.45,0.66
224,3.23,4.32,0,4.45,0.66
225,3.23,4.32,0,4.45,0.66
226,3.23,4.32,0,4.45,0.66
227,3.23,4.32,0,4.45,0.66
228,3.23,4.32,0,4.45,0.66
229,3.23,4.32,0,4.45,0.66
230,3.23,4.32,0,4.45,0.66
231,3.23,4.32,0,4.45,0.66
232,3.23,4.32,0,4.45,0.66
233,3.23,4.32,0,4.45,0.66
234,3.23,4.32,0,4.45,0.66
235,3.23,4.32,0,4.45,0.66
236,3.23,4.32,0,4.45,0.66
237,3.23,4.32,0,4.45,0.66
238,3.23,4.32,0,4.45,0.66
239,3.23,4.32,0,4.45,0.66
240,3.23,4.32,0,4.45,0.66
241,3.23,4.32,0,4.45,0.66
242,3.23,4.32,0,4.45,0.66
243,3.23,4.32,0,4.45,0.66
244,3.23,4.32,0,4.45,0.66
245,3.23,4.32,0,4.45,0.66
246,3.23,4.32,0,4.45,0.66
247,3.23,4.32,0,4.45,0.66
248,3.23,4.32,0,4.45,0.66
249,3.23,4.32,0,4.45,0.66
250,3.23,4.32,0,4.45,0.66
251,3.23,4.32,0,4.45,0.66
252,3.23,4.32,0,4.45,0.66
253,3.23,4.32,0,4.45,0.66
254,3.23,4.32,0,4.45,0.66
255,3.23,4.32,0,4.45,0.66
256,3.23,4.32,0,4.45,0.66
257,3.23,4.32,0,4.45,0.66
258,3.23,4.32,0,4.45,0.66
259,3.23,4.32,0,4.45,0.66
260,3.23,4.32,0,4.45,0.66
261,3.23,4.32,0,4.45,0.66
262,3.23,4.32,0,4.45,0.66
263,3.23,4.32,0,4.45,0.66
264,3.23,4.32,0,4.45,0.66
265,3.23,4.32,0,4.45,0.66
266,3.23,4.32,0,4.45,0.66
267,3.23,4.32,0,4.45,0.66
268,3.23,4.32,0,4.45,0.66
269,3.23,4.32,0,4.45,0.66
270,3.23,4.32,0,4.45,0.66
271,3.23,4.32,0,4.45,0.66
272,3.23,4.32,0,4.45,0.66
273,3.23,4.32,0,4.45,0.66
274,3.23,4.32,0,4.45,0.66
275,3.23,4.32,0,4.45,0.66
276,3.23,4.32,0,4.45,0.66
277,3.23,4.32,0,4.45,0.66
278,3.23,4.32,0,4.45,0.66
279,3.23,4.32,0,4.45,0.66
280,3.23,4.32,0,4.45,0.66
281,3.23,4.32,0,4.45,0.66
282,3.23,4.32,0,4.45,0.66
283,3.23,4.32,0,4.45,0.66
284,3.23,4.32,0,4.45,0.66
285,3.23,4.32,0,4.45,0.66
286,3.23,4.32,0,4.45,0.66
287,3.23,4.32,0,4.45,0.66
288,3.23,4.32,0,4.45,0.66
289,3.23,4.32,0,4.45,0.66
290,3.23,4.32,0,4.45,0.66
291,3.23,4.32,0,4.45,0.66
292,3.23,4.32,0,4.45,0.66
293,3.23,4.32,0,4.45,0.66
294,3.23,4.32,0,4.45,0.66
295,3.23,4.32,0,4.45,0.66
296,3.23,4.32,0,4.45,0.66
297,3.23,4.32,0,4.45,0.66
298,3.23,4.32,0,4.45,0.66
299,3.23,4.32,0,4.45,0.66
300,3.23,4.32,0,4.45,0.66
301,3.23,4.32,0,4.45,0.66
302,3.23,4.32,0,4.45,0.66
303,3.23,4.32,0,4.45,0.66
304,3.23,4.32,0,4.45,0.66
305,3.23,4.32,0,4.45,0.66
306,3.23,4.32,0,4.45,0.66
307,3.23,4.32,0,4.45,0.66
308,3.23,4.32,0,4.45,0.66
309,3.23,4.32,0,4.45,0.66
310,3.23,4.32,0,4.45,0.66
311,3.23,4.32,0,4.45,0.66
312,3.23,4.32,0,4.45,0.66
313,3.23,4.32,0,4.45,0.66
314,3.23,4.32,0,4.45,0.66
315,3.23,4.32,0,4.45,0.66
316,3.23,4.32,0,4.45,0.66
317,3.23,4.32,0,4.45,0.66
318,3.23,4.32,0,4.45,0.66
319,3.23,4.32,0,4.45,0.66
320,3.23,4.32,0,4.45,0.66
321,3.23,4.32,0,4.45,0.66
322,3.23,4.32,0,4.45,0.66
323,3.23,4.32,0,4.45,0.66
324,3.23,4.32,0,4.45,0.66
325,3.23,4.32,0,4.45,0.66
326,3.23,4.32,0,4.45,0.66
327,3.23,4.32,0,4.45,0.66
328,3.23,4.32,0,4.45,0.66
329,3.23,4.32,0,4.45,0.66
330,3.23,4.32,0,4.45,0.66
331,3.23,4.32,0,4.45,0.66
332,3.23,4.32,0,4.45,0.66
333,3.23,4.32,0,4.45,0.66
334,3.23,4.32,0,4.45,0.66
335,3.23,4.32,0,4.45,0.66
336,3.23,4.32,0,4.45,0.66
337,3.23,4.32,0,4.45,0.66
338,3.23,4.32,0,4.45,0.66
339,3.23,4.32,0,4.45,0.66
340,3.23,4.32,0,4.45,0.66
341,3.23,4.32,0,4.45,0.66
342,3.23,4.32,0,4.45,0.66
343,3.23,4.32,0,4.45,0.66
344,3.23,4.32,0,4.45,0.66
345,3.23,4.32,0,4.45,0.66
346,3.23,4.32,0,4.45,0.66
347,3.23,4.32,0,4.45,0.66
348,3.23,4.32,0,4.45,0.66
349,3.23,4.32,0,4.45,0.66
350,3.23,4.32,0,4.45,0.66
351,3.23,4.32,0,4.45,0.66
352,3.23,4.32,0,4.45,0.66
353,3.23,4.32,0,4.45,0.66
354,3.23,4.32,0,4.45,0.66
355,3.23,4.32,0,4.45,0.66
356,3.23,4.32,0,4.45,0.66
357,3.23,4.32,0,4.45,0.66
358,3.23,4.32,0,4.45,0.66
359,3.23,4.32,0,4.45,0.66
360,3.23,4.32,0,4.45,0.66
361,3.23,4.32,0,4.45,0.66
362,3.23,4.32,0,4.45,0.66
363,3.23,4.32,0,4.45,0.66
364,3.23,4.32,0,4.45,0.66
365,3.23,4.32,0,4.45,0.66
366,3.23,4.32,0,4.45,0.66
367,3.23,4.32,0,4.45,0.66
368,3.23,4.32,0,4.45,0.66
369,3.23,4.32,0,4.45,0.66
370,3.23,4.32,0,4.45,0.66
371,3.23,4.32,0,4.45,0.66
372,3.23,4.32,0,4.45,0.66
373,3.23,4.32,0,4.45,0.66
374,3.23,4.32,0,4.45,0.66
375,3.23,4.32,0,4.45,0.66
376,3.23,4.32,0,4.45,0.66
377,3.23,4.32,0,4.45,0.66
378,3.23,4.32,0,4.45,0.66
379,3.23,4.32,0,4.45,0.66
380,3.23,4.32,0,4.45,0.66
381,3.23,4.32,0,4.45,0.66
382,3.23,4.32,0,4.45,0.66
383,3.23,4.32,0,4.45,0.66
384,3.23,4.32,0,4.45,0.66
385,3.23,4.32,0,4.45,0.66
386,3.23,4.32,0,4.45,0.66
387,3.23,4.32,0,4.45,0.66
388,3.23,4.32,0,4.45,0.66
389,3.23,4.32,0,4.45,0.66
390,3.23,4.32,0,4.45,0.66
391,3.23,4.32,0,4.45,0.66
392,3.23,4.32,0,4.45,0.66
393,3.23,4.32,0,4.45,0.66
394,3.23,4.32,0,4.45,0.66
395,3.23,4.32,0,4.45,0.66
396,3.23,4.32,0,4.45,0.66
397,3.23,4.32,0,4.45,0.66
398,3.23,4.32,0,4.45,0.66
399,3.23,4.32,0,4.45,0.66
400,3.23,4.32,0,4.45,0.66
401,3.23,4.32,0,4.45,0.66
