Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
9000,1,1,1,9000,1,168,1,1,49869.62765
,2,0.067,0.075,603,,,,2,46977.06143
,,,,,,,,3,45449.2572
,,,,,,,,4,44785.1058
,,,,,,,,5,44033.28848
,,,,,,,,6,44378.5243
,,,,,,,,7,45102.48517
,,,,,,,,8,45951.49288
,,,,,,,,9,47013.00856
,,,,,,,,10,48605.12846
,,,,,,,,11,50535.41765
,,,,,,,,12,52184.68427
,,,,,,,,13,54876.62249
,,,,,,,,14,58839.81918
,,,,,,,,15,62304.97914
,,,,,,,,16,64028.18829
,,,,,,,,17,66667.58839
,,,,,,,,18,70099.05431
,,,,,,,,19,73410.28682
,,,,,,,,20,75018.48563
,,,,,,,,21,73646.65712
,,,,,,,,22,70632.52611
,,,,,,,,23,66072.66851
,,,,,,,,24,60275.24646
,,,,,,,,25,51839.34603
,,,,,,,,26,45684.70578
,,,,,,,,27,42891.89029
,,,,,,,,28,40839.52423
,,,,,,,,29,41637.63245
,,,,,,,,30,43488.85844
,,,,,,,,31,46705.25606
,,,,,,,,32,50504.38637
,,,,,,,,33,53327.00418
,,,,,,,,34,54607.88952
,,,,,,,,35,55143.61442
,,,,,,,,36,55539.13526
,,,,,,,,37,56198.47322
,,,,,,,,38,57337.72073
,,,,,,,,39,59042.59786
,,,,,,,,40,62744.33295
,,,,,,,,41,69495.83894
,,,,,,,,42,79011.48465
,,,,,,,,43,81570.695
,,,,,,,,44,76884.25434
,,,,,,,,45,72298.2813
,,,,,,,,46,66477.7138
,,,,,,,,47,60142.31377
,,,,,,,,48,55998.15246
,,,,,,,,49,53171.64294
,,,,,,,,50,50931.14332
,,,,,,,,51,49709.14573
,,,,,,,,52,49733.82738
,,,,,,,,53,51074.21495
,,,,,,,,54,54004.67415
,,,,,,,,55,58181.50536
,,,,,,,,56,62667.31802
,,,,,,,,57,62826.57097
,,,,,,,,58,61284.22402
,,,,,,,,59,60083.3236
,,,,,,,,60,60241.04036
,,,,,,,,61,62133.33415
,,,,,,,,62,64390.93682
,,,,,,,,63,66917.88692
,,,,,,,,64,70974.79195
,,,,,,,,65,78228.12397
,,,,,,,,66,88480.42981
,,,,,,,,67,91624.83076
,,,,,,,,68,87225.04542
,,,,,,,,69,82809.59082
,,,,,,,,70,74163.43552
,,,,,,,,71,66352.2573
,,,,,,,,72,61620.54988
,,,,,,,,73,58177.92088
,,,,,,,,74,55692.44824
,,,,,,,,75,54275.35297
,,,,,,,,76,54097.97283
,,,,,,,,77,55185.39912
,,,,,,,,78,58044.98819
,,,,,,,,79,63341.09627
,,,,,,,,80,66647.00328
,,,,,,,,81,65166.7189
,,,,,,,,82,62125.24349
,,,,,,,,83,59628.30053
,,,,,,,,84,61001.97248
,,,,,,,,85,62129.23761
,,,,,,,,86,62756.21291
,,,,,,,,87,64758.19154
,,,,,,,,88,68291.96853
,,,,,,,,89,75335.96741
,,,,,,,,90,85214.56647
,,,,,,,,91,87690.10501
,,,,,,,,92,82714.85835
,,,,,,,,93,77901.01533
,,,,,,,,94,68827.89825
,,,,,,,,95,60870.37117
,,,,,,,,96,55965.68739
,,,,,,,,97,52307.68285
,,,,,,,,98,49828.15019
,,,,,,,,99,48338.03411
,,,,,,,,100,48087.63316
,,,,,,,,101,49116.27412
,,,,,,,,102,52370.46231
,,,,,,,,103,58941.31093
,,,,,,,,104,63644.75223
,,,,,,,,105,63950.0468
,,,,,,,,106,62039.83065
,,,,,,,,107,59752.7329
,,,,,,,,108,59328.43387
,,,,,,,,109,59426.03392
,,,,,,,,110,59150.13201
,,,,,,,,111,59788.98727
,,,,,,,,112,63058.43508
,,,,,,,,113,69495.5317
,,,,,,,,114,79056.34175
,,,,,,,,115,81460.90775
,,,,,,,,116,76455.24429
,,,,,,,,117,71790.20804
,,,,,,,,118,63546.53771
,,,,,,,,119,56272.21092
,,,,,,,,120,51669.33966
,,,,,,,,121,48016.4558
,,,,,,,,122,45613.52841
,,,,,,,,123,44083.98315
,,,,,,,,124,43912.85023
,,,,,,,,125,44926.02675
,,,,,,,,126,47741.98768
,,,,,,,,127,51858.907
,,,,,,,,128,54988.35559
,,,,,,,,129,54030.37993
,,,,,,,,130,50902.77479
,,,,,,,,131,49952.48015
,,,,,,,,132,50537.36351
,,,,,,,,133,51556.48001
,,,,,,,,134,53500.90226
,,,,,,,,135,56482.97786
,,,,,,,,136,60072.6726
,,,,,,,,137,65854.83504
,,,,,,,,138,74372.2566
,,,,,,,,139,75653.65401
,,,,,,,,140,70054.91411
,,,,,,,,141,65230.01043
,,,,,,,,142,57989.48009
,,,,,,,,143,51371.62368
,,,,,,,,144,47322.50208
,,,,,,,,145,47173.90013
