region,Resource,technology,cluster,R_ID,Zone,Num_VRE_Bins,CapRes_1,THERM,VRE,MUST_RUN,STOR,FLEX,HYDRO,ESR_1,ESR_2,MinCapTag_1,MinCapTag_2,Min_Share,Max_Share,Existing_Cap_MWh,Existing_Cap_MW,Existing_Charge_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,CO2_Capture_Rate,Min_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MWh,Max_Charge_Cap_MW,Min_Charge_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_Charge_per_MWyr,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Self_Disch,Eff_Up,Eff_Down,Hydro_Energy_to_Power_Ratio,Ratio_power_to_energy,Min_Duration,Max_Duration,Max_Flexible_Demand_Delay,Max_Flexible_Demand_Advance,Flexible_Demand_Energy_Eff,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,NACC_Eff,NACC_Peak_to_Base,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,spur_miles,spur_capex,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,Hydro_level,LDS
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_7.0_old,utilitypv_losangeles_low_0_2,7,11,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3442.608696,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20.092,127322.37,19.219,42146.609,8411.927,0,0,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_11.0_old,utilitypv_losangeles_low_0_2,11,12,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2944.347826,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.965,75821.571,30.906,67776.2,7128.193,0,0,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_13.0_old,utilitypv_losangeles_low_0_2,13,13,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2849.67913,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8.652,54830.778,56.186,123216.527,6729.886,0,0,0,0
USA_Single,USA_Single_utilitypv_losangeles_low_0_2_15.0_old,utilitypv_losangeles_low_0_2,15,14,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1051.304348,0,0,0,0,1,0,-1,-1,0,0,-1,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,0,0,0,None,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41,34283.804,18.128,39755.143,3675.355,0,0,0,0
USA_Single,USA_Single_naturalgas_ccccsavgcf_mid_0.0,naturalgas_ccccsavgcf_mid,1,15,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0.9,0,-1,-1,0,-1,0,0,0,2230288.812,157600,27822,0,0,0,5.89,0,0,0,106,0,7.52,0,0,west_north_central_naturalgas_ccs90,0.2,0,1,1,1,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA_Single,USA_Single_naturalgas_ccavgcf_mid_0.0,naturalgas_ccavgcf_mid,1,16,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,-1,-1,0,-1,0,0,0,871029.908,79015,12595,0,0,0,1.63,0,0,0,106,2,6.27,0,0,NG,0.2,0,1,1,1,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA_Single,USA_Single_naturalgas_ctavgcf_mid_0.0,naturalgas_ctavgcf_mid,1,17,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,0,0,-1,-1,0,-1,0,0,0,678990.258,61494,7046,0,0,0,4.54,0,0,0,137,3.5,9.9,0,0,NG,0.3,0,1,1,1,0,0,0,0,0,0,3.78,3.78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA_Single,USA_Single_battery_high_0.0,battery_high,1,18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,-1,0,0,0,185284.565,15604,4632,212808.722,17922,5320,0,0,0,0,0,0,0,0,0,None,0,0,0.92,0.92,1,0,1,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA_Single,USA_Single_netl_ngcc_0.0,netl_ngcc,1,19,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,500,0,0,-1,-1,0,-1,0,0,0,1005175.626,73459,28288,0,0,0,1.8,0,0,0,106,0,6.36,0,0,NG,0.2,0,1,1,1,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA_Single,USA_Single_netl_ngcc_ccs_0.0,netl_ngcc_ccs,1,20,1,0,0.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0.9,0,-1,-1,0,-1,0,0,0,2546726.481,179257,67480,0,0,0,5.95,0,0,0,106,2,7.16,0,0,west_north_central_naturalgas_ccs90,0.2,0,1,1,1,0,0,0,0,0,0,0.64,0.64,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
