Period_Index,Rep_Period,Rep_Period_Index
1,58,3
2,58,3
3,58,3
4,58,3
5,58,3
6,58,3
7,58,3
8,62,4
9,62,4
10,62,4
11,42,2
12,62,4
13,42,2
14,67,5
15,67,5
16,67,5
17,67,5
18,67,5
19,67,5
20,67,5
21,28,1
22,28,1
23,28,1
24,28,1
25,28,1
26,28,1
27,28,1
28,28,1
29,28,1
30,28,1
31,28,1
32,28,1
33,28,1
34,28,1
35,28,1
36,28,1
37,28,1
38,67,5
39,67,5
40,42,2
41,42,2
42,42,2
43,42,2
44,42,2
45,42,2
46,98,7
47,42,2
48,98,7
49,98,7
50,98,7
51,62,4
52,62,4
