Costs,TotalCosts_p1,TotalCosts_p2,TotalCosts_p3
cFix,2.3689474443000546e10,1.387521388250571e9,4.720399455240565e10
cVar,8.587954519114688e9,5.112779246244152e9,5.392197602211686e8
cNSE,3.5241393616797465e8,0.0,6.680612270842022e8
cStart,0.0,0.0,0.0
cUnmetRsv,0.0,0.0,0.0
cNetworkExp,0.0,0.0,2.00675100386747e8
