Zone,1,2,3,Total
CO2_Price_1,-6555.0994881339275,0.0,0.0,0.0
CO2_Price_2,0.0,-8718.5779889904,0.0,0.0
CO2_Price_3,0.0,0.0,-3751.8406733929487,0.0
AnnualSum,1479.6216584384754,566.3390380492139,186.66013238965064,2232.62082887734
t1,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t2,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t3,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t4,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t5,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t6,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t7,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t8,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t9,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t10,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t11,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t12,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t13,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t14,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t15,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t16,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t17,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t18,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t19,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t20,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t21,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t22,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t23,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t24,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t25,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t26,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t27,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t28,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t29,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t30,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t31,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t32,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t33,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t34,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t35,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t36,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t37,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t38,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t39,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t40,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t41,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t42,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
t43,0.45252112173302766,0.17961066766064826,0.05804631507005176,0.6901781044637277
