Costs,Total,Zone1,Zone2,Zone3
cTotal,4.8611950640098206e10,4.027947511901202e10,3.0051910031953793e10,8.135167976290822e9
cFix,1.138425356903852e11,5.701370830694269e10,4.870526194843033e10,8.123565435012176e9
cVar,1.572713517132416e8,1.0342822541696516e8,4.2240585017633215e7,1.160254127864672e7
cNSE,1.948498552197802e8,1.3618204148351648e8,3.8892494780219786e7,1.977531895604396e7
cStart,0.0,0,0,0
cUnmetRsv,0.0,-,-,-
cNetworkExp,4.839709540383721e8,-,-,-
