region,Resource,technology,cluster,Zone,Model,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Min_Power,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,spur_miles,spur_capex,spur_inv_mwyr,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,ids,MISO_CleanPower,NY_CleanPower,PJM_CleanPower,SERC_CleanPower,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Can_Retire
TRE,TRE_conventional_steam_coal_1,Conventional Steam Coal,1,2,1,0,0.0,0.0,0.0,9.0,5903.604,0,655.96,0.0,0.0,0.0,0.0,0.0,0,61598,0.0,1.88,124.0,16.5,10.17,0.998,0.645,west_south_central_coal,0.5,0.095,0.19,0.0,0.0,0.0,0,0.57,0.57,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_conventional_steam_coal_2,Conventional Steam Coal,2,2,1,0,0.0,0.0,0.0,11.0,6227.001,0,566.09,0.0,0.0,0.0,0.0,0.0,0,67990,0.0,1.88,124.0,16.5,11.97,0.944,0.673,west_south_central_coal,0.5,0.095,0.19,0.0,0.0,0.0,0,0.57,0.57,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,1,2,1,0,0.0,0.0,0.0,70.0,34770.47,0,496.72,0.0,0.0,0.0,0.0,0.0,0,10762,0.0,3.59,92.0,2.0,7.68,1.269,1.327,west_south_central_naturalgas,0.3,0.106666667,0.213333333,0.0,0.0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,2,2,1,0,0.0,0.0,0.0,29.0,7006.893,0,241.62,0.0,0.0,0.0,0.0,0.0,0,15776,0.0,4.38,92.0,2.0,9.47,4.064,2.607,west_south_central_naturalgas,0.3,0.106666667,0.213333333,0.0,0.0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,1,2,1,0,0.0,0.0,0.0,43.0,1454.303,0,33.82,0.0,0.0,0.0,0.0,0.0,0,13945,0.0,5.28,119.0,3.5,11.53,1.563,3.689,west_south_central_naturalgas,0.3,0.106666667,0.213333333,0.0,0.0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,2,2,1,0,0.0,0.0,0.0,131.0,8258.24,0,63.04,0.0,0.0,0.0,0.0,0.0,0,10296,0.0,5.28,119.0,3.5,11.96,4.404,2.136,west_south_central_naturalgas,0.3,0.106666667,0.213333333,0.0,0.0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,1,2,1,0,0.0,0.0,0.0,345.0,854.565,0,2.48,0.0,0.0,0.0,0.0,0.0,0,21000,0.0,4.51,38.0,0.0,8.76,0.0,0.405,west_south_central_naturalgas,0.18,0.106666667,0.213333333,0.0,0.0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,1,2,1,0,0.0,0.0,0.0,38.0,8363.192,0,220.08,0.0,0.0,0.0,0.0,0.0,0,34414,0.0,1.06,87.0,13.7,13.19,2.124,3.514,west_south_central_naturalgas,0.5,0.63,1.26,0.0,0.0,0.0,0,0.64,0.64,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_nuclear_1,Nuclear,1,2,1,0,0.0,0.0,5120.0,4.0,5120.0,0,1280.0,0.0,0.0,0.0,0.0,0.0,0,193275,0.0,2.84,248.0,0.0,10.45,0.0,0.0,west_south_central_uranium,0.5,0.041666667,0.083333333,0.0,0.0,0.0,0,0.25,0.25,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
TRE,TRE_petroleum_liquids_1,Petroleum Liquids,1,2,1,0,0.0,0.0,0.0,296.0,204.832,0,0.69,0.0,0.0,0.0,0.0,0.0,0,21000,0.0,4.93,38.0,0.0,9.58,0.0,1.167,west_south_central_distillate,0.18,0.0,0.0,0.0,0.0,0.0,0,3.78,3.78,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1
