region,Resource,technology,cluster,Zone,Num_VRE_Bins,LDS,Min_Share,Max_Share,Existing_Cap_MW,num_units,unmodified_existing_cap_mw,New_Build,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,capex_mw,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,capex_mwh,Var_OM_Cost_per_MWh,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,Fuel,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,CO2_Capture_Rate,CO2_Capture_Cost_per_Metric_Ton,spur_miles,spur_capex,spur_inv_mwyr,offshore_spur_miles,offshore_spur_capex,tx_miles,tx_capex,interconnect_annuity,regional_cost_multiplier,cap_recovery_years,wacc_real,ids,MISO_CleanPower,NY_CleanPower,PJM_CleanPower,SERC_CleanPower,variable_CF,RETRO,Num_RETRO_Sources,Retro1_Source,Retro1_Efficiency,Retro1_Inv_Cost_per_MWyr,Retro2_Source,Retro2_Efficiency,Retro2_Inv_Cost_per_MWyr,Can_Retire
EIC,EIC_utilitypv_class1_moderate_3,UtilityPV_Class1_Moderate_,3,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,2.131277e6,0.0,0.0,630556.245,45283,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14343.14,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2509045898914337,0,0,0,0,0,0,0,0,1
EIC,EIC_utilitypv_class1_moderate_4,UtilityPV_Class1_Moderate_,4,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,2.6854662e6,0.0,0.0,630556.245,52429,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21489.838,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2539217174053192,0,0,0,0,0,0,0,0,1
EIC,EIC_utilitypv_class1_moderate_5,UtilityPV_Class1_Moderate_,5,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.3692211e6,0.0,0.0,630556.245,63113,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32173.638,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2822690010070801,0,0,0,0,0,0,0,0,1
EIC,EIC_utilitypv_class1_moderate_6,UtilityPV_Class1_Moderate_,6,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.1239886e6,0.0,0.0,630556.245,67847,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36907.71,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2784334123134613,0,0,0,0,0,0,0,0,1
EIC,EIC_utilitypv_class1_moderate_7,UtilityPV_Class1_Moderate_,7,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,2.7553618e6,0.0,0.0,630556.245,56985,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26045.617,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2507179975509643,0,0,0,0,0,0,0,0,1
EIC,EIC_utilitypv_class1_moderate_8,UtilityPV_Class1_Moderate_,8,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.2705639e6,0.0,0.0,630556.245,77093,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46153.464,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2607305645942688,0,0,0,0,0,0,0,0,1
EIC,EIC_utilitypv_class1_moderate_9,UtilityPV_Class1_Moderate_,9,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,2.7136844e6,0.0,0.0,630556.245,72653,14425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41713.937,1.017,30.0,0.026,0.0,0.0,0.0,0.0,0.0,0.2447529733180999,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_0,OffShoreWind_Class3_Moderate_fixed_1,0,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,14197.8,0.0,0.0,1.732074611e6,162312,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67001.158,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4529520869255066,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_1,OffShoreWind_Class3_Moderate_fixed_1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,2360.5,0.0,0.0,1.732074611e6,159540,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64229.388,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4676068425178528,0,0,0,0,0,0,0,0,1
EIC,EIC_offshorewind_class3_moderate_fixed_1_2,OffShoreWind_Class3_Moderate_fixed_1,2,1,1,0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,2832.9,0.0,0.0,1.732074611e6,162687,78449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67376.436,1.0,30.0,0.036,0.0,0.0,0.0,0.0,0.0,0.4105395674705505,0,0,0,0,0,0,0,0,1
