Zone,1,Total
CO2_Price_1,2406.9235040336716,0.0
AnnualSum,5.845726199999997e6,5.845726199999997e6
t1,555.8557380701699,555.8557380701699
t2,532.4436727116375,532.4436727116375
t3,521.6968843992058,521.6968843992058
t4,517.949779817753,517.949779817753
t5,531.7320099486509,531.7320099486509
t6,578.5918899241267,578.5918899241267
t7,667.0867501708185,667.0867501708185
t8,727.1617765520883,727.1617765520883
t9,745.733330036065,745.733330036065
t10,757.9751931200943,757.9751931200943
t11,766.1963500614003,766.1963500614003
t12,768.7510737845137,768.7510737845137
t13,763.4938870498554,763.4938870498554
t14,757.5614613592141,757.5614613592141
t15,747.5992405401272,747.5992405401272
t16,744.204357766789,744.204357766789
t17,766.9570228839448,766.9570228839448
t18,800.0975378709214,800.0975378709214
t19,788.1790632018407,788.1790632018407
t20,761.4295459583897,761.4295459583897
t21,732.7157027070573,732.7157027070573
t22,693.9838266642861,693.9838266642861
t23,642.283826664286,642.283826664286
t24,589.9838266642861,589.9838266642861
t25,746.6193266720959,746.6193266720959
t26,702.818522095283,702.818522095283
t27,674.5541646622202,674.5541646622202
t28,657.0939174994746,657.0939174994746
t29,658.6507781406473,658.6507781406473
t30,685.3261179804882,685.3261179804882
t31,759.375110966943,759.375110966943
t32,855.5943268506949,855.5943268506949
t33,932.6244503486225,932.6244503486225
t34,1000.8731345344008,1000.8731345344008
t35,1059.988256724355,1059.988256724355
t36,1100.407493882641,1100.407493882641
t37,1128.1538131981542,1128.1538131981542
t38,1167.398535518711,1167.398535518711
t39,1496.4039434541187,1496.4039434541187
t40,1580.4234988160395,1580.4234988160395
t41,1659.4918101588155,1659.4918101588155
t42,1521.966461543783,1521.966461543783
t43,1193.164293970766,1193.164293970766
t44,1115.9844703139772,1115.9844703139772
t45,1095.7381660633505,1095.7381660633505
t46,1055.7459955777401,1055.7459955777401
t47,965.2362803320711,965.2362803320711
t48,875.2982279442144,875.2982279442144
t49,651.8342432072425,651.8342432072425
t50,612.8922969720937,612.8922969720937
t51,589.2904045167302,589.2904045167302
t52,578.9084729952457,578.9084729952457
t53,583.7862558822922,583.7862558822922
t54,619.112995432747,619.112995432747
t55,679.2435633544458,679.2435633544458
t56,744.8287148745459,744.8287148745459
t57,798.3740995733422,798.3740995733422
t58,847.0860117048946,847.0860117048946
t59,891.6235671601479,891.6235671601479
t60,924.5964224400478,924.5964224400478
t61,945.9716147599122,945.9716147599122
t62,964.684647119866,964.684647119866
t63,975.0840713397464,975.0840713397464
t64,979.3963846547249,979.3963846547249
t65,981.1432847233569,981.1432847233569
t66,970.9868041542373,970.9868041542373
t67,938.5262165618067,938.5262165618067
t68,909.4306509826282,909.4306509826282
t69,906.8085432114536,906.8085432114536
t70,854.320127804383,854.320127804383
t71,773.8077706430051,773.8077706430051
t72,692.37241375655,692.37241375655
t73,549.999601994317,549.999601994317
t74,520.529553075815,520.529553075815
t75,503.36121827724367,503.36121827724367
t76,494.0397808839466,494.0397808839466
t77,494.31123494129423,494.31123494129423
t78,509.67370437259495,509.67370437259495
t79,534.2009590596126,534.2009590596126
t80,571.5678495149549,571.5678495149549
t81,619.6898931357981,619.6898931357981
t82,652.2739940983909,652.2739940983909
t83,667.7371459800603,667.7371459800603
t84,672.333538348417,672.333538348417
t85,671.8589476811834,671.8589476811834
t86,667.062696695988,667.062696695988
t87,661.5042402716965,661.5042402716965
t88,658.739406191891,658.739406191891
t89,660.2605562178722,660.2605562178722
t90,660.4413747221903,660.4413747221903
t91,656.9907177085407,656.9907177085407
t92,675.4276943715902,675.4276943715902
t93,658.9030880091234,658.9030880091234
t94,620.7920129612552,620.7920129612552
t95,572.7206955718062,572.7206955718062
t96,522.057802711892,522.057802711892
t97,460.7988047744551,460.7988047744551
t98,438.72861087198845,438.72861087198845
t99,428.4099625178821,428.4099625178821
t100,427.17844402270987,427.17844402270987
t101,440.27850986876126,440.27850986876126
t102,488.321878195972,488.321878195972
t103,575.4631903799094,575.4631903799094
t104,628.9707222908587,628.9707222908587
t105,653.092443050058,653.092443050058
t106,670.5487915174178,670.5487915174178
t107,685.2483041681584,685.2483041681584
t108,693.5430551384447,693.5430551384447
t109,694.7891861845903,694.7891861845903
t110,697.3503709479992,697.3503709479992
t111,691.9107103317033,691.9107103317033
t112,686.5459803320874,686.5459803320874
t113,687.0127991205197,687.0127991205197
t114,693.9821480206634,693.9821480206634
t115,707.1589980206343,707.1589980206343
t116,731.5465040126752,731.5465040126752
t117,699.5502785664291,699.5502785664291
t118,643.3192375999996,643.3192375999996
t119,574.2850545643281,574.2850545643281
t120,514.1628010834662,514.1628010834662
t121,561.5999278167884,561.5999278167884
t122,541.2499731950331,541.2499731950331
t123,531.5999665287544,531.5999665287544
t124,531.0999829846731,531.0999829846731
t125,547.3999860147999,547.3999860147999
t126,599.1999999999999,599.1999999999999
t127,693.9496398638497,693.9496398638497
t128,744.4995663506455,744.4995663506455
t129,756.6996370724039,756.6996370724039
t130,762.0499386968078,762.0499386968078
t131,767.9972997874506,767.9972997874506
t132,770.3487997994533,770.3487997994533
t133,769.2499952916492,769.2499952916492
t134,768.5999372134443,768.5999372134443
t135,764.2497592620292,764.2497592620292
t136,774.0994255313351,774.0994255313351
t137,827.1987622389354,827.1987622389354
t138,862.3485207056727,862.3485207056727
t139,855.6981920007936,855.6981920007936
t140,832.8473049293427,832.8473049293427
t141,796.797082103616,796.797082103616
t142,739.146229190084,739.146229190084
t143,667.0961934131452,667.0961934131452
t144,602.596685281955,602.596685281955
t145,557.8042582938193,557.8042582938193
