Resource,natural_gas_combined_cycle,coal_super_1,coal_super_2,coal_super_3,coal_super_4,coal_super_5,20A_retrofit_1,20A_retrofit_2,20A_retrofit_3,20A_retrofit_4,20A_retrofit_5
t1,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,28062.29458687124,0.0,0.0,12984.861900107615
t2,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,0.0,0.0,22223.86458837069
t3,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,24646.409219774836,0.0,0.0,12984.861900107615
t4,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,0.0,0.0,20774.47529898223
t5,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,25649.921774719347,0.0,0.0,12984.861900107615
t6,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,0.0,0.0,13353.343740092836
t7,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,0.0,0.0,22202.829764762024
t8,0.0,0.0,0.0,0.0,0.0,0.0,19139.909904549648,29967.42793228171,0.0,0.0,23608.839818377484
t9,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,24531.007148796063,0.0,0.0,23608.839818377484
t10,0.0,0.0,0.0,0.0,0.0,0.0,22221.251561350247,29967.42793228171,0.0,0.0,23608.839818377484
t11,0.0,0.0,0.0,0.0,0.0,0.0,23043.367255480836,29967.42793228171,0.0,0.0,23608.839818377484
t12,0.0,0.0,0.0,0.0,0.0,0.0,23298.839627792175,29967.42793228171,0.0,0.0,23608.839818377484
t13,0.0,0.0,0.0,0.0,0.0,0.0,22773.120954326358,29967.42793228171,0.0,0.0,23608.839818377484
t14,0.0,0.0,0.0,0.0,0.0,0.0,22179.878385262233,29967.42793228171,0.0,0.0,23608.839818377484
t15,0.0,0.0,0.0,0.0,0.0,0.0,21183.65630335353,29967.42793228171,0.0,0.0,23608.839818377484
t16,0.0,0.0,0.0,0.0,0.0,0.0,20844.168026019714,29967.42793228171,0.0,0.0,23608.839818377484
t17,0.0,0.0,0.0,0.0,0.0,0.0,23119.434537735287,29967.42793228171,0.0,0.0,23608.839818377484
t18,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,0.0,0.0,23608.839818377484
t19,0.0,0.0,0.0,0.0,0.0,0.0,25241.638569524886,29967.42793228171,0.0,0.0,23608.839818377484
t20,0.0,0.0,0.0,0.0,0.0,0.0,22566.686845179775,29967.42793228171,0.0,0.0,23608.839818377484
t21,0.0,0.0,0.0,0.0,0.0,0.0,19695.302520046545,29967.42793228171,0.0,0.0,23608.839818377484
t22,0.0,0.0,0.0,0.0,0.0,0.0,15822.114915769414,29967.42793228171,0.0,0.0,23608.839818377484
t23,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,0.0,0.0,19722.537414108778
t24,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,0.0,0.0,14492.537414108772
t25,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,25976.175438961975,1165.254545454538,16500.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,23375.934889490174,14702.245454545458,1165.254545454538,16500.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,18769.659237974407,1165.254545454538,16500.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,18803.47442990935,14702.245454545458,1165.254545454538,16500.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,17179.32058581713,1165.254545454538,16500.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,21626.6944780107,14702.245454545458,1165.254545454538,16500.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,17002.48385930079,26731.355371900834,1165.254545454538,16500.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,25671.015365031366,26731.355371900834,2118.64462809916,16500.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,16637.955154443258,2118.64462809916,30000.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,23462.82357302109,2118.64462809916,30000.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,17479.26707562167,2118.64462809916,30000.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,21521.190791450255,2118.64462809916,30000.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,1165.254545454538,28517.8574337454
t38,0.0,155.64913058294437,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t39,0.0,3594.9697236773186,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t40,0.0,4473.284122192065,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t41,0.0,5299.83974986064,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t42,0.0,3862.1923673075094,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t43,0.0,470.2949273966995,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,26731.355371900834,1685.3187809842752,30000.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,22781.019099116013,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t45,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,25243.720652546723,26731.355371900834,1165.254545454538,30000.0
t46,0.0,0.0,0.0,0.0,0.0,0.0,16757.171625492312,29967.42793228171,26731.355371900834,2118.64462809916,30000.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,23135.210713168995,26731.355371900834,2118.64462809916,30000.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,29967.42793228171,25358.72299664706,1165.254545454538,16500.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,20682.638196024607,13462.368804661517,0.0,16500.0
t50,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,22846.50953460741,7404.302842563836,0.0,16500.0
t51,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,11408.537768879956,0.0,16500.0
t52,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,10370.344616731507,0.0,16500.0
t53,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,10858.122905436147,0.0,16500.0
t54,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,17410.51341857506,13462.368804661517,0.0,16500.0
t55,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,13462.368804661517,0.0,23441.484847989996
t56,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,16482.08536275494,13462.368804661517,0.0,30000.0
t57,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,21836.62383263458,13462.368804661517,0.0,30000.0
t58,0.0,0.0,0.0,0.0,0.0,0.0,14538.417320038125,26707.815045789815,13462.368804661517,0.0,30000.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,13462.368804661517,0.0,19299.073942638606
t60,0.0,0.0,0.0,0.0,0.0,0.0,19029.84550706156,29967.42793228171,13462.368804661517,0.0,30000.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,24701.306634896748,13462.368804661517,0.0,30000.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,23038.66797504338,29967.42793228171,13462.368804661517,0.0,30000.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,24078.61039703141,29967.42793228171,13462.368804661517,0.0,30000.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,24509.84172852927,29967.42793228171,13462.368804661517,0.0,30000.0
t65,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,11713.414503621036,0.0,30000.0
t66,0.0,0.0,0.0,0.0,0.0,0.0,26433.48603643295,29967.42793228171,13462.368804661517,0.0,27235.397642047552
