BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
t58,41981.14476999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56836.14477
t59,44935.90327,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59790.90327
t60,47272.05958,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62127.05958
t61,48292.94245198917,464.4208680108352,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63612.36332
t62,48403.99558162917,1196.5655383708126,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64455.56112
t63,48638.94408633917,1252.3032636608189,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64746.24735
t64,48596.38707250918,857.3526874908205,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64308.73976
t65,48553.25028257915,214.21126742084107,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63622.46155
t66,47450.31664999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62305.31665
t67,45001.11973,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59856.11973
t68,43032.52533000007,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57887.52533
t69,40046.45462,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54901.45462
t70,36451.20628,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51306.20628
t71,32592.924249999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47447.92425
t72,30063.760489999993,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44918.76049
t73,28064.861498685284,0.0,-281.19846868528657,0.0,0.0,0.0,0.0,0.0,0.0,-42638.66303
t74,26936.34620680649,253.07862181675793,-1072.3335586232477,0.0,0.0,0.0,0.0,0.0,0.0,-40972.09127
t75,26646.69836044001,0.0,-1325.4121804400056,0.0,0.0,0.0,0.0,0.0,0.0,-40176.28618
t76,26644.351270440005,0.0,-1325.4121804400056,0.0,0.0,0.0,0.0,0.0,0.0,-40173.93909
t77,27575.685653071778,43.74601868411081,-1281.6661617558948,0.0,0.0,0.0,0.0,0.0,0.0,-41192.76551
t78,28342.85542,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43197.85542
t79,31453.775670000003,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46308.77567
t80,35039.770699999994,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49894.7707
t81,38964.15047,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53819.15047
t82,42782.60297,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57637.60297
t83,45934.69581,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60789.69581
t84,47996.80564626999,206.1524437300086,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63057.95809
t85,48255.91229840999,979.3567715900099,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64090.26907
t86,48181.11295955999,1325.4121804400056,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64361.52514
t87,48249.98817615999,901.5524038400072,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64006.54058
t88,48097.8294446459,572.379825354097,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63525.20927
t89,47634.33122,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62489.33122
t90,46236.64644,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61091.64644
t91,44102.72385,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58957.72385
t92,42840.31745,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57695.31745
t93,40014.79521999999,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54869.79522
t94,36029.423599999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50884.4236
t95,32293.842429999997,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47148.84243
t96,29338.8859,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44193.8859
t97,27278.528787725285,0.0,-63.99468772527996,0.0,0.0,0.0,0.0,0.0,0.0,-42069.5341
t98,27006.94041044001,0.0,-1325.4121804400056,0.0,0.0,0.0,0.0,0.0,0.0,-40536.52823
t99,26096.966390440008,0.0,-1325.4121804400056,0.0,0.0,0.0,0.0,0.0,0.0,-39626.55421
t100,25864.33580350192,199.62294846904248,-1125.789231970963,0.0,0.0,0.0,0.0,0.0,0.0,-39793.16952
t101,27109.132990439997,0.0,-1325.4121804400056,0.0,0.0,0.0,0.0,0.0,0.0,-40638.72081
t102,27561.334989999996,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42416.33499
t103,30363.925399999993,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45218.9254
t104,33721.90741,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48576.90741
t105,37513.76659,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52368.76659
t106,41258.53631999995,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56113.53632
t107,44312.84442000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-59167.84442
