Costs,Total,Zone1,Zone2,Zone3
cTotal,8.276708983719569e9,4.751772460844403e9,1.6318327865592625e9,1.1466743391757078e9
cFix,7.766145765134172e9,4.816618377578526e9,1.7478712524404395e9,1.2016561351152077e9
cVar,4.0218090759290516e8,2.994314669598243e8,7.351637311140329e7,2.9233067521675676e7
cNSE,0.0,0.0,0.0,0.0
cStart,6.986031099245402e7,5.025163360550318e7,1.523355159439134e7,4.375125792559512e6
cUnmetRsv,0.0,-,-,-
cNetworkExp,3.8522e7,-,-,-
