Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.572091371323,26289.16665354008,13391.655640036948
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.89627106689,13391.655640036948
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354008,13391.655640036948
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354008,13391.655640036948
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354009,13391.655640036948
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.930487711612,26288.54910526539,13391.655640036948
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201813,26289.89627106689,13391.655640036948
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201816,26289.89627106689,13391.655640036948
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24644.511604201813,26289.89627106689,13391.655640036948
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24642.57209137133,26289.16665354008,13391.655640036948
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24640.59408134341,26288.43165467998,13391.655640036948
