Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery
Zone,1,1,1,1,1,1
w1,0.0,0.0,0.0,0.0,0.0,-2.7803040836194173
w2,0.0,0.0,0.0,0.0,0.0,-6.949925908015524
w3,0.0,0.0,0.0,0.0,0.0,12.284073051506498
w4,0.0,0.0,0.0,0.0,0.0,0.0
w5,0.0,0.0,0.0,0.0,0.0,1.688008485825582
w6,0.0,0.0,0.0,0.0,0.0,-0.7183892149891653
w7,0.0,0.0,0.0,0.0,0.0,13.497096093735411
w8,0.0,0.0,0.0,0.0,0.0,-1.688008485825582
w9,0.0,0.0,0.0,0.0,0.0,-7.884019141014172
w10,0.0,0.0,0.0,0.0,0.0,1.3013229174565126
w11,0.0,0.0,0.0,0.0,0.0,-1.3013229174565126
