,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1349,2271.1114553229363,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-9292.95927877379
t1350,3285.1382370762694,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-10306.986060527122
t1351,9977.440743386753,4595.284853644237,-2426.562969806616,0.0,-0.0,0.0,0.0,0.0,0.0,-12146.162627224374
t1352,16630.300647868735,1832.847944948675,-5188.999878502178,0.0,-0.0,0.0,0.0,0.0,0.0,-13274.148714315234
t1353,17643.524822383115,1580.5339371946632,-5441.31388625619,0.0,-0.0,0.0,0.0,0.0,0.0,-13782.744873321586
t1354,19914.154819295636,629.347631158753,-6392.5001922921,0.0,-0.0,0.0,0.0,0.0,0.0,-14151.002258162289
t1355,20258.07296567518,612.4998346783883,-6409.347988772465,0.0,-0.0,0.0,0.0,0.0,0.0,-14461.224811581102
t1356,18937.557878336294,1360.3372148572248,-5661.510608593629,0.0,-0.0,0.0,0.0,0.0,0.0,-14636.384484599888
t1357,19260.62120197676,1211.9952874510575,-5809.852535999796,0.0,-0.0,0.0,0.0,0.0,0.0,-14662.763953428019
t1358,20479.387333107243,630.04686946707,-6391.800953983783,0.0,-0.0,0.0,0.0,0.0,0.0,-14717.633248590531
t1359,9944.950404496067,5840.285681103896,-1181.562142346957,0.0,-0.0,0.0,0.0,0.0,0.0,-14603.673943253007
t1360,20317.773062620145,597.4222887496587,-6424.425534701195,0.0,-0.0,0.0,0.0,0.0,0.0,-14490.769816668608
t1361,10022.4537443487,5750.357841651007,-1271.4899817998466,0.0,-0.0,0.0,0.0,0.0,0.0,-14501.32160419986
t1362,13105.378789145974,4281.702653218012,-2740.1451702328422,0.0,-0.0,0.0,0.0,0.0,0.0,-14646.93627213114
t1363,16329.143007090817,2809.1041396581168,-4212.743683792737,0.0,-0.0,0.0,0.0,0.0,0.0,-14925.503462956196
t1364,15518.00165548343,3471.6108418478007,-3550.236981603053,0.0,-0.0,0.0,0.0,0.0,0.0,-15439.375515728178
t1365,13938.477003378975,3923.715966899959,-3098.1318565508946,0.0,-0.0,0.0,0.0,0.0,0.0,-14764.06111372804
t1366,12084.280804538153,4257.803607063998,-2764.044216386855,0.0,-0.0,0.0,0.0,0.0,0.0,-13578.040195215295
t1367,10615.766276228129,4263.459942186048,-2758.387881264806,0.0,-0.0,0.0,0.0,0.0,0.0,-12120.838337149371
t1368,9207.20469520286,4334.6334808235515,-2687.2143426273014,0.0,-0.0,0.0,0.0,0.0,0.0,-10854.62383339911
t1369,8327.940718947908,4363.800933985319,-2658.0468894655346,0.0,-0.0,0.0,0.0,0.0,0.0,-10033.69476346769
t1370,7556.692922006432,4531.530419935699,-2490.3174035151546,0.0,-0.0,0.0,0.0,0.0,0.0,-9597.905938426977
t1371,7725.975099710191,4327.654131980669,-2694.1936914701837,0.0,-0.0,0.0,0.0,0.0,0.0,-9359.435540220677
t1372,8654.212467373556,3844.542230592733,-3177.3055928581202,0.0,-0.0,0.0,0.0,0.0,0.0,-9321.44910510817
