Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery
Zone,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,-138.34870028471042
t2,0.0,0.0,0.0,0.0,0.0,-138.34870028471042
t3,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t4,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t5,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t6,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t7,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t8,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t9,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t10,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t11,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t12,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t13,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t14,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t15,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t16,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t17,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t18,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t19,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t20,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t21,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t22,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t23,0.0,0.0,0.0,0.0,0.0,14.360596327355477
t24,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t25,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t26,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t27,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t28,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t29,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t30,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t31,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t32,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t33,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t34,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t35,0.0,0.0,0.0,0.0,0.0,14.360596327355479
t36,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t37,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t38,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t39,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t40,0.0,0.0,0.0,0.0,0.0,14.36059632735548
t41,0.0,0.0,0.0,0.0,0.0,14.36059632735548
