region,Resource,zone,Cluster,R_ID,SubsidyRevenue
NE,natural_gas_combined_cycle,1,1,1,0.0
NE,solar_pv,1,1,2,0.0
NE,onshore_wind_1,1,1,3,0.0
NE,onshore_wind_2,1,1,4,0.0
NE,onshore_wind_3,1,1,5,0.0
NE,battery,1,0,6,0.0
