Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery,Total
t423,0.0,0.0,0.0,0.0,0.0,1862.3926363260587,1862.3926363260587
t424,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t425,0.0,0.0,0.0,0.0,0.0,1890.426941743816,1890.426941743816
t426,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t428,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t429,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t430,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t434,0.0,0.0,0.0,0.0,0.0,1971.98032618018,1971.98032618018
t435,0.0,0.0,0.0,0.0,0.0,4416.8924773414365,4416.8924773414365
t436,0.0,0.0,0.0,0.0,0.0,4891.949800644756,4891.949800644756
t437,0.0,0.0,0.0,0.0,0.0,5195.281604492761,5195.281604492761
t438,0.0,0.0,0.0,0.0,0.0,5539.350843809172,5539.350843809172
t439,0.0,0.0,0.0,0.0,0.0,5734.497328846679,5734.497328846679
t440,0.0,0.0,0.0,0.0,0.0,5770.6311338320775,5770.6311338320775
t441,0.0,0.0,0.0,0.0,0.0,4542.734442450757,4542.734442450757
t442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t443,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t444,0.0,0.0,0.0,0.0,0.0,606.3771868264982,606.3771868264982
t445,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t446,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t447,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t448,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t449,0.0,0.0,0.0,0.0,0.0,77.48656326649693,77.48656326649693
t450,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t451,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t452,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t454,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t455,0.0,0.0,0.0,0.0,0.0,5452.874447559438,5452.874447559438
t456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t457,0.0,0.0,0.0,0.0,0.0,5546.341826734477,5546.341826734477
t458,0.0,0.0,0.0,0.0,0.0,4765.265642770415,4765.265642770415
t459,0.0,0.0,0.0,0.0,0.0,4909.992127288234,4909.992127288234
t460,0.0,0.0,0.0,0.0,0.0,4257.157892056208,4257.157892056208
t461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t462,0.0,0.0,0.0,0.0,0.0,2857.8413246082837,2857.8413246082837
t463,0.0,0.0,0.0,0.0,0.0,3922.7905139294066,3922.7905139294066
t464,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t465,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t466,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
t467,0.0,0.0,0.0,0.0,0.0,7021.847823450854,7021.847823450854
