Resource,natural_gas_combined_cycle,solar_pv,onshore_wind_1,onshore_wind_2,onshore_wind_3,battery
Zone,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,2293.36493444398
t2,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,2190.461941950183
t4,0.0,0.0,0.0,0.0,0.0,7672.002807324146
t5,0.0,0.0,0.0,0.0,0.0,14132.102804898932
t6,0.0,0.0,0.0,0.0,0.0,6499.659518539308
t7,0.0,0.0,0.0,0.0,0.0,12959.759516114094
t8,0.0,0.0,0.0,0.0,0.0,19419.859513688876
t9,0.0,0.0,0.0,0.0,0.0,23768.356003982284
t10,0.0,0.0,0.0,0.0,0.0,16135.91271762266
t11,0.0,0.0,0.0,0.0,0.0,22596.012715197445
t12,0.0,0.0,0.0,0.0,0.0,29056.112712772232
t13,0.0,0.0,0.0,0.0,0.0,21423.66942641261
t14,0.0,0.0,0.0,0.0,0.0,27413.041969943966
t15,0.0,0.0,0.0,0.0,0.0,30729.23788121954
t16,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t17,0.0,0.0,0.0,0.0,0.0,30197.4064472751
t18,0.0,0.0,0.0,0.0,0.0,28669.939243419853
t19,0.0,0.0,0.0,0.0,0.0,29312.80049570322
t20,0.0,0.0,0.0,0.0,0.0,21680.357209343598
t21,0.0,0.0,0.0,0.0,0.0,14047.913922983977
t22,0.0,0.0,0.0,0.0,0.0,6415.470636624355
t23,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0,6460.099997574785
t25,0.0,0.0,0.0,0.0,0.0,12920.19999514957
t26,0.0,0.0,0.0,0.0,0.0,5287.756708789948
t27,0.0,0.0,0.0,0.0,0.0,11747.856706364733
t28,0.0,0.0,0.0,0.0,0.0,18207.956703939515
t29,0.0,0.0,0.0,0.0,0.0,18363.46886743437
t30,0.0,0.0,0.0,0.0,0.0,24823.568865009158
t31,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t32,0.0,0.0,0.0,0.0,0.0,23651.22557622432
t33,0.0,0.0,0.0,0.0,0.0,24823.568865009158
t34,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t35,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t36,0.0,0.0,0.0,0.0,0.0,23651.22557622432
t37,0.0,0.0,0.0,0.0,0.0,16018.782289864695
t38,0.0,0.0,0.0,0.0,0.0,22478.88228743948
t39,0.0,0.0,0.0,0.0,0.0,28343.005814480042
t40,0.0,0.0,0.0,0.0,0.0,20710.56252812042
t41,0.0,0.0,0.0,0.0,0.0,13078.119241760798
t42,0.0,0.0,0.0,0.0,0.0,19535.81215621921
t43,0.0,0.0,0.0,0.0,0.0,11903.368869859585
t44,0.0,0.0,0.0,0.0,0.0,18363.46886743437
t45,0.0,0.0,0.0,0.0,0.0,24823.568865009158
t46,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t47,0.0,0.0,0.0,0.0,0.0,23651.22557622432
t48,0.0,0.0,0.0,0.0,0.0,16018.782289864695
t49,0.0,0.0,0.0,0.0,0.0,22366.12177157491
t50,0.0,0.0,0.0,0.0,0.0,14733.678485215289
t51,0.0,0.0,0.0,0.0,0.0,19482.096045610768
t52,0.0,0.0,0.0,0.0,0.0,24641.52455850899
t53,0.0,0.0,0.0,0.0,0.0,30402.55822938719
t54,0.0,0.0,0.0,0.0,0.0,27654.340669848218
t55,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t56,0.0,0.0,0.0,0.0,0.0,23651.22557622432
t57,0.0,0.0,0.0,0.0,0.0,17892.543262149673
t58,0.0,0.0,0.0,0.0,0.0,17203.17661897955
t59,0.0,0.0,0.0,0.0,0.0,23240.252729409003
t60,0.0,0.0,0.0,0.0,0.0,18363.46886743437
t61,0.0,0.0,0.0,0.0,0.0,24823.568865009158
t62,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t63,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t64,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t65,0.0,0.0,0.0,0.0,0.0,31283.66886258394
t66,0.0,0.0,0.0,0.0,0.0,23651.22557622432
t67,0.0,0.0,0.0,0.0,0.0,16018.782289864695
t68,0.0,0.0,0.0,0.0,0.0,22478.882287439483
t69,0.0,0.0,0.0,0.0,0.0,28938.98228501427
t70,0.0,0.0,0.0,0.0,0.0,21306.53899865463
t71,0.0,0.0,0.0,0.0,0.0,13674.095712295004
t72,0.0,0.0,0.0,0.0,0.0,20134.19570986979
t73,0.0,0.0,0.0,0.0,0.0,12501.752423510166
t74,0.0,0.0,0.0,0.0,0.0,15264.886572719244
t75,0.0,0.0,0.0,0.0,0.0,7632.443286359622
t76,0.0,0.0,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0,0.0,6460.099997574785
t78,0.0,0.0,0.0,0.0,0.0,12920.19999514957
t79,0.0,0.0,0.0,0.0,0.0,12815.589251540736
t80,0.0,0.0,0.0,0.0,0.0,18247.36547627272
t81,0.0,0.0,0.0,0.0,0.0,24707.465473847507
