Resource,TechGroup,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
Solar_z01_01,SolarPV,1,28,4.69E-06,0.00045421,28.00044952,0,0,0,0,0,0,0,0
Solar_z02_01,SolarPV,2,10,3.88E-06,7524.211609,7534.211605,0,0,0,0,0,0,0,0
Solar_z03_01,SolarPV,3,15,3.84E-06,5889.915756,5904.915752,0,0,0,0,0,0,0,0
Solar_z04_01,SolarPV,4,723,6.04E-06,2.58E-05,723.0000198,0,0,0,0,0,0,0,0
Solar_z05_01,SolarPV,5,0,0,1712.68373,1712.68373,0,0,0,0,0,0,0,0
Solar_z06_01,SolarPV,6,92,5.24E-06,12661.12183,12753.12183,0,0,0,0,0,0,0,0
Solar_z07_01,SolarPV,7,209,5.81E-06,26409.41005,26618.41004,0,0,0,0,0,0,0,0
Solar_z08_01,SolarPV,8,216,5.47E-06,22047.29942,22263.29942,0,0,0,0,0,0,0,0
Solar_z09_01,SolarPV,9,3,3.68E-06,2560.087439,2563.087436,0,0,0,0,0,0,0,0
Solar_z10_01,SolarPV,10,8,3.81E-06,2359.807661,2367.807657,0,0,0,0,0,0,0,0
Solar_z11_01,SolarPV,11,13,4.02E-06,7003.854515,7016.854511,0,0,0,0,0,0,0,0
Solar_z12_01,SolarPV,12,253,5.70E-06,18470.33866,18723.33866,0,0,0,0,0,0,0,0
Solar_z13_01,SolarPV,13,1,3.91E-06,5165.870416,5166.870412,0,0,0,0,0,0,0,0
Solar_z14_01,SolarPV,14,16,4.10E-06,5005.771957,5021.771953,0,0,0,0,0,0,0,0
Solar_z15_01,SolarPV,15,22,4.13E-06,9191.935612,9213.935608,0,0,0,0,0,0,0,0
Solar_z16_01,SolarPV,16,259,5.88E-06,16032.51928,16291.51927,0,0,0,0,0,0,0,0
Solar_z17_01,SolarPV,17,41,4.62E-06,0.001193921,41.0011893,0,0,0,0,0,0,0,0
Solar_z18_01,SolarPV,18,55,4.84E-06,12620.47324,12675.47324,0,0,0,0,0,0,0,0
Wind_z01_02,Wind,1,164,3.80E-06,0,163.9999962,0,0,0,0,0,0,0,0
Wind_z01_03,Wind,1,923,3.48E-06,5164.156999,6087.156995,0,0,0,0,0,0,0,0
Wind_z02_01,Wind,2,73,3.13E-06,6936.300289,7009.300286,0,0,0,0,0,0,0,0
Wind_z02_02,Wind,2,650,4.27E-06,3.21E-05,650.0000279,0,0,0,0,0,0,0,0
Wind_z03_01,Wind,3,0,0,4844.717263,4844.717263,0,0,0,0,0,0,0,0
Wind_z04_01,Wind,4,3674,0.0022954,0,3673.997705,0,0,0,0,0,0,0,0
Wind_z04_02,Wind,4,2885,0.003211444,0,2884.996789,0,0,0,0,0,0,0,0
Wind_z04_03,Wind,4,202,3.31E-06,18832.45113,19034.45113,0,0,0,0,0,0,0,0
Wind_z04_04,Wind,4,1110,3.88E-06,0.00146977,1110.001466,0,0,0,0,0,0,0,0
Wind_z05_01,Wind,5,1029,0.000368562,0,1028.999631,0,0,0,0,0,0,0,0
Wind_z05_02,Wind,5,3935,3.34E-06,1654.925345,5589.925341,0,0,0,0,0,0,0,0
Wind_z06_01,Wind,6,1181,4.13E-06,0.000611485,1181.000607,0,0,0,0,0,0,0,0
Wind_z06_02,Wind,6,688,2.99E-06,12522.8986,13210.89859,0,0,0,0,0,0,0,0
Wind_z07_01,Wind,7,0,0,4715.623216,4715.623216,0,0,0,0,0,0,0,0
Wind_z08_01,Wind,8,1339,4.33E-06,0,1338.999996,0,0,0,0,0,0,0,0
Wind_z08_02,Wind,8,1920,3.76E-06,0.004377794,1920.004374,0,0,0,0,0,0,0,0
Wind_z09_01,Wind,9,1461,3.59E-06,0.026890691,1461.026887,0,0,0,0,0,0,0,0
Wind_z09_02,Wind,9,2805,0.000900515,0,2804.999099,0,0,0,0,0,0,0,0
Wind_z10_01,Wind,10,2712,4.24E-06,2.64E-05,2712.000022,0,0,0,0,0,0,0,0
Wind_z10_02,Wind,10,1221,3.61E-05,0,1220.999964,0,0,0,0,0,0,0,0
Wind_z11_01,Wind,11,0,0,6293.986307,6293.986307,0,0,0,0,0,0,0,0
Wind_z12_01,Wind,12,29,3.22E-06,1802.966673,1831.96667,0,0,0,0,0,0,0,0
Wind_z13_01,Wind,13,344,4.09E-06,0,343.9999959,0,0,0,0,0,0,0,0
Wind_z13_02,Wind,13,1130,3.33E-06,630.9739427,1760.973939,0,0,0,0,0,0,0,0
Wind_z14_01,Wind,14,861,0.001877629,0,860.9981224,0,0,0,0,0,0,0,0
Wind_z14_02,Wind,14,1499,3.34E-06,5715.527871,7214.527867,0,0,0,0,0,0,0,0
Wind_z15_01,Wind,15,2431,0.001915852,0,2430.998084,0,0,0,0,0,0,0,0
Wind_z15_02,Wind,15,3380,3.34E-06,5940.177139,9320.177136,0,0,0,0,0,0,0,0
