Zone,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,Total
CO2_Price_1,-21.67828144991929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,-31.06246486687567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,-22.28381330251518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,-13.193377740982582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,-20.680016001982956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,-44.217149880731625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,-78.6837456957291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.957973452413558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.764728998951835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.292231909573776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.035032340081166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.49965940056423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.265857598083834,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.606106654939143,0.0,0.0,0.0,0.0,0.0
CO2_Price_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.908362202070721,0.0,0.0,0.0,0.0
CO2_Price_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.36249723990373,0.0,0.0,0.0
CO2_Price_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.447264383163475,0.0,0.0
CO2_Price_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.62384131641412,0.0
AnnualSum,2.4036302554707755e6,6.985302467844671e6,4.2955893848505765e6,1.0438470285409e7,3.175268153565354e6,1.134075556527485e7,1.5296295116709806e7,1.0284711226561185e7,5.040517891787431e6,2.317996182444817e6,4.33320420899605e6,1.7975562931410763e7,2.324098239797025e6,3.435309270108425e6,7.245829531313444e6,1.6269250379289206e7,1.0810314624862473e7,2.254215192777395e7,1.5651425764346978e8
t1,30.433157784797256,68.29339437946257,342.0452905247553,965.2804897738963,226.06545338205743,918.7868646459402,2117.339696853049,1030.9040236690998,349.0371021949533,69.497276770133,258.2014936622114,1134.1856505794979,196.83373010087143,68.48881062480817,385.0732568101972,0.08053271505116384,417.3252673353539,4018.377067574061,12596.248559380198
