region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
1,Solar_z01_01,1,1,1,17.147327248056417,0.0,274264.40301216475,0.0,0.0,0.0,0.0,0.0,0.0,1.1902182e6,0.0,0.0,0.0,0.0,0.0,1.19021825e6,274281.5503394128,915936.6996605871
2,Solar_z02_01,2,1,2,2.738361573010272e8,0.0,7.379760267300189e7,0.0,0.0,0.0,0.0,0.0,0.0,3.4799747e8,0.0,0.0,0.0,0.0,0.0,3.47997472e8,3.4763375997402906e8,363712.0259709358
3,Solar_z03_01,3,1,3,2.2235609962255058e8,0.0,5.783864979293079e7,0.0,0.0,0.0,0.0,0.0,0.0,2.8076077e8,0.0,0.0,0.0,0.0,0.0,2.80760768e8,2.801947494154814e8,566018.5845186114
4,Solar_z04_01,4,1,4,0.9386830871663041,0.0,7.081785193479934e6,0.0,0.0,0.0,0.0,0.0,0.0,3.1936358e7,0.0,0.0,0.0,0.0,0.0,3.1936358e7,7.081786132163021e6,2.485457186783698e7
5,Solar_z05_01,5,1,5,6.23314116800552e7,0.0,1.6775737138158508e7,0.0,0.0,0.0,0.0,0.0,0.0,7.910688e7,0.0,0.0,0.0,0.0,0.0,7.910688e7,7.91071488182137e7,-268.81821370124817
6,Solar_z06_01,6,1,6,4.7275362807795e8,0.0,1.2491682829122642e8,0.0,0.0,0.0,0.0,0.0,0.0,6.011054e8,0.0,0.0,0.0,0.0,0.0,6.01105408e8,5.976704563691764e8,3.434951630823612e6
7,Solar_z07_01,7,1,7,9.377189226590769e8,0.0,2.607273263865885e8,0.0,0.0,0.0,0.0,0.0,0.0,1.205867e9,0.0,0.0,0.0,0.0,0.0,1.205867008e9,1.1984462490456655e9,7.420758954334497e6
8,Solar_z08_01,8,1,8,8.32329647755651e8,0.0,2.180690177787471e8,0.0,0.0,0.0,0.0,0.0,0.0,1.0585528e9,0.0,0.0,0.0,0.0,0.0,1.058552832e9,1.0503986655343981e9,8.154166465601921e6
9,Solar_z09_01,9,1,9,9.664842100845827e7,0.0,2.510544143187632e7,0.0,0.0,0.0,0.0,0.0,0.0,1.218669e8,0.0,0.0,0.0,0.0,0.0,1.21866896e8,1.2175386244033459e8,113033.55966541171
10,Solar_z10_01,10,1,10,8.58828400134548e7,0.0,2.3192676001943227e7,0.0,0.0,0.0,0.0,0.0,0.0,1.093664e8,0.0,0.0,0.0,0.0,0.0,1.093664e8,1.0907551601539803e8,290883.9846019745
11,Solar_z11_01,11,1,11,2.4868586226954767e8,0.0,6.873008993651406e7,0.0,0.0,0.0,0.0,0.0,0.0,3.178773e8,0.0,0.0,0.0,0.0,0.0,3.17877312e8,3.174159522060617e8,461359.79393827915
12,Solar_z12_01,12,1,12,6.700115350213883e8,0.0,1.8339510215392157e8,0.0,0.0,0.0,0.0,0.0,0.0,8.62584e8,0.0,0.0,0.0,0.0,0.0,8.62584e8,8.534066371753099e8,9.177362824690104e6
13,Solar_z13_01,13,1,13,1.8296996425119084e8,0.0,5.060949568280635e7,0.0,0.0,0.0,0.0,0.0,0.0,2.336146e8,0.0,0.0,0.0,0.0,0.0,2.33614592e8,2.3357945993399718e8,35132.06600281596
14,Solar_z14_01,14,1,14,1.7729943695897204e8,0.0,4.918825628252245e7,0.0,0.0,0.0,0.0,0.0,0.0,2.2705414e8,0.0,0.0,0.0,0.0,0.0,2.27054144e8,2.2648769324149448e8,566450.7585055232
15,Solar_z15_01,15,1,15,3.35882519202797e8,0.0,9.025049928038941e7,0.0,0.0,0.0,0.0,0.0,0.0,4.2693667e8,0.0,0.0,0.0,0.0,0.0,4.26936672e8,4.261330184831864e8,803653.5168135762
16,Solar_z16_01,16,1,16,5.635911502706517e8,0.0,1.5957543129576048e8,0.0,0.0,0.0,0.0,0.0,0.0,7.32271e8,0.0,0.0,0.0,0.0,0.0,7.32270976e8,7.231665815664122e8,9.10439443358779e6
17,Solar_z17_01,17,1,17,47.29477795431827,0.0,401606.6491909374,0.0,0.0,0.0,0.0,0.0,0.0,1.8739572e6,0.0,0.0,0.0,0.0,0.0,1.87395725e6,401653.94396889175,1.4723033060311084e6
18,Solar_z18_01,18,1,18,4.581862809774522e8,0.0,1.2415626033817714e8,0.0,0.0,0.0,0.0,0.0,0.0,5.843391e8,0.0,0.0,0.0,0.0,0.0,5.84339072e8,5.823425413156294e8,1.996530684370637e6
1,Wind_z01_02,1,1,19,0.0,0.0,6.159019857248244e6,0.0,0.0,0.0,0.0,0.0,0.0,1.595432e7,0.0,0.0,0.0,0.0,0.0,1.595432e7,6.159019857248244e6,9.795300142751757e6
1,Wind_z01_03,1,1,20,3.0829500865667444e8,0.0,2.3709476495801714e8,0.0,0.0,0.0,0.0,0.0,0.0,6.004914e8,0.0,0.0,0.0,0.0,0.0,6.00491392e8,5.453897736146916e8,5.5101618385308385e7
2,Wind_z02_01,2,1,21,4.3315808045462877e8,0.0,2.7301224613894135e8,0.0,0.0,0.0,0.0,0.0,0.0,7.107285e8,0.0,0.0,0.0,0.0,0.0,7.10728512e8,7.061703265935701e8,4.558185406429887e6
