Region,Resource,Zone,Cluster,AnnualSum
1,Solar_z01_01,1,1,1.1902182e6
2,Solar_z02_01,2,1,3.4799747e8
3,Solar_z03_01,3,1,2.8076077e8
4,Solar_z04_01,4,1,3.1936358e7
5,Solar_z05_01,5,1,7.910688e7
6,Solar_z06_01,6,1,6.011054e8
7,Solar_z07_01,7,1,1.205867e9
8,Solar_z08_01,8,1,1.0585528e9
9,Solar_z09_01,9,1,1.218669e8
10,Solar_z10_01,10,1,1.093664e8
11,Solar_z11_01,11,1,3.178773e8
12,Solar_z12_01,12,1,8.62584e8
13,Solar_z13_01,13,1,2.336146e8
14,Solar_z14_01,14,1,2.2705414e8
15,Solar_z15_01,15,1,4.2693667e8
16,Solar_z16_01,16,1,7.32271e8
17,Solar_z17_01,17,1,1.8739572e6
18,Solar_z18_01,18,1,5.843391e8
1,Wind_z01_02,1,1,1.595432e7
1,Wind_z01_03,1,1,6.004914e8
2,Wind_z02_01,2,1,7.107285e8
2,Wind_z02_02,2,1,5.674912e7
3,Wind_z03_01,3,1,4.7792598e8
4,Wind_z04_01,4,1,2.7519232e8
4,Wind_z04_02,4,1,1.720066e8
4,Wind_z04_03,4,1,1.9300548e9
4,Wind_z04_04,4,1,1.0279339e8
5,Wind_z05_01,5,1,6.260797e7
5,Wind_z05_02,5,1,5.668067e8
6,Wind_z06_01,6,1,1.0547331e8
6,Wind_z06_02,6,1,1.4323647e9
7,Wind_z07_01,7,1,4.6519094e8
8,Wind_z08_01,8,1,1.0290601e8
8,Wind_z08_02,8,1,1.811592e8
9,Wind_z09_01,9,1,1.4159614e8
9,Wind_z09_02,9,1,2.112146e8
10,Wind_z10_01,10,1,2.3879326e8
10,Wind_z10_02,10,1,9.854906e7
11,Wind_z11_01,11,1,6.208949e8
12,Wind_z12_01,12,1,1.8072115e8
13,Wind_z13_01,13,1,3.0735828e7
13,Wind_z13_02,13,1,1.7855869e8
14,Wind_z14_01,14,1,6.609959e7
14,Wind_z14_02,14,1,7.3153824e8
