Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1,Total
t9,106.06199999999998,425.3698928,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,293.15765999999996,27.248000000000005,32.692330000000005,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,149.50286000000003,24.95,238.30325623543374,0.0,1114.1,163.5,0.0,0.0,5.186100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13874.831571181741
t10,106.06199999999998,430.43066303333325,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,396.40764,27.248000000000005,32.07785593454186,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,203.89478000000003,24.95,230.15362426456628,0.0,1114.1,163.5,0.0,0.0,7.033980000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,46.63858935147241,0.0,0.0,14077.25660473022
t11,106.06199999999998,375.40307403333327,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,476.98698,27.248000000000005,26.45875593454186,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,246.52426000000003,24.95,202.9453942645663,0.0,1114.1,163.5,0.0,0.0,7.9237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,15.111530143984167,0.0,14081.973166522732
t12,106.06199999999998,320.3754850333333,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,501.95754000000005,27.248000000000005,20.839655934541856,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,260.23462,24.95,182.58197475,0.0,1114.1,163.5,0.0,0.0,7.657020000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,3.930143447629354,0.0,0.0,14028.19591131181
t13,106.06199999999998,303.1084611222223,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,535.05996,27.248000000000005,15.220555934541856,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,266.22822,24.95,155.37374475,0.0,1114.1,163.5,0.0,0.0,8.386260000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,249.55557193380784,0.0,13.2499999992,14276.802245886078
t14,106.06199999999998,248.08087212222227,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,541.63116,27.248000000000005,12.185999999999998,0.0,3488.704,35.2,233.81072629087907,124.9,0.0,0.0,0.0,271.62246,24.95,182.58197475,0.0,1114.1,163.5,0.0,0.0,8.2246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,56.220000027690006,13.37999999136,13864.357265328457
t15,106.06199999999998,193.05328312222224,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,548.8594800000001,27.248000000000005,12.185999999999998,0.0,3488.704,35.2,148.1388676640467,124.9,0.0,0.0,0.0,267.2771,24.95,155.37374475,0.0,1114.1,163.5,0.0,0.0,7.798620000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,167.77813188758822,0.0,13.44999999408,13810.534699564243
t16,106.06199999999998,209.54682686666675,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,448.07370000000003,27.248000000000005,14.711403130916278,0.0,3488.704,35.2,53.815999999999995,124.9,0.0,0.0,0.0,222.25018000000006,24.95,131.77962000000002,0.0,1114.1,163.5,0.0,0.0,6.052220000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,69.47031921346026,64.90999999872001,13517.22974135607
t17,106.06199999999998,264.57441586666675,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,310.0785,27.248000000000005,20.330503130916277,0.0,3488.704,35.2,104.52759724549631,124.9,0.0,0.0,0.0,161.67736000000002,24.95,157.31601900000004,0.0,1114.1,163.5,0.0,0.0,4.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,39.239680821189765,0.0,13358.434548210576
t18,106.06199999999998,319.60200486666673,0.0,7077.3,0.0,0.0,62.70399999999999,0.6,0.0,30.0,0.0,0.0,129.86334,27.248000000000005,25.94960313091628,0.0,3488.704,35.2,434.0,124.9,0.0,0.0,0.0,79.0406,24.95,184.52424900000003,0.0,1114.1,163.5,0.0,0.0,1.60952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.35147214630674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13471.20878914389
